transaction_id,store_id,customer_id,txn_ts,channel,subtotal_cents,tax_cents,total_cents
T00000038,S0001,C000927,2025-07-01T17:32:40,In-Store,6613,106,6719
T00000039,S0001,C000383,2025-07-01T08:30:59,In-Store,6612,0,6612
T00000040,S0001,C000582,2025-07-01T17:36:18,In-Store,5542,167,5709
T00000041,S0001,C000903,2025-07-01T15:00:30,In-Store,5532,0,5532
T00000042,S0001,,2025-07-01T18:30:15,In-Store,16071,735,16806
T00000043,S0001,C000954,2025-07-01T09:47:33,In-Store,1682,149,1831
T00000044,S0001,C000004,2025-07-01T13:17:45,In-Store,3255,0,3255
T00000045,S0001,C000197,2025-07-01T17:38:25,In-Store,15030,387,15417
T00000046,S0001,C000633,2025-07-01T17:42:29,In-Store,4618,226,4844
T00000047,S0001,C000314,2025-07-01T08:23:42,In-Store,5378,0,5378
T00000048,S0001,C000117,2025-07-01T17:33:00,In-Store,6221,426,6647
T00000049,S0001,C000889,2025-07-01T17:53:23,In-Store,9357,470,9827
T00000050,S0001,C000302,2025-07-01T09:31:49,In-Store,9115,275,9390
T00000051,S0001,,2025-07-01T19:11:34,In-Store,6834,606,7440
T00000052,S0001,,2025-07-01T19:50:02,In-Store,2493,123,2616
T00000053,S0001,C000395,2025-07-01T13:17:33,In-Store,10117,393,10510
T00000054,S0001,C000924,2025-07-01T12:13:53,In-Store,1801,0,1801
T00000055,S0001,C000840,2025-07-01T09:15:51,In-Store,2870,0,2870
T00000056,S0001,C000417,2025-07-01T19:42:57,In-Store,2919,126,3045
T00000057,S0001,C000851,2025-07-01T09:09:56,In-Store,8060,496,8556
T00000058,S0001,C000259,2025-07-01T16:43:22,In-Store,16694,858,17552
T00000059,S0001,C000037,2025-07-01T17:43:32,In-Store,2174,169,2343
T00000060,S0001,,2025-07-01T10:46:12,In-Store,12396,791,13187
T00000061,S0001,C000362,2025-07-01T08:04:22,In-Store,12024,1031,13055
T00000062,S0001,C000151,2025-07-01T08:43:10,In-Store,10578,652,11230
T00000063,S0001,C000890,2025-07-01T19:10:00,In-Store,4492,198,4690
T00000064,S0001,C000560,2025-07-01T09:46:01,In-Store,2628,90,2718
T00000065,S0001,C000441,2025-07-01T10:43:26,In-Store,9326,704,10030
T00000066,S0001,C000068,2025-07-01T13:30:14,In-Store,10467,531,10998
T00000067,S0001,C000441,2025-07-01T17:14:06,In-Store,21639,958,22597
T00000068,S0001,C000728,2025-07-01T19:43:12,In-Store,5805,393,6198
T00000069,S0001,C000433,2025-07-01T12:18:55,In-Store,6218,510,6728
T00000070,S0001,C000435,2025-07-01T12:40:31,In-Store,3010,105,3115
T00000071,S0001,,2025-07-01T13:45:13,In-Store,6595,238,6833
T00000072,S0001,C000148,2025-07-01T16:11:16,In-Store,10291,497,10788
T00000073,S0001,C000653,2025-07-01T09:09:13,In-Store,2682,0,2682
T00000074,S0001,,2025-07-01T12:57:33,In-Store,8713,655,9368
T00000075,S0001,C000625,2025-07-01T08:11:36,In-Store,8172,304,8476
T00000076,S0001,C000988,2025-07-01T18:41:51,In-Store,23162,1643,24805
T00000077,S0001,C000430,2025-07-01T10:10:46,In-Store,8325,382,8707
T00000078,S0001,C000698,2025-07-01T17:12:41,In-Store,3478,0,3478
T00000079,S0001,,2025-07-01T10:39:33,In-Store,9038,486,9524
T00000080,S0001,C000087,2025-07-01T08:15:00,In-Store,7668,483,8151
T00000081,S0001,,2025-07-01T17:57:31,In-Store,5838,518,6356
T00000082,S0001,C000561,2025-07-01T13:58:14,In-Store,8855,94,8949
T00000083,S0001,C000644,2025-07-01T12:44:57,In-Store,4720,383,5103
T00000084,S0001,C000029,2025-07-01T09:14:06,In-Store,12517,660,13177
T00000085,S0001,C000954,2025-07-01T10:56:18,In-Store,8567,394,8961
T00000086,S0001,C000796,2025-07-01T12:56:14,In-Store,2367,57,2424
T00000087,S0001,C000756,2025-07-01T15:42:01,In-Store,6373,364,6737
T00000088,S0001,C000371,2025-07-01T09:55:47,In-Store,3449,119,3568
T00000089,S0001,,2025-07-01T16:43:41,In-Store,4990,0,4990
T00000090,S0001,C000556,2025-07-01T12:27:30,In-Store,14821,622,15443
T00000091,S0001,C000482,2025-07-01T16:25:19,In-Store,3615,199,3814
T00000092,S0001,C000837,2025-07-01T13:07:57,Online,4201,345,4546
T00000093,S0001,C000311,2025-07-01T09:03:37,Online,3567,0,3567
T00000094,S0001,C000574,2025-07-01T12:08:07,Online,6813,295,7108
T00000095,S0001,C000631,2025-07-01T10:29:10,Online,24181,1593,25774
T00000096,S0001,C000440,2025-07-01T13:05:56,Online,3372,0,3372
T00000097,S0001,C000124,2025-07-01T12:37:18,Online,5592,496,6088
T00000098,S0001,C000972,2025-07-01T20:07:46,Online,1452,59,1511
T00000099,S0001,C000964,2025-07-01T10:12:21,Online,14598,959,15557
T00000100,S0001,C000191,2025-07-01T09:23:25,Online,6498,0,6498
T00000101,S0001,C000646,2025-07-01T21:32:31,Online,11173,823,11996
T00000102,S0001,C000885,2025-07-01T21:21:17,Online,5467,397,5864
T00000103,S0001,C000419,2025-07-01T11:02:13,Online,3057,89,3146
T00000104,S0001,C000261,2025-07-01T09:14:34,Online,3052,89,3141
T00000105,S0001,C000413,2025-07-01T10:31:02,Online,15095,915,16010
T00000106,S0001,C000990,2025-07-01T10:10:37,Online,16938,626,17564
T00000107,S0001,C000285,2025-07-01T19:09:29,Online,10036,473,10509
T00000108,S0001,C000908,2025-07-01T19:54:45,Online,7859,75,7934
T00000109,S0001,,2025-07-01T20:46:48,Online,5392,276,5668
T00000110,S0001,C000844,2025-07-01T09:03:26,Online,2164,0,2164
T00000111,S0001,C000616,2025-07-01T20:50:17,Online,12677,969,13646
T00000112,S0001,,2025-07-01T21:12:24,Online,13790,965,14755
T00000113,S0001,C000519,2025-07-01T19:15:47,Online,4811,0,4811
T00000114,S0001,C000259,2025-07-01T20:14:15,Online,4829,134,4963
T00000115,S0002,C001709,2025-07-01T13:39:22,In-Store,4596,153,4749
T00000116,S0002,C001593,2025-07-01T13:02:25,In-Store,4270,197,4467
T00000117,S0002,C001316,2025-07-01T09:54:04,In-Store,2004,76,2080
T00000118,S0002,C001535,2025-07-01T09:27:36,In-Store,8974,499,9473
T00000119,S0002,,2025-07-01T13:11:30,In-Store,4155,67,4222
T00000120,S0002,C001855,2025-07-01T19:43:59,In-Store,2595,0,2595
T00000121,S0002,C001728,2025-07-01T08:55:47,In-Store,11743,626,12369
T00000122,S0002,C001252,2025-07-01T19:34:23,In-Store,6422,466,6888
T00000123,S0002,C001731,2025-07-01T08:40:06,In-Store,4284,380,4664
T00000124,S0002,C001057,2025-07-01T08:26:32,In-Store,6355,0,6355
T00000125,S0002,C001075,2025-07-01T09:06:40,In-Store,8002,89,8091
T00000126,S0002,,2025-07-01T11:06:17,In-Store,3505,121,3626
T00000127,S0002,C001811,2025-07-01T19:39:14,In-Store,9257,789,10046
T00000128,S0002,,2025-07-01T10:10:59,In-Store,6279,0,6279
T00000129,S0002,C001872,2025-07-01T12:09:14,In-Store,1910,116,2026
T00000130,S0002,C001792,2025-07-01T15:41:22,In-Store,9022,801,9823
T00000131,S0002,C001185,2025-07-01T08:14:04,In-Store,5230,0,5230
T00000132,S0002,C001964,2025-07-01T17:17:52,In-Store,11859,862,12721
T00000133,S0002,C001603,2025-07-01T18:16:22,In-Store,11071,641,11712
T00000134,S0002,C001236,2025-07-01T09:53:08,In-Store,2642,220,2862
T00000135,S0002,,2025-07-01T19:36:01,In-Store,6632,433,7065
T00000136,S0002,C001442,2025-07-01T08:43:16,In-Store,9186,319,9505
T00000137,S0002,C001181,2025-07-01T10:28:13,In-Store,5549,0,5549
T00000138,S0002,C001827,2025-07-01T17:43:10,In-Store,6641,272,6913
T00000139,S0002,C001693,2025-07-01T17:21:34,In-Store,7368,378,7746
T00000140,S0002,C001883,2025-07-01T09:51:46,In-Store,2500,170,2670
T00000141,S0002,C001597,2025-07-01T08:04:01,In-Store,12575,706,13281
T00000142,S0002,C001039,2025-07-01T14:45:51,In-Store,3269,216,3485
T00000143,S0002,C001909,2025-07-01T16:42:30,In-Store,20360,1455,21815
T00000144,S0002,C001496,2025-07-01T12:58:01,In-Store,10251,644,10895
T00000145,S0002,C001581,2025-07-01T09:19:54,In-Store,6922,307,7229
T00000146,S0002,C001362,2025-07-01T17:56:53,In-Store,1639,15,1654
T00000147,S0002,C001106,2025-07-01T12:27:52,In-Store,3668,89,3757
T00000148,S0002,C001294,2025-07-01T12:23:28,In-Store,6469,574,7043
T00000149,S0002,C001705,2025-07-01T19:31:01,In-Store,19917,1061,20978
T00000150,S0002,C001095,2025-07-01T09:43:55,In-Store,14719,1045,15764
T00000151,S0002,C001734,2025-07-01T12:58:44,In-Store,4844,0,4844
T00000152,S0002,C001264,2025-07-01T18:21:14,In-Store,1584,76,1660
T00000153,S0002,C001955,2025-07-01T11:54:00,In-Store,2321,0,2321
T00000154,S0002,C001160,2025-07-01T19:34:36,In-Store,8927,275,9202
T00000155,S0002,C001950,2025-07-01T11:06:52,In-Store,7517,142,7659
T00000156,S0002,C001144,2025-07-01T09:05:27,In-Store,9257,628,9885
T00000157,S0002,C001726,2025-07-01T15:49:16,In-Store,3381,183,3564
T00000158,S0002,C001332,2025-07-01T18:19:17,In-Store,2841,89,2930
T00000159,S0002,C001812,2025-07-01T11:10:10,In-Store,3117,125,3242
T00000160,S0002,,2025-07-01T13:01:53,In-Store,5610,362,5972
T00000161,S0002,C001542,2025-07-01T12:07:55,In-Store,8753,0,8753
T00000162,S0002,C001188,2025-07-01T11:29:09,In-Store,22589,1460,24049
T00000163,S0002,C001026,2025-07-01T08:51:31,In-Store,3447,223,3670
T00000164,S0002,,2025-07-01T13:05:25,In-Store,3947,58,4005
T00000165,S0002,C001638,2025-07-01T17:50:44,In-Store,15036,729,15765
T00000166,S0002,C001377,2025-07-01T19:08:06,In-Store,12440,861,13301
T00000167,S0002,C001830,2025-07-01T14:04:49,In-Store,7829,349,8178
T00000168,S0002,C001521,2025-07-01T17:33:36,In-Store,3178,138,3316
T00000169,S0002,C001689,2025-07-01T19:32:27,In-Store,4430,138,4568
T00000170,S0002,C001602,2025-07-01T12:07:55,In-Store,3431,177,3608
T00000171,S0002,C001424,2025-07-01T12:28:11,In-Store,3587,0,3587
T00000172,S0002,C001198,2025-07-01T15:27:43,In-Store,6466,141,6607
T00000173,S0002,C001414,2025-07-01T09:20:46,In-Store,8378,570,8948
T00000174,S0002,,2025-07-01T10:47:42,In-Store,12277,854,13131
T00000175,S0002,C001613,2025-07-01T10:52:12,In-Store,7632,507,8139
T00000176,S0002,C001754,2025-07-01T17:22:55,In-Store,5656,278,5934
T00000177,S0002,C001475,2025-07-01T11:53:24,In-Store,11368,224,11592
T00000178,S0002,C001835,2025-07-01T18:09:26,In-Store,9428,131,9559
T00000179,S0002,C001327,2025-07-01T09:56:26,In-Store,4589,308,4897
T00000180,S0002,C001034,2025-07-01T18:33:57,In-Store,7107,412,7519
T00000181,S0002,C001411,2025-07-01T13:14:09,In-Store,4592,407,4999
T00000182,S0002,C001133,2025-07-01T08:52:39,In-Store,15954,785,16739
T00000183,S0002,C001499,2025-07-01T10:43:10,In-Store,4089,281,4370
T00000184,S0002,C001989,2025-07-01T09:10:14,In-Store,2568,178,2746
T00000185,S0002,C001745,2025-07-01T15:27:27,In-Store,10630,603,11233
T00000186,S0002,,2025-07-01T09:48:41,In-Store,9992,674,10666
T00000187,S0002,C001384,2025-07-01T13:04:41,In-Store,1152,0,1152
T00000188,S0002,C001934,2025-07-01T08:12:32,In-Store,4554,0,4554
T00000189,S0002,,2025-07-01T12:21:34,In-Store,8298,698,8996
T00000190,S0002,C001464,2025-07-01T09:20:55,In-Store,7938,392,8330
T00000191,S0002,,2025-07-01T19:59:08,In-Store,11478,1019,12497
T00000192,S0002,C001929,2025-07-01T18:08:10,In-Store,14277,480,14757
T00000193,S0002,,2025-07-01T09:21:26,In-Store,18508,742,19250
T00000194,S0002,C001585,2025-07-01T16:56:03,In-Store,8092,268,8360
T00000195,S0002,C001314,2025-07-01T18:30:48,In-Store,3349,128,3477
T00000196,S0002,C001050,2025-07-01T11:37:31,In-Store,3818,0,3818
T00000197,S0002,C001251,2025-07-01T12:00:10,In-Store,2972,42,3014
T00000198,S0002,C001356,2025-07-01T18:15:09,In-Store,8778,779,9557
T00000199,S0002,C001996,2025-07-01T18:32:55,In-Store,16362,1150,17512
T00000200,S0002,C001364,2025-07-01T13:50:46,In-Store,5470,390,5860
T00000201,S0002,,2025-07-01T12:42:03,In-Store,13663,1212,14875
T00000202,S0002,C001266,2025-07-01T10:52:07,In-Store,9368,373,9741
T00000203,S0002,C001621,2025-07-01T13:50:14,In-Store,6733,128,6861
T00000204,S0002,,2025-07-01T12:20:24,In-Store,8425,552,8977
T00000205,S0002,,2025-07-01T12:55:15,In-Store,7914,591,8505
T00000206,S0002,C001324,2025-07-01T09:34:34,Online,5557,268,5825
T00000207,S0002,C001925,2025-07-01T09:54:22,Online,6990,0,6990
T00000208,S0002,C001320,2025-07-01T21:29:03,Online,7120,579,7699
T00000209,S0002,C001190,2025-07-01T10:31:41,Online,6858,609,7467
T00000210,S0002,C001959,2025-07-01T19:22:50,Online,4648,234,4882
T00000211,S0002,C001719,2025-07-01T09:17:02,Online,2631,126,2757
T00000212,S0002,C001162,2025-07-01T11:37:58,Online,6694,439,7133
T00000213,S0002,,2025-07-01T21:49:31,Online,4015,273,4288
T00000214,S0002,C001322,2025-07-01T13:19:02,Online,5251,0,5251
T00000215,S0002,C001256,2025-07-01T10:15:33,Online,13160,444,13604
T00000216,S0002,,2025-07-01T21:33:39,Online,6651,428,7079
T00000217,S0002,C001513,2025-07-01T20:31:28,Online,9715,706,10421
T00000218,S0002,C001774,2025-07-01T10:26:46,Online,4173,137,4310
T00000219,S0002,C001766,2025-07-01T10:09:05,Online,4224,0,4224
T00000220,S0002,,2025-07-01T19:40:38,Online,8009,119,8128
T00000221,S0002,,2025-07-01T12:54:08,Online,8764,602,9366
T00000222,S0002,C001605,2025-07-01T11:52:01,Online,9471,470,9941
T00000223,S0002,,2025-07-01T19:02:38,Online,6735,257,6992
T00000224,S0002,C001264,2025-07-01T10:14:40,Online,9155,0,9155
T00000225,S0002,C001534,2025-07-01T11:33:47,Online,7927,566,8493
T00000226,S0002,C001146,2025-07-01T20:22:29,Online,2523,188,2711
T00000227,S0002,C001136,2025-07-01T12:45:52,Online,6625,390,7015
T00000228,S0002,C001894,2025-07-01T19:09:21,Online,7170,268,7438
T00000229,S0003,C002834,2025-07-01T19:56:33,In-Store,2054,121,2175
T00000230,S0003,C002771,2025-07-01T17:58:55,In-Store,21608,1674,23282
T00000231,S0003,C002294,2025-07-01T12:31:01,In-Store,6202,509,6711
T00000232,S0003,,2025-07-01T16:49:23,In-Store,21117,889,22006
T00000233,S0003,C002214,2025-07-01T14:22:54,In-Store,4876,98,4974
T00000234,S0003,C002559,2025-07-01T12:40:47,In-Store,4897,52,4949
T00000235,S0003,C002818,2025-07-01T09:14:13,In-Store,12065,793,12858
T00000236,S0003,,2025-07-01T09:49:13,In-Store,9233,525,9758
T00000237,S0003,,2025-07-01T13:15:21,In-Store,6620,406,7026
T00000238,S0003,,2025-07-01T10:44:05,In-Store,11300,408,11708
T00000239,S0003,C002002,2025-07-01T09:19:12,In-Store,7217,179,7396
T00000240,S0003,C002834,2025-07-01T17:18:17,In-Store,14347,329,14676
T00000241,S0003,C002642,2025-07-01T09:37:42,In-Store,6232,345,6577
T00000242,S0003,C002631,2025-07-01T12:36:23,In-Store,8500,545,9045
T00000243,S0003,C002492,2025-07-01T13:30:10,In-Store,15929,666,16595
T00000244,S0003,C002373,2025-07-01T08:54:50,In-Store,3372,102,3474
T00000245,S0003,,2025-07-01T13:25:29,In-Store,2660,0,2660
T00000246,S0003,C002512,2025-07-01T19:55:43,In-Store,7901,83,7984
T00000247,S0003,C002494,2025-07-01T08:03:52,In-Store,7407,277,7684
T00000248,S0003,C002851,2025-07-01T08:33:49,In-Store,6374,253,6627
T00000249,S0003,,2025-07-01T13:11:06,In-Store,3052,83,3135
T00000250,S0003,C002273,2025-07-01T09:27:21,In-Store,6005,0,6005
T00000251,S0003,C002593,2025-07-01T13:37:21,In-Store,10454,499,10953
T00000252,S0003,C002995,2025-07-01T09:21:45,In-Store,6483,220,6703
T00000253,S0003,C002919,2025-07-01T10:32:34,In-Store,7389,0,7389
T00000254,S0003,C002386,2025-07-01T13:08:01,In-Store,9511,512,10023
T00000255,S0003,C002807,2025-07-01T14:42:52,In-Store,16290,1037,17327
T00000256,S0003,C002267,2025-07-01T17:16:54,In-Store,3580,94,3674
T00000257,S0003,C002811,2025-07-01T09:17:51,In-Store,5144,144,5288
T00000258,S0003,C002970,2025-07-01T08:07:09,In-Store,6683,538,7221
T00000259,S0003,C002237,2025-07-01T12:01:41,In-Store,10720,951,11671
T00000260,S0003,C002772,2025-07-01T08:31:34,In-Store,11294,710,12004
T00000261,S0003,C002485,2025-07-01T12:55:00,In-Store,6475,262,6737
T00000262,S0003,C002522,2025-07-01T19:48:25,In-Store,6503,267,6770
T00000263,S0003,,2025-07-01T18:56:05,In-Store,27508,1633,29141
T00000264,S0003,C002712,2025-07-01T10:13:29,In-Store,13518,807,14325
T00000265,S0003,C002107,2025-07-01T08:40:33,In-Store,13208,626,13834
T00000266,S0003,C002621,2025-07-01T09:40:01,In-Store,2571,0,2571
T00000267,S0003,C002039,2025-07-01T09:52:26,In-Store,6199,251,6450
T00000268,S0003,C002552,2025-07-01T19:49:51,In-Store,5056,64,5120
T00000269,S0003,C002815,2025-07-01T08:13:34,In-Store,2776,127,2903
T00000270,S0003,C002531,2025-07-01T19:47:24,In-Store,2990,61,3051
T00000271,S0003,C002104,2025-07-01T17:59:39,In-Store,22399,1445,23844
T00000272,S0003,C002207,2025-07-01T11:44:35,In-Store,5245,190,5435
T00000273,S0003,C002068,2025-07-01T17:54:35,In-Store,4950,146,5096
T00000274,S0003,,2025-07-01T17:03:54,In-Store,3996,0,3996
T00000275,S0003,C002175,2025-07-01T18:12:48,In-Store,13126,315,13441
T00000276,S0003,C002997,2025-07-01T09:17:38,In-Store,9308,787,10095
T00000277,S0003,C002725,2025-07-01T11:05:32,In-Store,13850,909,14759
T00000278,S0003,,2025-07-01T15:12:33,In-Store,8322,582,8904
T00000279,S0003,C002819,2025-07-01T17:08:46,In-Store,6266,458,6724
T00000280,S0003,C002782,2025-07-01T12:20:15,In-Store,6180,149,6329
T00000281,S0003,C002605,2025-07-01T13:03:38,In-Store,6264,301,6565
T00000282,S0003,C002081,2025-07-01T19:03:19,In-Store,7034,0,7034
T00000283,S0003,C002785,2025-07-01T08:19:20,In-Store,6754,475,7229
T00000284,S0003,C002103,2025-07-01T14:56:39,In-Store,5885,209,6094
T00000285,S0003,C002123,2025-07-01T19:09:13,In-Store,4102,136,4238
T00000286,S0003,,2025-07-01T13:44:13,In-Store,12953,808,13761
T00000287,S0003,,2025-07-01T14:19:42,In-Store,4777,143,4920
T00000288,S0003,C002044,2025-07-01T14:56:03,In-Store,9479,507,9986
T00000289,S0003,C002370,2025-07-01T10:40:34,In-Store,27949,1566,29515
T00000290,S0003,,2025-07-01T10:12:01,In-Store,7014,0,7014
T00000291,S0003,C002753,2025-07-01T14:43:33,In-Store,6113,492,6605
T00000292,S0003,,2025-07-01T10:22:52,In-Store,7511,115,7626
T00000293,S0003,C002471,2025-07-01T09:47:42,In-Store,8610,443,9053
T00000294,S0003,C002836,2025-07-01T09:08:33,In-Store,8424,240,8664
T00000295,S0003,C002455,2025-07-01T13:34:17,In-Store,6635,263,6898
T00000296,S0003,,2025-07-01T18:31:54,In-Store,3162,228,3390
T00000297,S0003,,2025-07-01T15:25:28,In-Store,4646,76,4722
T00000298,S0003,C002525,2025-07-01T09:33:57,In-Store,2996,118,3114
T00000299,S0003,,2025-07-01T14:35:03,In-Store,3343,155,3498
T00000300,S0003,C002231,2025-07-01T12:22:27,In-Store,15080,697,15777
T00000301,S0003,C002058,2025-07-01T13:02:19,In-Store,4574,0,4574
T00000302,S0003,,2025-07-01T19:37:04,In-Store,6185,153,6338
T00000303,S0003,C002538,2025-07-01T08:57:28,In-Store,10173,340,10513
T00000304,S0003,,2025-07-01T13:57:46,In-Store,7452,386,7838
T00000305,S0003,C002624,2025-07-01T08:16:04,In-Store,6763,0,6763
T00000306,S0003,C002608,2025-07-01T09:00:48,In-Store,3693,0,3693
T00000307,S0003,C002856,2025-07-01T12:01:26,In-Store,8567,155,8722
T00000308,S0003,C002868,2025-07-01T12:16:22,In-Store,3027,0,3027
T00000309,S0003,,2025-07-01T08:58:56,In-Store,3874,174,4048
T00000310,S0003,C002259,2025-07-01T15:23:18,In-Store,7623,553,8176
T00000311,S0003,C002720,2025-07-01T11:44:17,In-Store,6765,34,6799
T00000312,S0003,C002237,2025-07-01T08:48:25,In-Store,17566,1108,18674
T00000313,S0003,,2025-07-01T19:39:39,In-Store,5402,173,5575
T00000314,S0003,C002483,2025-07-01T12:15:45,In-Store,3585,183,3768
T00000315,S0003,C002728,2025-07-01T16:05:51,In-Store,11174,483,11657
T00000316,S0003,C002768,2025-07-01T11:58:25,In-Store,5616,97,5713
T00000317,S0003,C002835,2025-07-01T18:43:16,In-Store,19120,1411,20531
T00000318,S0003,C002671,2025-07-01T09:54:10,In-Store,3771,47,3818
T00000319,S0003,C002502,2025-07-01T08:43:54,In-Store,5981,220,6201
T00000320,S0003,C002465,2025-07-01T09:03:33,Online,6292,405,6697
T00000321,S0003,C002608,2025-07-01T13:12:57,Online,14517,997,15514
T00000322,S0003,C002008,2025-07-01T09:08:34,Online,8089,285,8374
T00000323,S0003,C002197,2025-07-01T12:25:24,Online,1844,56,1900
T00000324,S0003,C002895,2025-07-01T10:31:17,Online,7642,147,7789
T00000325,S0003,C002466,2025-07-01T19:08:36,Online,3669,0,3669
T00000326,S0003,C002688,2025-07-01T21:31:53,Online,3907,112,4019
T00000327,S0003,C002358,2025-07-01T12:24:58,Online,4206,132,4338
T00000328,S0003,C002738,2025-07-01T12:06:35,Online,15044,637,15681
T00000329,S0003,C002078,2025-07-01T09:13:42,Online,2331,39,2370
T00000330,S0003,C002611,2025-07-01T10:00:36,Online,2033,181,2214
T00000331,S0003,,2025-07-01T21:01:44,Online,6466,427,6893
T00000332,S0003,C002098,2025-07-01T21:55:42,Online,21430,1345,22775
T00000333,S0003,C002923,2025-07-01T09:39:11,Online,7584,579,8163
T00000334,S0003,C002094,2025-07-01T10:51:14,Online,4279,143,4422
T00000335,S0003,C002048,2025-07-01T20:45:46,Online,4473,137,4610
T00000336,S0003,C002689,2025-07-01T20:21:33,Online,4432,136,4568
T00000337,S0003,C002499,2025-07-01T19:58:40,Online,7508,427,7935
T00000338,S0003,C002323,2025-07-01T10:40:08,Online,12124,700,12824
T00000339,S0003,,2025-07-01T19:11:56,Online,5568,135,5703
T00000340,S0003,,2025-07-01T09:07:22,Online,3286,0,3286
T00000341,S0003,C002487,2025-07-01T20:03:03,Online,2270,0,2270
T00000342,S0003,C002520,2025-07-01T09:16:16,Online,10451,614,11065
T00000343,S0004,C003768,2025-07-01T09:45:32,In-Store,10901,509,11410
T00000344,S0004,C003994,2025-07-01T14:19:23,In-Store,2810,0,2810
T00000345,S0004,,2025-07-01T08:48:44,In-Store,8868,652,9520
T00000346,S0004,C003582,2025-07-01T16:08:47,In-Store,7802,384,8186
T00000347,S0004,C003492,2025-07-01T18:02:17,In-Store,5826,262,6088
T00000348,S0004,,2025-07-01T12:25:43,In-Store,9259,632,9891
T00000349,S0004,C003675,2025-07-01T16:02:51,In-Store,3854,144,3998
T00000350,S0004,C003349,2025-07-01T16:29:51,In-Store,11077,837,11914
T00000351,S0004,,2025-07-01T08:15:50,In-Store,17333,386,17719
T00000352,S0004,C003149,2025-07-01T12:39:05,In-Store,6396,147,6543
T00000353,S0004,C003466,2025-07-01T13:42:52,In-Store,7227,532,7759
T00000354,S0004,C003210,2025-07-01T12:55:03,In-Store,2119,0,2119
T00000355,S0004,C003441,2025-07-01T09:23:41,In-Store,3365,141,3506
T00000356,S0004,C003245,2025-07-01T18:29:19,In-Store,6126,0,6126
T00000357,S0004,,2025-07-01T09:37:46,In-Store,10449,673,11122
T00000358,S0004,C003466,2025-07-01T17:51:48,In-Store,7444,660,8104
T00000359,S0004,C003078,2025-07-01T19:08:00,In-Store,12870,860,13730
T00000360,S0004,C003736,2025-07-01T08:04:32,In-Store,14927,973,15900
T00000361,S0004,C003651,2025-07-01T08:07:45,In-Store,6814,314,7128
T00000362,S0004,,2025-07-01T19:25:31,In-Store,5419,0,5419
T00000363,S0004,C003667,2025-07-01T09:05:10,In-Store,7938,705,8643
T00000364,S0004,C003293,2025-07-01T09:18:46,In-Store,3406,132,3538
