product_id,upc,brand,product_name,category,subcategory,size,unit_of_measure,base_price_cents,tax_code,is_perishable,is_age_restricted,brand_tier,created_date
P00038,100000000037,Harbor & Co.,Harbor & Co. Beer 750 ml,Alcohol,Beer,750 ml,ml,1525,ALCOHOL,False,True,National,2024-01-15
P00039,100000000038,Village Choice,Village Choice Sparkling Water 12 pk,Beverages,Sparkling Water,12 pk,ct,664,FOOD_TAXABLE,False,False,Premium,2024-01-15
P00040,100000000039,Harbor & Co.,Harbor & Co. Salmon 12 pk,Meat and Seafood,Salmon,12 pk,ct,1038,FOOD_NONTAX,True,False,National,2024-01-15
P00041,100000000040,Mancino Private Label,Mancino Private Label Cereal 24 oz,Breakfast & Cereal,Cereal,24 oz,oz,680,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00042,100000000041,Hudson Valley,Hudson Valley Beer 12 pk,Alcohol,Beer,12 pk,ct,1793,ALCOHOL,False,True,National,2024-01-15
P00043,100000000042,Mancino Essentials,Mancino Essentials Milk 2 lb,Dairy & Eggs,Milk,2 lb,lb,429,FOOD_NONTAX,True,False,Private Label,2024-01-15
P00044,100000000043,Mancino Private Label,Mancino Private Label Flour 24 oz,Baking,Flour,24 oz,oz,502,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00045,100000000044,Harbor & Co.,Harbor & Co. Cereal 24 oz,Breakfast & Cereal,Cereal,24 oz,oz,389,FOOD_NONTAX,False,False,National,2024-01-15
P00046,100000000045,Hudson Valley,Hudson Valley Soda 750 ml,Beverages,Soda,750 ml,ml,644,FOOD_TAXABLE,False,False,National,2024-01-15
P00047,100000000046,Fifth Ave Reserve,Fifth Ave Reserve Cat Kibble 32 oz,Pet Food,Cat Kibble,32 oz,oz,1569,FOOD_TAXABLE,False,False,Premium,2024-01-15
P00048,100000000047,EastRiver,EastRiver Chocolate 6 pk,Candy,Chocolate,6 pk,ct,385,FOOD_TAXABLE,False,False,National,2024-01-15
P00049,100000000048,Mancino Private Label,Mancino Private Label Salmon 32 oz,Meat and Seafood,Salmon,32 oz,oz,1281,FOOD_NONTAX,True,False,Private Label,2024-01-15
P00050,100000000049,Mancino Essentials,Mancino Essentials Sparkling Water 2 lb,Beverages,Sparkling Water,2 lb,lb,363,FOOD_TAXABLE,False,False,Private Label,2024-01-15
P00051,100000000050,Mancino Select,Mancino Select Wine 32 oz,Alcohol,Wine,32 oz,oz,1507,ALCOHOL,False,True,Private Label,2024-01-15
P00052,100000000051,Gotham Goods,Gotham Goods Frozen Pizza 1 lb,Frozen Foods,Frozen Pizza,1 lb,lb,728,FOOD_NONTAX,False,False,National,2024-01-15
P00053,100000000052,Mancino Essentials,Mancino Essentials Wine 6 pk,Alcohol,Wine,6 pk,ct,1468,ALCOHOL,False,True,Private Label,2024-01-15
P00054,100000000053,Harbor & Co.,Harbor & Co. Yogurt 12 oz,Dairy & Eggs,Yogurt,12 oz,oz,294,FOOD_NONTAX,True,False,National,2024-01-15
P00055,100000000054,EastRiver,EastRiver Beer 2 lb,Alcohol,Beer,2 lb,lb,1664,ALCOHOL,False,True,National,2024-01-15
P00056,100000000055,Mancino Essentials,Mancino Essentials Frozen Pizza 12 pk,Frozen Foods,Frozen Pizza,12 pk,ct,994,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00057,100000000056,Mancino Private Label,Mancino Private Label Soda 32 oz,Beverages,Soda,32 oz,oz,394,FOOD_TAXABLE,False,False,Private Label,2024-01-15
P00058,100000000057,MetroFresh,MetroFresh Potato Chips 750 ml,Snacks/Cookies/Chips,Potato Chips,750 ml,ml,462,FOOD_NONTAX,False,False,National,2024-01-15
P00059,100000000058,MetroFresh,MetroFresh Chocolate 1 L,Candy,Chocolate,1 L,L,405,FOOD_TAXABLE,False,False,National,2024-01-15
P00060,100000000059,Mancino Select,Mancino Select Soda 6 pk,Beverages,Soda,6 pk,ct,628,FOOD_TAXABLE,False,False,Private Label,2024-01-15
P00061,100000000060,Gotham Goods,Gotham Goods Milk 16 oz,Dairy & Eggs,Milk,16 oz,oz,393,FOOD_NONTAX,True,False,National,2024-01-15
P00062,100000000061,Gotham Goods,Gotham Goods Beer 12 pk,Alcohol,Beer,12 pk,ct,1461,ALCOHOL,False,True,National,2024-01-15
P00063,100000000062,MetroFresh,MetroFresh Cold Cuts 1 L,Deli,Cold Cuts,1 L,L,601,FOOD_NONTAX,True,False,National,2024-01-15
P00064,100000000063,Harbor & Co.,Harbor & Co. Potato Chips 12 oz,Snacks/Cookies/Chips,Potato Chips,12 oz,oz,454,FOOD_NONTAX,False,False,National,2024-01-15
P00065,100000000064,SoHo Artisan,SoHo Artisan Prepared Salad 6 pk,Prepared Meals,Prepared Salad,6 pk,ct,749,FOOD_TAXABLE,True,False,Premium,2024-01-15
P00066,100000000065,Village Choice,Village Choice Beer 1 L,Alcohol,Beer,1 L,L,1682,ALCOHOL,False,True,Premium,2024-01-15
P00067,100000000066,EastRiver,EastRiver Bread 2 lb,Bakery,Bread,2 lb,lb,478,FOOD_NONTAX,True,False,National,2024-01-15
P00068,100000000067,Fifth Ave Reserve,Fifth Ave Reserve Potato Chips 750 ml,Snacks/Cookies/Chips,Potato Chips,750 ml,ml,484,FOOD_NONTAX,False,False,Premium,2024-01-15
P00069,100000000068,Harbor & Co.,Harbor & Co. Dog Kibble 2 lb,Pet Food,Dog Kibble,2 lb,lb,1423,FOOD_TAXABLE,False,False,National,2024-01-15
P00070,100000000069,Mancino Select,Mancino Select Sparkling Water 16 oz,Beverages,Sparkling Water,16 oz,oz,558,FOOD_TAXABLE,False,False,Private Label,2024-01-15
P00071,100000000070,Mancino Essentials,Mancino Essentials Soda 24 oz,Beverages,Soda,24 oz,oz,546,FOOD_TAXABLE,False,False,Private Label,2024-01-15
P00072,100000000071,Mancino Select,Mancino Select Salmon 2 lb,Meat and Seafood,Salmon,2 lb,lb,1059,FOOD_NONTAX,True,False,Private Label,2024-01-15
P00073,100000000072,Gotham Goods,Gotham Goods Soda 1 L,Beverages,Soda,1 L,L,625,FOOD_TAXABLE,False,False,National,2024-01-15
P00074,100000000073,MetroFresh,MetroFresh Bread 1 lb,Bakery,Bread,1 lb,lb,304,FOOD_NONTAX,True,False,National,2024-01-15
P00075,100000000074,MetroFresh,MetroFresh Cereal 24 oz,Breakfast & Cereal,Cereal,24 oz,oz,426,FOOD_NONTAX,False,False,National,2024-01-15
P00076,100000000075,Mancino Essentials,Mancino Essentials Beer 12 oz,Alcohol,Beer,12 oz,oz,1512,ALCOHOL,False,True,Private Label,2024-01-15
P00077,100000000076,EastRiver,EastRiver Milk 32 oz,Dairy & Eggs,Milk,32 oz,oz,465,FOOD_NONTAX,True,False,National,2024-01-15
P00078,100000000077,Hudson Valley,Hudson Valley Cat Kibble 750 ml,Pet Food,Cat Kibble,750 ml,ml,1555,FOOD_TAXABLE,False,False,National,2024-01-15
P00079,100000000078,Gotham Goods,Gotham Goods Bread 32 oz,Bakery,Bread,32 oz,oz,359,FOOD_NONTAX,True,False,National,2024-01-15
P00080,100000000079,MetroFresh,MetroFresh Prepared Salad 12 oz,Prepared Meals,Prepared Salad,12 oz,oz,800,FOOD_TAXABLE,True,False,National,2024-01-15
P00081,100000000080,Gotham Goods,Gotham Goods Milk 750 ml,Dairy & Eggs,Milk,750 ml,ml,397,FOOD_NONTAX,True,False,National,2024-01-15
P00082,100000000081,Gotham Goods,Gotham Goods Beer 1 lb,Alcohol,Beer,1 lb,lb,1494,ALCOHOL,False,True,National,2024-01-15
P00083,100000000082,Mancino Essentials,Mancino Essentials Potato Chips 1 L,Snacks/Cookies/Chips,Potato Chips,1 L,L,266,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00084,100000000083,SoHo Artisan,SoHo Artisan Yogurt 12 oz,Dairy & Eggs,Yogurt,12 oz,oz,503,FOOD_NONTAX,True,False,Premium,2024-01-15
P00085,100000000084,EastRiver,EastRiver Salmon 1 L,Meat and Seafood,Salmon,1 L,L,1141,FOOD_NONTAX,True,False,National,2024-01-15
P00086,100000000085,EastRiver,EastRiver Prepared Salad 12 oz,Prepared Meals,Prepared Salad,12 oz,oz,846,FOOD_TAXABLE,True,False,National,2024-01-15
P00087,100000000086,MetroFresh,MetroFresh Potato Chips 6 pk,Snacks/Cookies/Chips,Potato Chips,6 pk,ct,517,FOOD_NONTAX,False,False,National,2024-01-15
P00088,100000000087,EastRiver,EastRiver Salmon 1 L,Meat and Seafood,Salmon,1 L,L,1180,FOOD_NONTAX,True,False,National,2024-01-15
P00089,100000000088,Hudson Valley,Hudson Valley Dog Kibble 24 oz,Pet Food,Dog Kibble,24 oz,oz,1440,FOOD_TAXABLE,False,False,National,2024-01-15
P00090,100000000089,Gotham Goods,Gotham Goods Bread 1 lb,Bakery,Bread,1 lb,lb,578,FOOD_NONTAX,True,False,National,2024-01-15
P00091,100000000090,Gotham Goods,Gotham Goods Dog Kibble 1 lb,Pet Food,Dog Kibble,1 lb,lb,1403,FOOD_TAXABLE,False,False,National,2024-01-15
P00092,100000000091,Mancino Essentials,Mancino Essentials Flour 1 L,Baking,Flour,1 L,L,696,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00093,100000000092,MetroFresh,MetroFresh Pasta 24 oz,Grains and Pasta,Pasta,24 oz,oz,407,FOOD_NONTAX,False,False,National,2024-01-15
P00094,100000000093,EastRiver,EastRiver Frozen Pizza 2 lb,Frozen Foods,Frozen Pizza,2 lb,lb,657,FOOD_NONTAX,False,False,National,2024-01-15
P00095,100000000094,Hudson Valley,Hudson Valley Milk 16 oz,Dairy & Eggs,Milk,16 oz,oz,568,FOOD_NONTAX,True,False,National,2024-01-15
P00096,100000000095,Harbor & Co.,Harbor & Co. Prepared Salad 12 pk,Prepared Meals,Prepared Salad,12 pk,ct,780,FOOD_TAXABLE,True,False,National,2024-01-15
P00097,100000000096,MetroFresh,MetroFresh Dog Kibble 32 oz,Pet Food,Dog Kibble,32 oz,oz,1383,FOOD_TAXABLE,False,False,National,2024-01-15
P00098,100000000097,Fifth Ave Reserve,Fifth Ave Reserve Wine 12 oz,Alcohol,Wine,12 oz,oz,1748,ALCOHOL,False,True,Premium,2024-01-15
P00099,100000000098,Mancino Select,Mancino Select Prepared Salad 1 L,Prepared Meals,Prepared Salad,1 L,L,911,FOOD_TAXABLE,True,False,Private Label,2024-01-15
P00100,100000000099,MetroFresh,MetroFresh Sparkling Water 1 L,Beverages,Sparkling Water,1 L,L,501,FOOD_TAXABLE,False,False,National,2024-01-15
P00101,100000000100,SoHo Artisan,SoHo Artisan Cat Kibble 1 lb,Pet Food,Cat Kibble,1 lb,lb,1661,FOOD_TAXABLE,False,False,Premium,2024-01-15
P00102,100000000101,Harbor & Co.,Harbor & Co. Frozen Pizza 2 lb,Frozen Foods,Frozen Pizza,2 lb,lb,921,FOOD_NONTAX,False,False,National,2024-01-15
P00103,100000000102,SoHo Artisan,SoHo Artisan Cat Kibble 6 pk,Pet Food,Cat Kibble,6 pk,ct,1565,FOOD_TAXABLE,False,False,Premium,2024-01-15
P00104,100000000103,Harbor & Co.,Harbor & Co. Frozen Pizza 32 oz,Frozen Foods,Frozen Pizza,32 oz,oz,768,FOOD_NONTAX,False,False,National,2024-01-15
P00105,100000000104,Mancino Essentials,Mancino Essentials Wine 750 ml,Alcohol,Wine,750 ml,ml,1753,ALCOHOL,False,True,Private Label,2024-01-15
P00106,100000000105,Mancino Private Label,Mancino Private Label Dog Kibble 2 lb,Pet Food,Dog Kibble,2 lb,lb,1384,FOOD_TAXABLE,False,False,Private Label,2024-01-15
P00107,100000000106,Gotham Goods,Gotham Goods Wine 750 ml,Alcohol,Wine,750 ml,ml,1673,ALCOHOL,False,True,National,2024-01-15
P00108,100000000107,EastRiver,EastRiver Wine 1 lb,Alcohol,Wine,1 lb,lb,1693,ALCOHOL,False,True,National,2024-01-15
P00109,100000000108,Harbor & Co.,Harbor & Co. Frozen Pizza 16 oz,Frozen Foods,Frozen Pizza,16 oz,oz,767,FOOD_NONTAX,False,False,National,2024-01-15
P00110,100000000109,Mancino Essentials,Mancino Essentials Prepared Salad 1 L,Prepared Meals,Prepared Salad,1 L,L,893,FOOD_TAXABLE,True,False,Private Label,2024-01-15
P00111,100000000110,Harbor & Co.,Harbor & Co. Chicken 24 oz,Meat and Seafood,Chicken,24 oz,oz,1292,FOOD_NONTAX,True,False,National,2024-01-15
P00112,100000000111,EastRiver,EastRiver Yogurt 12 pk,Dairy & Eggs,Yogurt,12 pk,ct,545,FOOD_NONTAX,True,False,National,2024-01-15
P00113,100000000112,Hudson Valley,Hudson Valley Beer 32 oz,Alcohol,Beer,32 oz,oz,1774,ALCOHOL,False,True,National,2024-01-15
P00114,100000000113,Gotham Goods,Gotham Goods Potato Chips 24 oz,Snacks/Cookies/Chips,Potato Chips,24 oz,oz,401,FOOD_NONTAX,False,False,National,2024-01-15
P00115,100000000114,EastRiver,EastRiver Dog Kibble 24 oz,Pet Food,Dog Kibble,24 oz,oz,1506,FOOD_TAXABLE,False,False,National,2024-01-15
P00116,100000000115,EastRiver,EastRiver Frozen Pizza 750 ml,Frozen Foods,Frozen Pizza,750 ml,ml,918,FOOD_NONTAX,False,False,National,2024-01-15
P00117,100000000116,Mancino Essentials,Mancino Essentials Pasta 6 pk,Grains and Pasta,Pasta,6 pk,ct,498,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00118,100000000117,Harbor & Co.,Harbor & Co. Flour 1 L,Baking,Flour,1 L,L,636,FOOD_NONTAX,False,False,National,2024-01-15
P00119,100000000118,MetroFresh,MetroFresh Chocolate 32 oz,Candy,Chocolate,32 oz,oz,470,FOOD_TAXABLE,False,False,National,2024-01-15
P00120,100000000119,Harbor & Co.,Harbor & Co. Chicken 32 oz,Meat and Seafood,Chicken,32 oz,oz,1203,FOOD_NONTAX,True,False,National,2024-01-15
P00121,100000000120,EastRiver,EastRiver Milk 16 oz,Dairy & Eggs,Milk,16 oz,oz,306,FOOD_NONTAX,True,False,National,2024-01-15
P00122,100000000121,Mancino Essentials,Mancino Essentials Cereal 32 oz,Breakfast & Cereal,Cereal,32 oz,oz,647,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00123,100000000122,Harbor & Co.,Harbor & Co. Pasta 16 oz,Grains and Pasta,Pasta,16 oz,oz,157,FOOD_NONTAX,False,False,National,2024-01-15
P00124,100000000123,Harbor & Co.,Harbor & Co. Sparkling Water 32 oz,Beverages,Sparkling Water,32 oz,oz,532,FOOD_TAXABLE,False,False,National,2024-01-15
P00125,100000000124,Harbor & Co.,Harbor & Co. Potato Chips 12 pk,Snacks/Cookies/Chips,Potato Chips,12 pk,ct,351,FOOD_NONTAX,False,False,National,2024-01-15
P00126,100000000125,EastRiver,EastRiver Bread 750 ml,Bakery,Bread,750 ml,ml,316,FOOD_NONTAX,True,False,National,2024-01-15
P00127,100000000126,Gotham Goods,Gotham Goods Yogurt 750 ml,Dairy & Eggs,Yogurt,750 ml,ml,409,FOOD_NONTAX,True,False,National,2024-01-15
P00128,100000000127,Mancino Private Label,Mancino Private Label Potato Chips 12 pk,Snacks/Cookies/Chips,Potato Chips,12 pk,ct,475,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00129,100000000128,Fifth Ave Reserve,Fifth Ave Reserve Milk 16 oz,Dairy & Eggs,Milk,16 oz,oz,352,FOOD_NONTAX,True,False,Premium,2024-01-15
P00130,100000000129,Mancino Select,Mancino Select Tomato Sauce 1 lb,Condiments/Sauces/Spices,Tomato Sauce,1 lb,lb,413,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00131,100000000130,MetroFresh,MetroFresh Chocolate 24 oz,Candy,Chocolate,24 oz,oz,198,FOOD_TAXABLE,False,False,National,2024-01-15
P00132,100000000131,Gotham Goods,Gotham Goods Prepared Salad 24 oz,Prepared Meals,Prepared Salad,24 oz,oz,787,FOOD_TAXABLE,True,False,National,2024-01-15
P00133,100000000132,SoHo Artisan,SoHo Artisan Soda 1 lb,Beverages,Soda,1 lb,lb,477,FOOD_TAXABLE,False,False,Premium,2024-01-15
P00134,100000000133,MetroFresh,MetroFresh Pasta 12 oz,Grains and Pasta,Pasta,12 oz,oz,290,FOOD_NONTAX,False,False,National,2024-01-15
P00135,100000000134,Gotham Goods,Gotham Goods Salmon 1 lb,Meat and Seafood,Salmon,1 lb,lb,1143,FOOD_NONTAX,True,False,National,2024-01-15
P00136,100000000135,EastRiver,EastRiver Flour 1 L,Baking,Flour,1 L,L,480,FOOD_NONTAX,False,False,National,2024-01-15
P00137,100000000136,Gotham Goods,Gotham Goods Soda 2 lb,Beverages,Soda,2 lb,lb,602,FOOD_TAXABLE,False,False,National,2024-01-15
P00138,100000000137,Gotham Goods,Gotham Goods Chicken 24 oz,Meat and Seafood,Chicken,24 oz,oz,1173,FOOD_NONTAX,True,False,National,2024-01-15
P00139,100000000138,Gotham Goods,Gotham Goods Dog Kibble 24 oz,Pet Food,Dog Kibble,24 oz,oz,1376,FOOD_TAXABLE,False,False,National,2024-01-15
P00140,100000000139,Harbor & Co.,Harbor & Co. Dog Kibble 1 L,Pet Food,Dog Kibble,1 L,L,1485,FOOD_TAXABLE,False,False,National,2024-01-15
P00141,100000000140,Mancino Essentials,Mancino Essentials Potato Chips 1 L,Snacks/Cookies/Chips,Potato Chips,1 L,L,401,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00142,100000000141,EastRiver,EastRiver Soda 1 lb,Beverages,Soda,1 lb,lb,443,FOOD_TAXABLE,False,False,National,2024-01-15
P00143,100000000142,Gotham Goods,Gotham Goods Yogurt 32 oz,Dairy & Eggs,Yogurt,32 oz,oz,522,FOOD_NONTAX,True,False,National,2024-01-15
P00144,100000000143,Hudson Valley,Hudson Valley Cat Kibble 12 oz,Pet Food,Cat Kibble,12 oz,oz,1467,FOOD_TAXABLE,False,False,National,2024-01-15
P00145,100000000144,SoHo Artisan,SoHo Artisan Prepared Salad 2 lb,Prepared Meals,Prepared Salad,2 lb,lb,1048,FOOD_TAXABLE,True,False,Premium,2024-01-15
P00146,100000000145,Mancino Private Label,Mancino Private Label Pasta 32 oz,Grains and Pasta,Pasta,32 oz,oz,331,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00147,100000000146,Mancino Essentials,Mancino Essentials Tomato Sauce 32 oz,Condiments/Sauces/Spices,Tomato Sauce,32 oz,oz,696,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00148,100000000147,Harbor & Co.,Harbor & Co. Potato Chips 12 pk,Snacks/Cookies/Chips,Potato Chips,12 pk,ct,380,FOOD_NONTAX,False,False,National,2024-01-15
P00149,100000000148,Mancino Select,Mancino Select Milk 2 lb,Dairy & Eggs,Milk,2 lb,lb,412,FOOD_NONTAX,True,False,Private Label,2024-01-15
P00150,100000000149,MetroFresh,MetroFresh Flour 2 lb,Baking,Flour,2 lb,lb,395,FOOD_NONTAX,False,False,National,2024-01-15
P00151,100000000150,SoHo Artisan,SoHo Artisan Prepared Salad 32 oz,Prepared Meals,Prepared Salad,32 oz,oz,846,FOOD_TAXABLE,True,False,Premium,2024-01-15
P00152,100000000151,MetroFresh,MetroFresh Potato Chips 2 lb,Snacks/Cookies/Chips,Potato Chips,2 lb,lb,358,FOOD_NONTAX,False,False,National,2024-01-15
P00153,100000000152,Village Choice,Village Choice Chocolate 12 oz,Candy,Chocolate,12 oz,oz,328,FOOD_TAXABLE,False,False,Premium,2024-01-15
P00154,100000000153,Gotham Goods,Gotham Goods Soda 1 L,Beverages,Soda,1 L,L,408,FOOD_TAXABLE,False,False,National,2024-01-15
P00155,100000000154,Gotham Goods,Gotham Goods Milk 16 oz,Dairy & Eggs,Milk,16 oz,oz,452,FOOD_NONTAX,True,False,National,2024-01-15
P00156,100000000155,Mancino Essentials,Mancino Essentials Beer 12 pk,Alcohol,Beer,12 pk,ct,1611,ALCOHOL,False,True,Private Label,2024-01-15
P00157,100000000156,Hudson Valley,Hudson Valley Milk 32 oz,Dairy & Eggs,Milk,32 oz,oz,403,FOOD_NONTAX,True,False,National,2024-01-15
P00158,100000000157,Hudson Valley,Hudson Valley Cat Kibble 6 pk,Pet Food,Cat Kibble,6 pk,ct,1522,FOOD_TAXABLE,False,False,National,2024-01-15
P00159,100000000158,Harbor & Co.,Harbor & Co. Pasta 6 pk,Grains and Pasta,Pasta,6 pk,ct,403,FOOD_NONTAX,False,False,National,2024-01-15
P00160,100000000159,EastRiver,EastRiver Tomato Sauce 16 oz,Condiments/Sauces/Spices,Tomato Sauce,16 oz,oz,525,FOOD_NONTAX,False,False,National,2024-01-15
P00161,100000000160,Harbor & Co.,Harbor & Co. Beer 32 oz,Alcohol,Beer,32 oz,oz,1718,ALCOHOL,False,True,National,2024-01-15
P00162,100000000161,Village Choice,Village Choice Flour 16 oz,Baking,Flour,16 oz,oz,457,FOOD_NONTAX,False,False,Premium,2024-01-15
P00163,100000000162,Village Choice,Village Choice Salmon 6 pk,Meat and Seafood,Salmon,6 pk,ct,1180,FOOD_NONTAX,True,False,Premium,2024-01-15
P00164,100000000163,Gotham Goods,Gotham Goods Yogurt 32 oz,Dairy & Eggs,Yogurt,32 oz,oz,529,FOOD_NONTAX,True,False,National,2024-01-15
P00165,100000000164,EastRiver,EastRiver Bread 2 lb,Bakery,Bread,2 lb,lb,264,FOOD_NONTAX,True,False,National,2024-01-15
P00166,100000000165,Mancino Private Label,Mancino Private Label Wine 24 oz,Alcohol,Wine,24 oz,oz,1748,ALCOHOL,False,True,Private Label,2024-01-15
