week,WeekendVisit,days_since_last_visit,visits_last_4w,visits_last_12w,weekend_visits_12w,avg_spend_12w,avg_items_12w,week_sin,week_cos
18,0,6,4.0,14.0,9.0,32.61571428571428,5.642857142857143,0.8229838658936565,-0.5680647467311557
19,0,13,4.0,14.0,9.0,32.61571428571428,5.642857142857143,0.7485107481711013,-0.663122658240795
20,1,20,2.0,13.0,8.0,31.64769230769231,5.615384615384615,0.6631226582407952,-0.7485107481711012
21,0,5,2.0,14.0,9.0,33.817142857142855,5.785714285714286,0.5680647467311558,-0.8229838658936564
22,0,6,2.0,13.0,8.0,35.285384615384615,6.0,0.46472317204376906,-0.8854560256532096
23,0,13,2.0,13.0,8.0,35.285384615384615,6.0,0.35460488704253584,-0.9350162426854147
24,1,20,2.0,10.0,5.0,30.469,5.4,0.23931566428755768,-0.970941817426052
25,1,1,4.0,11.0,5.0,30.90818181818182,5.7272727272727275,0.12053668025532308,-0.992708874098054
26,1,5,4.0,10.0,4.0,32.39,5.9,-3.216245299353273e-16,-1.0
27,0,3,5.0,11.0,5.0,30.654545454545453,5.7272727272727275,-0.12053668025532283,-0.992708874098054
28,1,0,6.0,10.0,5.0,28.175,5.5,-0.23931566428755743,-0.9709418174260521
29,0,2,5.0,11.0,6.0,28.91272727272727,6.0,-0.3546048870425356,-0.9350162426854148
30,0,9,4.0,10.0,6.0,30.106,6.1,-0.46472317204376806,-0.8854560256532101
31,1,6,4.0,11.0,6.0,28.41909090909091,5.818181818181818,-0.5680647467311556,-0.8229838658936565
32,0,3,4.0,12.0,7.0,27.97583333333333,5.916666666666667,-0.663122658240795,-0.7485107481711013
33,1,10,2.0,11.0,6.0,24.88090909090909,5.7272727272727275,-0.7485107481711011,-0.6631226582407952
34,1,3,3.0,11.0,7.0,24.188181818181818,5.818181818181818,-0.8229838658936564,-0.5680647467311559
35,0,3,4.0,13.0,8.0,24.53923076923077,5.6923076923076925,-0.8854560256532096,-0.4647231720437691
36,0,0,4.0,14.0,8.0,23.862142857142857,5.642857142857143,-0.9350162426854147,-0.3546048870425359
37,0,7,4.0,11.0,6.0,21.32272727272727,5.363636363636363,-0.970941817426052,-0.23931566428755774
38,0,14,3.0,10.0,5.0,20.525,5.4,-0.992708874098054,-0.12053668025532357
39,0,6,2.0,10.0,4.0,20.799,5.4,-1.0,-1.8369701987210297e-16
40,0,13,1.0,9.0,4.0,21.288888888888888,5.555555555555555,-0.992708874098054,0.1205366802553232
41,0,20,1.0,7.0,3.0,18.610000000000003,4.714285714285714,-0.9709418174260521,0.23931566428755738
42,0,27,1.0,7.0,3.0,18.610000000000003,4.714285714285714,-0.9350162426854148,0.35460488704253557
43,1,34,0.0,6.0,3.0,19.786666666666665,5.0,-0.8854560256532101,0.464723172043768
44,1,5,1.0,6.0,3.0,21.055,4.833333333333333,-0.822983865893657,0.5680647467311548
2,0,1,1.0,1.0,0.0,50.42,8.0,0.23931566428755774,0.970941817426052
3,1,6,2.0,2.0,0.0,46.99,6.5,0.3546048870425356,0.9350162426854148
4,0,4,3.0,3.0,1.0,38.26666666666667,6.333333333333333,0.4647231720437685,0.8854560256532099
5,0,11,3.0,3.0,1.0,38.26666666666667,6.333333333333333,0.5680647467311558,0.8229838658936564
6,0,18,2.0,3.0,1.0,38.26666666666667,6.333333333333333,0.6631226582407952,0.7485107481711011
7,1,25,1.0,3.0,1.0,38.26666666666667,6.333333333333333,0.7485107481711011,0.6631226582407953
8,1,3,1.0,4.0,2.0,33.3175,6.0,0.8229838658936564,0.5680647467311559
9,0,2,4.0,7.0,4.0,40.12428571428571,6.714285714285714,0.8854560256532099,0.4647231720437686
10,0,9,4.0,7.0,4.0,40.12428571428571,6.714285714285714,0.9350162426854148,0.35460488704253557
11,1,2,5.0,8.0,4.0,41.85,6.625,0.970941817426052,0.23931566428755804
12,0,5,5.0,9.0,5.0,40.16444444444445,6.555555555555555,0.992708874098054,0.120536680255323
13,0,0,4.0,11.0,5.0,35.93818181818182,6.0,1.0,-1.6081226496766364e-16
14,1,1,5.0,11.0,5.0,31.567272727272723,5.363636363636363,0.992708874098054,-0.12053668025532288
15,0,3,5.0,11.0,6.0,30.257272727272724,5.454545454545454,0.9709418174260521,-0.2393156642875575
16,0,10,4.0,10.0,5.0,31.201,5.4,0.9350162426854148,-0.35460488704253545
17,0,17,2.0,10.0,5.0,31.201,5.4,0.8854560256532099,-0.4647231720437685
18,1,24,1.0,10.0,5.0,31.201,5.4,0.8229838658936565,-0.5680647467311557
19,1,4,2.0,12.0,7.0,31.60833333333333,5.75,0.7485107481711013,-0.663122658240795
20,1,1,4.0,13.0,7.0,32.29692307692307,5.461538461538462,0.6631226582407952,-0.7485107481711012
21,0,4,5.0,11.0,6.0,29.89272727272727,5.363636363636363,0.5680647467311558,-0.8229838658936564
22,0,11,5.0,11.0,6.0,29.89272727272727,5.363636363636363,0.46472317204376906,-0.8854560256532096
23,0,18,3.0,10.0,6.0,27.488999999999997,5.3,0.35460488704253584,-0.9350162426854147
24,0,1,2.0,10.0,5.0,26.694,5.0,0.23931566428755768,-0.970941817426052
25,0,0,3.0,10.0,5.0,29.287,5.4,0.12053668025532308,-0.992708874098054
26,1,7,3.0,9.0,5.0,32.281111111111116,5.888888888888889,-3.216245299353273e-16,-1.0
27,0,6,4.0,9.0,5.0,34.82666666666667,6.111111111111111,-0.12053668025532283,-0.992708874098054
28,1,1,4.0,10.0,5.0,34.875,6.0,-0.23931566428755743,-0.9709418174260521
29,0,4,3.0,11.0,6.0,33.03363636363636,5.636363636363637,-0.3546048870425356,-0.9350162426854148
30,0,11,3.0,11.0,6.0,33.03363636363636,5.636363636363637,-0.46472317204376806,-0.8854560256532101
31,1,1,3.0,10.0,4.0,32.844,5.1,-0.5680647467311556,-0.8229838658936565
32,0,5,3.0,9.0,4.0,34.11222222222222,5.555555555555555,-0.663122658240795,-0.7485107481711013
33,0,12,2.0,8.0,3.0,31.30625,4.875,-0.7485107481711011,-0.6631226582407952
34,0,2,3.0,9.0,3.0,31.843333333333337,4.777777777777778,-0.8229838658936564,-0.5680647467311559
35,1,2,3.0,10.0,3.0,29.736,4.6,-0.8854560256532096,-0.4647231720437691
36,0,3,3.0,10.0,4.0,30.825,5.1,-0.9350162426854147,-0.3546048870425359
37,0,10,3.0,8.0,4.0,31.060000000000002,5.0,-0.970941817426052,-0.23931566428755774
38,0,17,2.0,8.0,4.0,31.060000000000002,5.0,-0.992708874098054,-0.12053668025532357
39,0,1,2.0,8.0,3.0,25.83,4.25,-1.0,-1.8369701987210297e-16
40,1,8,1.0,7.0,3.0,24.475714285714282,4.142857142857143,-0.992708874098054,0.1205366802553232
41,0,5,2.0,7.0,3.0,26.555714285714284,4.142857142857143,-0.9709418174260521,0.23931566428755738
42,1,12,2.0,7.0,3.0,26.555714285714284,4.142857142857143,-0.9350162426854148,0.35460488704253557
43,0,3,2.0,7.0,4.0,27.722857142857144,4.571428571428571,-0.8854560256532101,0.464723172043768
44,0,10,2.0,6.0,3.0,26.076666666666668,4.333333333333333,-0.822983865893657,0.5680647467311548
3,0,4,1.0,1.0,1.0,47.64,7.0,0.3546048870425356,0.9350162426854148
4,0,11,1.0,1.0,1.0,47.64,7.0,0.4647231720437685,0.8854560256532099
5,1,18,1.0,1.0,1.0,47.64,7.0,0.5680647467311558,0.8229838658936564
6,1,3,3.0,3.0,3.0,24.953333333333333,4.0,0.6631226582407952,0.7485107481711011
7,0,2,4.0,5.0,4.0,25.604000000000003,3.8,0.7485107481711011,0.6631226582407953
8,0,9,4.0,5.0,4.0,25.604000000000003,3.8,0.8229838658936564,0.5680647467311559
9,0,16,4.0,5.0,4.0,25.604000000000003,3.8,0.8854560256532099,0.4647231720437686
10,1,23,2.0,5.0,4.0,25.604000000000003,3.8,0.9350162426854148,0.35460488704253557
11,0,4,1.0,6.0,5.0,24.145,4.0,0.970941817426052,0.23931566428755804
12,0,0,3.0,8.0,5.0,23.88875,4.375,0.992708874098054,0.120536680255323
13,0,2,4.0,9.0,5.0,24.24111111111111,4.222222222222222,1.0,-1.6081226496766364e-16
14,1,9,4.0,9.0,5.0,24.24111111111111,4.222222222222222,0.992708874098054,-0.12053668025532288
15,0,3,4.0,9.0,5.0,21.514444444444443,4.111111111111111,0.9709418174260521,-0.2393156642875575
16,1,10,2.0,9.0,5.0,21.514444444444443,4.111111111111111,0.9350162426854148,-0.35460488704253545
17,1,3,2.0,10.0,6.0,23.949,4.4,0.8854560256532099,-0.4647231720437685
18,0,3,4.0,10.0,6.0,28.657,5.3,0.8229838658936565,-0.5680647467311557
19,1,10,3.0,8.0,5.0,29.17625,5.75,0.7485107481711013,-0.663122658240795
20,0,0,5.0,10.0,6.0,31.127999999999997,5.6,0.6631226582407952,-0.7485107481711012
21,0,7,4.0,10.0,6.0,31.127999999999997,5.6,0.5680647467311558,-0.8229838658936564
22,1,14,2.0,10.0,6.0,31.127999999999997,5.6,0.46472317204376906,-0.8854560256532096
23,1,3,3.0,10.0,6.0,30.145999999999997,5.2,0.35460488704253584,-0.9350162426854147
24,1,4,2.0,9.0,7.0,29.532222222222224,4.888888888888889,0.23931566428755768,-0.970941817426052
25,0,3,3.0,9.0,8.0,27.753333333333334,4.777777777777778,0.12053668025532308,-0.992708874098054
26,1,10,3.0,9.0,8.0,27.753333333333334,4.777777777777778,-3.216245299353273e-16,-1.0
27,1,0,4.0,10.0,8.0,25.743000000000002,4.4,-0.12053668025532283,-0.992708874098054
28,1,1,6.0,13.0,10.0,24.12923076923077,4.076923076923077,-0.23931566428755743,-0.9709418174260521
29,0,0,7.0,14.0,10.0,20.819285714285716,3.857142857142857,-0.3546048870425356,-0.9350162426854148
30,1,7,7.0,12.0,8.0,18.0975,3.3333333333333335,-0.46472317204376806,-0.8854560256532101
31,0,4,6.0,13.0,9.0,20.434615384615384,3.6923076923076925,-0.5680647467311556,-0.8229838658936565
32,1,11,3.0,11.0,8.0,17.07090909090909,3.4545454545454546,-0.663122658240795,-0.7485107481711013
33,0,3,2.0,12.0,9.0,17.39916666666667,3.5833333333333335,-0.7485107481711011,-0.6631226582407952
34,0,10,2.0,12.0,9.0,17.39916666666667,3.5833333333333335,-0.8229838658936564,-0.5680647467311559
35,1,6,2.0,12.0,8.0,20.606666666666666,3.9166666666666665,-0.8854560256532096,-0.4647231720437691
36,1,3,3.0,12.0,8.0,21.395833333333332,4.0,-0.9350162426854147,-0.3546048870425359
37,1,2,5.0,14.0,9.0,27.825714285714287,5.428571428571429,-0.970941817426052,-0.23931566428755774
38,0,3,7.0,16.0,11.0,29.653125,5.4375,-0.992708874098054,-0.12053668025532357
39,0,0,9.0,17.0,10.0,32.75941176470588,5.764705882352941,-1.0,-1.8369701987210297e-16
40,0,0,9.0,15.0,8.0,36.73066666666667,6.466666666666667,-0.992708874098054,0.1205366802553232
41,0,7,6.0,13.0,7.0,40.56230769230769,6.846153846153846,-0.9709418174260521,0.23931566428755738
42,0,1,5.0,14.0,7.0,39.30785714285714,6.642857142857143,-0.9350162426854148,0.35460488704253557
43,0,8,2.0,13.0,6.0,38.60230769230769,6.538461538461538,-0.8854560256532101,0.464723172043768
44,0,15,1.0,13.0,6.0,38.60230769230769,6.538461538461538,-0.822983865893657,0.5680647467311548
3,0,2,1.0,1.0,0.0,58.87,12.0,0.3546048870425356,0.9350162426854148
4,0,9,1.0,1.0,0.0,58.87,12.0,0.4647231720437685,0.8854560256532099
5,0,0,2.0,2.0,0.0,68.985,10.5,0.5680647467311558,0.8229838658936564
6,0,7,2.0,2.0,0.0,68.985,10.5,0.6631226582407952,0.7485107481711011
7,0,14,1.0,2.0,0.0,68.985,10.5,0.7485107481711011,0.6631226582407953
8,0,21,1.0,2.0,0.0,68.985,10.5,0.8229838658936564,0.5680647467311559
9,0,28,0.0,2.0,0.0,68.985,10.5,0.8854560256532099,0.4647231720437686
10,0,1,1.0,3.0,0.0,49.76333333333334,7.333333333333333,0.9350162426854148,0.35460488704253557
11,1,8,1.0,3.0,0.0,49.76333333333334,7.333333333333333,0.970941817426052,0.23931566428755804
12,0,3,2.0,4.0,1.0,44.1525,7.0,0.992708874098054,0.120536680255323
13,1,0,4.0,6.0,1.0,36.12666666666667,5.666666666666667,1.0,-1.6081226496766364e-16
14,1,3,4.0,7.0,2.0,32.885714285714286,5.428571428571429,0.992708874098054,-0.12053668025532288
15,1,1,7.0,9.0,3.0,28.43888888888889,4.0,0.9709418174260521,-0.2393156642875575
16,1,0,8.0,11.0,4.0,30.030909090909095,4.7272727272727275,0.9350162426854148,-0.35460488704253545
17,0,2,8.0,12.0,5.0,27.4225,4.666666666666667,0.8854560256532099,-0.4647231720437685
18,0,1,8.0,13.0,5.0,27.04,4.538461538461538,0.8229838658936565,-0.5680647467311557
19,0,0,7.0,15.0,5.0,26.881333333333334,4.6,0.7485107481711013,-0.663122658240795
20,0,7,5.0,15.0,5.0,26.881333333333334,4.6,0.6631226582407952,-0.7485107481711012
21,0,6,4.0,16.0,5.0,25.59,4.4375,0.5680647467311558,-0.8229838658936564
22,1,2,4.0,16.0,5.0,27.488125,4.875,0.46472317204376906,-0.8854560256532096
23,0,5,3.0,17.0,6.0,27.326470588235296,4.882352941176471,0.35460488704253584,-0.9350162426854147
24,1,12,3.0,16.0,5.0,27.326875,4.8125,0.23931566428755768,-0.970941817426052
25,1,5,3.0,15.0,6.0,30.34733333333333,5.4,0.12053668025532308,-0.992708874098054
26,1,6,3.0,15.0,6.0,30.758,5.4,-3.216245299353273e-16,-1.0
27,1,5,3.0,13.0,6.0,30.873846153846156,6.153846153846154,-0.12053668025532283,-0.992708874098054
28,0,5,5.0,13.0,7.0,27.964615384615385,5.461538461538462,-0.23931566428755743,-0.9709418174260521
29,0,12,4.0,11.0,6.0,25.973636363636363,5.2727272727272725,-0.3546048870425356,-0.9350162426854148
30,0,0,4.0,11.0,6.0,25.221818181818183,5.181818181818182,-0.46472317204376806,-0.8854560256532101
31,0,1,4.0,10.0,6.0,24.009,4.9,-0.5680647467311556,-0.8229838658936565
32,0,8,2.0,10.0,6.0,24.009,4.9,-0.663122658240795,-0.7485107481711013
33,1,15,2.0,9.0,6.0,25.985555555555557,5.222222222222222,-0.7485107481711011,-0.6631226582407952
34,1,1,4.0,11.0,8.0,21.029090909090908,4.454545454545454,-0.8229838658936564,-0.5680647467311559
35,0,4,4.0,11.0,8.0,20.233636363636364,4.363636363636363,-0.8854560256532096,-0.4647231720437691
36,1,11,4.0,11.0,8.0,20.233636363636364,4.363636363636363,-0.9350162426854147,-0.3546048870425359
37,1,0,6.0,12.0,8.0,17.746666666666666,4.25,-0.970941817426052,-0.23931566428755774
38,0,3,4.0,12.0,8.0,20.129166666666666,4.583333333333333,-0.992708874098054,-0.12053668025532357
39,0,10,3.0,11.0,7.0,19.721818181818183,4.181818181818182,-1.0,-1.8369701987210297e-16
40,0,0,5.0,11.0,5.0,20.85181818181818,4.545454545454546,-0.992708874098054,0.1205366802553232
41,1,2,4.0,12.0,5.0,19.389166666666664,4.25,-0.9709418174260521,0.23931566428755738
42,1,4,4.0,12.0,6.0,19.933333333333334,4.416666666666667,-0.9350162426854148,0.35460488704253557
43,1,5,5.0,12.0,7.0,21.215833333333332,4.666666666666667,-0.8854560256532101,0.464723172043768
44,0,3,4.0,13.0,8.0,20.24076923076923,4.538461538461538,-0.822983865893657,0.5680647467311548
4,0,0,1.0,1.0,0.0,10.16,2.0,0.4647231720437685,0.8854560256532099
5,1,7,1.0,1.0,0.0,10.16,2.0,0.5680647467311558,0.8229838658936564
6,1,0,4.0,4.0,1.0,11.915,3.0,0.6631226582407952,0.7485107481711011
7,1,4,5.0,5.0,2.0,12.892000000000001,3.0,0.7485107481711011,0.6631226582407953
8,0,4,7.0,8.0,5.0,20.4575,3.375,0.8229838658936564,0.5680647467311559
9,0,11,7.0,8.0,5.0,20.4575,3.375,0.8854560256532099,0.4647231720437686
10,0,18,4.0,8.0,5.0,20.4575,3.375,0.9350162426854148,0.35460488704253557
11,1,6,4.0,9.0,5.0,23.23777777777778,3.4444444444444446,0.970941817426052,0.23931566428755804
12,0,1,4.0,12.0,7.0,23.288333333333338,3.6666666666666665,0.992708874098054,0.120536680255323
13,1,8,4.0,12.0,7.0,23.288333333333338,3.6666666666666665,1.0,-1.6081226496766364e-16
14,0,3,6.0,14.0,9.0,22.837142857142858,3.7142857142857144,0.992708874098054,-0.12053668025532288
15,0,1,7.0,16.0,9.0,21.393125,3.5,0.9709418174260521,-0.2393156642875575
16,0,8,4.0,15.0,9.0,22.142,3.6,0.9350162426854148,-0.35460488704253545
17,0,15,4.0,15.0,9.0,22.142,3.6,0.8854560256532099,-0.4647231720437685
18,0,22,2.0,12.0,8.0,24.5525,3.6666666666666665,0.8229838658936565,-0.5680647467311557
19,1,29,0.0,11.0,7.0,25.257272727272724,3.727272727272727,0.7485107481711013,-0.663122658240795
20,1,1,2.0,10.0,5.0,23.020000000000003,3.9,0.6631226582407952,-0.7485107481711012
21,0,0,5.0,13.0,7.0,28.18923076923077,4.3076923076923075,0.5680647467311558,-0.8229838658936564
22,0,7,5.0,13.0,7.0,28.18923076923077,4.3076923076923075,0.46472317204376906,-0.8854560256532096
23,1,14,5.0,12.0,7.0,26.748333333333335,4.333333333333333,0.35460488704253584,-0.9350162426854147
24,1,5,4.0,10.0,6.0,26.273000000000003,4.2,0.23931566428755768,-0.970941817426052
25,0,3,2.0,11.0,7.0,26.42,4.363636363636363,0.12053668025532308,-0.992708874098054
26,0,10,2.0,9.0,5.0,27.817777777777778,4.444444444444445,-3.216245299353273e-16,-1.0
27,1,17,2.0,7.0,5.0,32.54142857142857,5.142857142857143,-0.12053668025532283,-0.992708874098054
28,0,0,4.0,10.0,6.0,29.669,4.9,-0.23931566428755743,-0.9709418174260521
29,0,7,3.0,10.0,6.0,29.669,4.9,-0.3546048870425356,-0.9350162426854148
30,0,14,3.0,10.0,6.0,29.669,4.9,-0.46472317204376806,-0.8854560256532101
31,1,3,4.0,11.0,6.0,28.019090909090906,4.818181818181818,-0.5680647467311556,-0.8229838658936565
32,0,3,3.0,11.0,7.0,31.063636363636363,5.454545454545454,-0.663122658240795,-0.7485107481711013
33,0,0,4.0,9.0,5.0,23.403333333333332,5.0,-0.7485107481711011,-0.6631226582407952
34,0,7,4.0,9.0,5.0,23.403333333333332,5.0,-0.8229838658936564,-0.5680647467311559
35,0,14,3.0,9.0,5.0,23.403333333333332,5.0,-0.8854560256532096,-0.4647231720437691
36,0,21,1.0,8.0,4.0,24.82,5.25,-0.9350162426854147,-0.3546048870425359
37,0,2,1.0,8.0,3.0,23.2775,5.0,-0.970941817426052,-0.23931566428755774
38,1,0,2.0,9.0,3.0,23.772222222222222,5.111111111111111,-0.992708874098054,-0.12053668025532357
39,0,3,3.0,10.0,4.0,22.172,4.8,-1.0,-1.8369701987210297e-16
40,1,1,4.0,8.0,3.0,20.275,4.75,-0.992708874098054,0.1205366802553232
41,0,5,4.0,9.0,4.0,25.24111111111111,5.0,-0.9709418174260521,0.23931566428755738
42,1,12,3.0,9.0,4.0,25.24111111111111,5.0,-0.9350162426854148,0.35460488704253557
43,0,4,3.0,9.0,5.0,31.045555555555552,5.333333333333333,-0.8854560256532101,0.464723172043768
44,0,0,5.0,10.0,3.0,26.837,4.7,-0.822983865893657,0.5680647467311548
3,0,3,1.0,1.0,1.0,34.97,7.0,0.3546048870425356,0.9350162426854148
4,0,10,1.0,1.0,1.0,34.97,7.0,0.4647231720437685,0.8854560256532099
5,1,0,2.0,2.0,1.0,42.85,8.0,0.5680647467311558,0.8229838658936564
6,0,1,4.0,4.0,2.0,26.4825,5.0,0.6631226582407952,0.7485107481711011
7,0,8,3.0,4.0,2.0,26.4825,5.0,0.7485107481711011,0.6631226582407953
8,0,15,3.0,4.0,2.0,26.4825,5.0,0.8229838658936564,0.5680647467311559
9,0,3,3.0,5.0,2.0,25.875999999999998,4.4,0.8854560256532099,0.4647231720437686
10,0,0,2.0,6.0,2.0,25.471666666666668,4.333333333333333,0.9350162426854148,0.35460488704253557
11,0,6,3.0,7.0,2.0,27.604285714285716,4.142857142857143,0.970941817426052,0.23931566428755804
12,0,13,3.0,7.0,2.0,27.604285714285716,4.142857142857143,0.992708874098054,0.120536680255323
13,0,20,2.0,7.0,2.0,27.604285714285716,4.142857142857143,1.0,-1.6081226496766364e-16
14,1,6,2.0,8.0,2.0,29.49875,4.625,0.992708874098054,-0.12053668025532288
15,0,2,3.0,9.0,2.0,29.65222222222222,5.0,0.9709418174260521,-0.2393156642875575
16,0,0,5.0,11.0,2.0,26.39818181818182,4.818181818181818,0.9350162426854148,-0.35460488704253545
17,0,7,5.0,10.0,2.0,23.965,4.4,0.8854560256532099,-0.4647231720437685
18,0,14,4.0,8.0,1.0,27.4275,5.0,0.8229838658936565,-0.5680647467311557
19,1,21,2.0,8.0,1.0,27.4275,5.0,0.7485107481711013,-0.663122658240795
20,1,3,1.0,9.0,2.0,30.50222222222222,5.333333333333333,0.6631226582407952,-0.7485107481711012
21,1,3,3.0,10.0,4.0,31.065999999999995,5.8,0.5680647467311558,-0.8229838658936564
22,1,4,4.0,10.0,5.0,32.095,6.2,0.46472317204376906,-0.8854560256532096
23,1,5,6.0,11.0,6.0,28.097272727272728,5.909090909090909,0.35460488704253584,-0.9350162426854147
24,0,3,6.0,12.0,7.0,26.50833333333333,5.583333333333333,0.23931566428755768,-0.970941817426052
25,0,10,4.0,12.0,7.0,26.50833333333333,5.583333333333333,0.12053668025532308,-0.992708874098054
26,0,17,3.0,11.0,7.0,25.030909090909088,5.363636363636363,-3.216245299353273e-16,-1.0
27,0,24,1.0,9.0,6.0,23.276666666666664,4.888888888888889,-0.12053668025532283,-0.992708874098054
28,0,31,0.0,7.0,6.0,26.568571428571428,5.142857142857143,-0.23931566428755743,-0.9709418174260521
29,0,38,0.0,7.0,6.0,26.568571428571428,5.142857142857143,-0.3546048870425356,-0.9350162426854148
30,1,2,1.0,8.0,6.0,24.98875,4.875,-0.46472317204376806,-0.8854560256532101
