product_id,product_name,brand,category,subcategory,unit_size,price,unit_cost
P00147,Mancino Flour 24 oz,Mancino,Baking,Flour,24 oz,3.97,2.59
P00148,Hudson Valley Eggs 6 pack,Hudson Valley,Dairy & Eggs,Eggs,6 pack,4.35,2.58
P00149,Gotham Spices 2 lb,Gotham,Condiments/Sauces/Spices,Spices,2 lb,3.11,2.14
P00150,Gotham Butter 16 oz,Gotham,Dairy & Eggs,Butter,16 oz,2.97,2.16
P00151,Hudson Valley Pasta 2 lb,Hudson Valley,Grains and Pasta,Pasta,2 lb,1.82,1.44
P00152,Nolita Fresh Juice 12 pack,Nolita Fresh,Beverages,Juice,12 pack,3.77,2.77
P00153,NoHo Co Milk 24 oz,NoHo Co,Dairy & Eggs,Milk,24 oz,5.95,3.9
P00154,Parkside Dog Food 16 oz,Parkside,Pet Food,Dog Food,16 oz,9.06,5.54
P00155,Village Choice Soups 12 pack,Village Choice,Prepared Meals,Soups,12 pack,10.98,6.08
P00156,GreenLeaf Prepared 6 pack,GreenLeaf,Deli,Prepared,6 pack,5.03,2.91
P00157,NoHo Co Meals 6 pack,NoHo Co,Frozen Foods,Meals,6 pack,7.26,4.85
P00158,Nolita Fresh Dog Food 6 pack,Nolita Fresh,Pet Food,Dog Food,6 pack,8.5,4.88
P00159,Gotham Yogurt 32 oz,Gotham,Dairy & Eggs,Yogurt,32 oz,1.56,0.93
P00160,Village Choice Soups 24 oz,Village Choice,Prepared Meals,Soups,24 oz,6.19,4.08
P00161,Hudson Valley Bars 32 oz,Hudson Valley,Breakfast & Cereal,Bars,32 oz,6.77,4.8
P00162,GreenLeaf Water 1 lb,GreenLeaf,Beverages,Water,1 lb,2.1,1.18
P00163,Hudson Valley Treats 16 oz,Hudson Valley,Pet Food,Treats,16 oz,10.04,6.78
P00164,Harbor View Sugar 16 oz,Harbor View,Baking,Sugar,16 oz,2.44,1.86
P00165,Hudson Valley Chicken 2 lb,Hudson Valley,Meat and Seafood,Chicken,2 lb,7.04,4.0
P00166,NoHo Co Hot Sauce 6 pack,NoHo Co,Condiments/Sauces/Spices,Hot Sauce,6 pack,3.93,2.79
P00167,Gotham Ketchup 2 lb,Gotham,Condiments/Sauces/Spices,Ketchup,2 lb,3.56,2.79
P00168,Nolita Fresh Spices 8 oz,Nolita Fresh,Condiments/Sauces/Spices,Spices,8 oz,3.18,2.21
P00169,Harbor View Nuts 6 pack,Harbor View,Snacks/Cookies/Chips,Nuts,6 pack,4.46,2.96
P00170,Rivertown Wine 2 lb,Rivertown,Alcohol,Wine,2 lb,8.81,6.05
P00171,NoHo Co Popcorn 12 pack,NoHo Co,Snacks/Cookies/Chips,Popcorn,12 pack,2.89,2.28
P00172,Parkside Wraps 24 oz,Parkside,Prepared Meals,Wraps,24 oz,9.27,7.2
P00173,Parkside Bars 8 oz,Parkside,Breakfast & Cereal,Bars,8 oz,4.83,2.74
P00174,Village Choice Hot Sauce 2 lb,Village Choice,Condiments/Sauces/Spices,Hot Sauce,2 lb,3.0,1.89
P00175,Parkside Chicken 16 oz,Parkside,Meat and Seafood,Chicken,16 oz,7.77,4.5
P00176,Harbor View Pizza 1 ct,Harbor View,Frozen Foods,Pizza,1 ct,8.04,5.82
P00177,Hudson Valley Pizza 2 lb,Hudson Valley,Frozen Foods,Pizza,2 lb,8.14,5.97
P00178,Empire Yeast 8 oz,Empire,Baking,Yeast,8 oz,3.78,2.84
P00179,GreenLeaf Bars 24 oz,GreenLeaf,Breakfast & Cereal,Bars,24 oz,3.66,2.7
P00180,GreenLeaf Yogurt 2 lb,GreenLeaf,Dairy & Eggs,Yogurt,2 lb,3.04,2.29
P00181,Rivertown Bars 12 oz,Rivertown,Breakfast & Cereal,Bars,12 oz,4.48,2.88
P00182,Nolita Fresh Milk 12 pack,Nolita Fresh,Dairy & Eggs,Milk,12 pack,3.6,2.68
P00183,Gotham Wine 12 oz,Gotham,Alcohol,Wine,12 oz,13.76,10.52
P00184,Mancino Salads 24 oz,Mancino,Prepared Meals,Salads,24 oz,7.61,5.0
P00185,Chelsea Star Soda 16 oz,Chelsea Star,Beverages,Soda,16 oz,3.69,2.12
P00186,Parkside Juice 12 oz,Parkside,Beverages,Juice,12 oz,3.68,2.85
P00187,Parkside Veggies 32 oz,Parkside,Frozen Foods,Veggies,32 oz,9.01,5.68
P00188,Empire Bowls 1 ct,Empire,Prepared Meals,Bowls,1 ct,8.04,6.22
P00189,Empire Pizza 32 oz,Empire,Frozen Foods,Pizza,32 oz,7.05,5.55
P00190,Rivertown Bread 1 ct,Rivertown,Bakery,Bread,1 ct,3.87,2.68
P00191,Harbor View Noodles 24 oz,Harbor View,Grains and Pasta,Noodles,24 oz,2.04,1.27
P00192,Hudson Valley Bagels 32 oz,Hudson Valley,Bakery,Bagels,32 oz,6.75,4.27
P00193,Hudson Valley Nuts 1 ct,Hudson Valley,Snacks/Cookies/Chips,Nuts,1 ct,4.01,3.0
P00194,GreenLeaf Salads 12 pack,GreenLeaf,Prepared Meals,Salads,12 pack,9.75,7.29
P00195,Hudson Valley Hot Sauce 12 pack,Hudson Valley,Condiments/Sauces/Spices,Hot Sauce,12 pack,3.49,1.97
P00196,Mancino Quinoa 2 lb,Mancino,Grains and Pasta,Quinoa,2 lb,2.0,1.37
P00197,Hudson Valley Popcorn 2 lb,Hudson Valley,Snacks/Cookies/Chips,Popcorn,2 lb,3.83,2.44
P00198,Nolita Fresh Mints 16 oz,Nolita Fresh,Candy,Mints,16 oz,2.41,1.4
P00199,Nolita Fresh Mustard 12 pack,Nolita Fresh,Condiments/Sauces/Spices,Mustard,12 pack,3.88,2.73
P00200,Chelsea Star Quinoa 12 pack,Chelsea Star,Grains and Pasta,Quinoa,12 pack,2.17,1.25
P00201,Parkside Soups 2 lb,Parkside,Prepared Meals,Soups,2 lb,8.51,4.84
P00202,Rivertown Nuts 1 lb,Rivertown,Snacks/Cookies/Chips,Nuts,1 lb,2.64,1.99
P00203,Hudson Valley Crackers 32 oz,Hudson Valley,Snacks/Cookies/Chips,Crackers,32 oz,2.67,1.53
P00204,Gotham Cat Food 6 pack,Gotham,Pet Food,Cat Food,6 pack,7.42,5.91
P00205,GreenLeaf Meals 8 oz,GreenLeaf,Frozen Foods,Meals,8 oz,4.53,3.41
P00206,Empire Yogurt 6 pack,Empire,Dairy & Eggs,Yogurt,6 pack,2.46,1.94
P00207,Rivertown Water 1 lb,Rivertown,Beverages,Water,1 lb,2.51,1.87
P00208,NoHo Co Granola 8 oz,NoHo Co,Breakfast & Cereal,Granola,8 oz,4.27,2.94
P00209,Hudson Valley Cold Cuts 24 oz,Hudson Valley,Deli,Cold Cuts,24 oz,7.43,4.29
P00210,Parkside Fish 12 pack,Parkside,Meat and Seafood,Fish,12 pack,8.65,5.82
P00211,Nolita Fresh Wraps 6 pack,Nolita Fresh,Prepared Meals,Wraps,6 pack,7.96,4.49
P00212,Parkside Noodles 8 oz,Parkside,Grains and Pasta,Noodles,8 oz,2.33,1.35
P00213,Gotham Pastries 2 lb,Gotham,Bakery,Pastries,2 lb,4.34,3.2
P00214,Rivertown Chicken 1 ct,Rivertown,Meat and Seafood,Chicken,1 ct,7.32,5.09
P00215,NoHo Co Mints 12 pack,NoHo Co,Candy,Mints,12 pack,2.43,1.51
P00216,Nolita Fresh Mints 12 pack,Nolita Fresh,Candy,Mints,12 pack,2.76,2.12
P00217,Nolita Fresh Hard Candy 6 pack,Nolita Fresh,Candy,Hard Candy,6 pack,2.64,1.5
P00218,Rivertown Granola 24 oz,Rivertown,Breakfast & Cereal,Granola,24 oz,4.51,3.1
P00219,GreenLeaf Bagels 12 oz,GreenLeaf,Bakery,Bagels,12 oz,4.02,2.84
P00220,Nolita Fresh Shrimp 16 oz,Nolita Fresh,Meat and Seafood,Shrimp,16 oz,10.19,7.38
P00221,Nolita Fresh Juice 6 pack,Nolita Fresh,Beverages,Juice,6 pack,5.14,3.58
P00222,Hudson Valley Granola 24 oz,Hudson Valley,Breakfast & Cereal,Granola,24 oz,3.71,2.88
P00223,GreenLeaf Oatmeal 16 oz,GreenLeaf,Breakfast & Cereal,Oatmeal,16 oz,7.78,4.82
P00224,Nolita Fresh Cereal 12 pack,Nolita Fresh,Breakfast & Cereal,Cereal,12 pack,3.68,2.2
P00225,Mancino Baking Mix 8 oz,Mancino,Baking,Baking Mix,8 oz,2.06,1.43
P00226,Nolita Fresh Cheese 16 oz,Nolita Fresh,Deli,Cheese,16 oz,5.26,3.0
P00227,Hudson Valley Noodles 8 oz,Hudson Valley,Grains and Pasta,Noodles,8 oz,2.72,1.71
P00228,Parkside Ice Cream 6 pack,Parkside,Frozen Foods,Ice Cream,6 pack,10.39,7.83
P00229,Empire Yogurt 8 oz,Empire,Dairy & Eggs,Yogurt,8 oz,2.8,2.18
P00230,Hudson Valley Bars 12 oz,Hudson Valley,Breakfast & Cereal,Bars,12 oz,5.09,3.85
P00231,Hudson Valley Soy Sauce 1 ct,Hudson Valley,Condiments/Sauces/Spices,Soy Sauce,1 ct,2.52,1.97
P00232,Empire Pasta 16 oz,Empire,Grains and Pasta,Pasta,16 oz,3.95,3.03
P00233,Hudson Valley Bowls 24 oz,Hudson Valley,Prepared Meals,Bowls,24 oz,10.74,8.56
P00234,Chelsea Star Cakes 1 ct,Chelsea Star,Bakery,Cakes,1 ct,3.56,2.09
P00235,NoHo Co Wraps 2 lb,NoHo Co,Prepared Meals,Wraps,2 lb,5.21,4.13
P00236,Rivertown Butter 1 ct,Rivertown,Dairy & Eggs,Butter,1 ct,4.91,3.73
P00237,Chelsea Star Hot Sauce 1 ct,Chelsea Star,Condiments/Sauces/Spices,Hot Sauce,1 ct,3.4,2.22
P00238,Nolita Fresh Spirits 12 oz,Nolita Fresh,Alcohol,Spirits,12 oz,16.35,10.11
P00239,Village Choice Wraps 24 oz,Village Choice,Prepared Meals,Wraps,24 oz,8.01,5.95
P00240,Empire Cereal 24 oz,Empire,Breakfast & Cereal,Cereal,24 oz,4.55,3.58
P00241,Empire Flour 8 oz,Empire,Baking,Flour,8 oz,3.13,2.07
P00242,Nolita Fresh Soy Sauce 1 ct,Nolita Fresh,Condiments/Sauces/Spices,Soy Sauce,1 ct,4.09,2.38
P00243,Mancino Yogurt 24 oz,Mancino,Dairy & Eggs,Yogurt,24 oz,3.61,2.19
P00244,Nolita Fresh Granola 6 pack,Nolita Fresh,Breakfast & Cereal,Granola,6 pack,5.12,3.68
P00245,Rivertown Bagels 1 ct,Rivertown,Bakery,Bagels,1 ct,2.73,1.58
P00246,Harbor View Rice 12 oz,Harbor View,Grains and Pasta,Rice,12 oz,3.44,2.47
P00247,Village Choice Cold Cuts 16 oz,Village Choice,Deli,Cold Cuts,16 oz,8.84,6.01
P00248,Empire Cat Food 12 oz,Empire,Pet Food,Cat Food,12 oz,7.21,5.5
P00249,Rivertown Beer 1 ct,Rivertown,Alcohol,Beer,1 ct,20.09,15.45
P00250,Rivertown Shrimp 6 pack,Rivertown,Meat and Seafood,Shrimp,6 pack,13.96,9.09
P00251,Nolita Fresh Cakes 32 oz,Nolita Fresh,Bakery,Cakes,32 oz,4.7,3.41
P00252,Rivertown Fish 12 pack,Rivertown,Meat and Seafood,Fish,12 pack,12.67,7.64
P00253,Parkside Cheese 12 oz,Parkside,Deli,Cheese,12 oz,7.82,5.07
P00254,Harbor View Pizza 1 lb,Harbor View,Frozen Foods,Pizza,1 lb,4.19,2.76
P00255,Mancino Ice Cream 12 oz,Mancino,Frozen Foods,Ice Cream,12 oz,6.08,4.13
P00256,Chelsea Star Coffee 1 ct,Chelsea Star,Beverages,Coffee,1 ct,3.59,2.68
P00257,Rivertown Spirits 1 ct,Rivertown,Alcohol,Spirits,1 ct,18.03,13.8
P00258,Parkside Beer 12 pack,Parkside,Alcohol,Beer,12 pack,8.5,6.69
P00259,Rivertown Noodles 16 oz,Rivertown,Grains and Pasta,Noodles,16 oz,1.63,1.08
P00260,Village Choice Meals 6 pack,Village Choice,Frozen Foods,Meals,6 pack,6.41,5.1
P00261,GreenLeaf Cakes 2 lb,GreenLeaf,Bakery,Cakes,2 lb,2.39,1.69
P00262,Village Choice Hard Candy 12 oz,Village Choice,Candy,Hard Candy,12 oz,2.44,1.49
P00263,GreenLeaf Crackers 2 lb,GreenLeaf,Snacks/Cookies/Chips,Crackers,2 lb,3.29,1.96
P00264,Rivertown Fish 2 lb,Rivertown,Meat and Seafood,Fish,2 lb,7.12,4.53
P00265,Mancino Nuts 6 pack,Mancino,Snacks/Cookies/Chips,Nuts,6 pack,2.95,2.11
P00266,Rivertown Pastries 1 lb,Rivertown,Bakery,Pastries,1 lb,5.08,3.01
