bundle_qty,buy_qty,can_stack,category,end_date,get_qty,get_type,mechanic,name,percent_off,priority,promotion_id,scope_type,start_date
,,FALSE,,2025-02-15,,,MANAGER_SPECIAL,MANAGER_SPECIAL Dairy & Eggs 2025-02-09,25,3,PR-2025-02-09-040,SKU,2025-02-09
3,,FALSE,Breakfast & Cereal,2025-02-15,,,BUNDLE,BUNDLE Breakfast & Cereal 2025-02-09,10,3,PR-2025-02-09-041,CATEGORY,2025-02-09
,1,FALSE,,2025-02-15,1,FREE,BOGO,BOGO Deli 2025-02-09,100,2,PR-2025-02-09-042,SKU,2025-02-09
,,FALSE,,2025-02-22,,,MANAGER_SPECIAL,MANAGER_SPECIAL Breakfast & Cereal 2025-02-16,15,2,PR-2025-02-16-043,SKU,2025-02-16
,,FALSE,Snacks/Cookies/Chips,2025-02-22,,,COUPON,COUPON Snacks/Cookies/Chips 2025-02-16,20,1,PR-2025-02-16-044,CATEGORY,2025-02-16
,,FALSE,Prepared Meals,2025-02-22,,,MANAGER_SPECIAL,MANAGER_SPECIAL Prepared Meals 2025-02-16,25,2,PR-2025-02-16-045,CATEGORY,2025-02-16
3,,FALSE,,2025-02-22,,,BUNDLE,BUNDLE Meat and Seafood 2025-02-16,20,1,PR-2025-02-16-046,SKU,2025-02-16
,2,FALSE,,2025-02-22,1,PCT,BOGO,BOGO Grains and Pasta 2025-02-16,50,2,PR-2025-02-16-047,SKU,2025-02-16
,,FALSE,Pet Food,2025-02-22,,,MANAGER_SPECIAL,MANAGER_SPECIAL Pet Food 2025-02-16,10,1,PR-2025-02-16-048,CATEGORY,2025-02-16
,,FALSE,,2025-03-01,,,COUPON,COUPON Beverages 2025-02-23,20,2,PR-2025-02-23-049,SKU,2025-02-23
,,FALSE,,2025-03-01,,,MANAGER_SPECIAL,MANAGER_SPECIAL Condiments/Sauces/Spices 2025-02-23,25,3,PR-2025-02-23-050,SKU,2025-02-23
,,FALSE,Breakfast & Cereal,2025-03-01,,,COUPON,COUPON Breakfast & Cereal 2025-02-23,25,1,PR-2025-02-23-051,CATEGORY,2025-02-23
,,FALSE,Snacks/Cookies/Chips,2025-03-01,,,MANAGER_SPECIAL,MANAGER_SPECIAL Snacks/Cookies/Chips 2025-02-23,25,3,PR-2025-02-23-052,CATEGORY,2025-02-23
,,FALSE,Frozen Foods,2025-03-01,,,COUPON,COUPON Frozen Foods 2025-02-23,20,1,PR-2025-02-23-053,CATEGORY,2025-02-23
,,FALSE,,2025-03-01,,,COUPON,COUPON Alcohol 2025-02-23,15,1,PR-2025-02-23-054,SKU,2025-02-23
,,FALSE,Snacks/Cookies/Chips,2025-03-08,,,COUPON,COUPON Snacks/Cookies/Chips 2025-03-02,25,3,PR-2025-03-02-055,CATEGORY,2025-03-02
,,FALSE,,2025-03-08,,,COUPON,COUPON Dairy & Eggs 2025-03-02,10,1,PR-2025-03-02-056,SKU,2025-03-02
,2,FALSE,Beverages,2025-03-08,1,PCT,BOGO,BOGO Beverages 2025-03-02,50,2,PR-2025-03-02-057,CATEGORY,2025-03-02
4,,FALSE,Candy,2025-03-08,,,BUNDLE,BUNDLE Candy 2025-03-02,20,3,PR-2025-03-02-058,CATEGORY,2025-03-02
3,,FALSE,Meat and Seafood,2025-03-08,,,BUNDLE,BUNDLE Meat and Seafood 2025-03-02,20,3,PR-2025-03-02-059,CATEGORY,2025-03-02
2,,FALSE,Prepared Meals,2025-03-08,,,BUNDLE,BUNDLE Prepared Meals 2025-03-02,25,3,PR-2025-03-02-060,CATEGORY,2025-03-02
,,FALSE,Deli,2025-03-15,,,COUPON,COUPON Deli 2025-03-09,10,1,PR-2025-03-09-061,CATEGORY,2025-03-09
,2,FALSE,Candy,2025-03-15,1,PCT,BOGO,BOGO Candy 2025-03-09,50,1,PR-2025-03-09-062,CATEGORY,2025-03-09
,,FALSE,Baking,2025-03-15,,,MANAGER_SPECIAL,MANAGER_SPECIAL Baking 2025-03-09,15,2,PR-2025-03-09-063,CATEGORY,2025-03-09
,,FALSE,,2025-03-15,,,MANAGER_SPECIAL,MANAGER_SPECIAL Condiments/Sauces/Spices 2025-03-09,20,3,PR-2025-03-09-064,SKU,2025-03-09
2,,FALSE,,2025-03-15,,,BUNDLE,BUNDLE Bakery 2025-03-09,25,1,PR-2025-03-09-065,SKU,2025-03-09
,,FALSE,Grains and Pasta,2025-03-15,,,COUPON,COUPON Grains and Pasta 2025-03-09,20,3,PR-2025-03-09-066,CATEGORY,2025-03-09
,,FALSE,Prepared Meals,2025-03-22,,,COUPON,COUPON Prepared Meals 2025-03-16,20,1,PR-2025-03-16-067,CATEGORY,2025-03-16
,,FALSE,Alcohol,2025-03-22,,,MANAGER_SPECIAL,MANAGER_SPECIAL Alcohol 2025-03-16,25,2,PR-2025-03-16-068,CATEGORY,2025-03-16
,,FALSE,Candy,2025-03-22,,,COUPON,COUPON Candy 2025-03-16,30,3,PR-2025-03-16-069,CATEGORY,2025-03-16
,,FALSE,,2025-03-22,,,MANAGER_SPECIAL,MANAGER_SPECIAL Condiments/Sauces/Spices 2025-03-16,25,2,PR-2025-03-16-070,SKU,2025-03-16
,,FALSE,Grains and Pasta,2025-03-22,,,COUPON,COUPON Grains and Pasta 2025-03-16,15,1,PR-2025-03-16-071,CATEGORY,2025-03-16
,,FALSE,Pet Food,2025-03-22,,,COUPON,COUPON Pet Food 2025-03-16,25,3,PR-2025-03-16-072,CATEGORY,2025-03-16
,,FALSE,Meat and Seafood,2025-03-29,,,COUPON,COUPON Meat and Seafood 2025-03-23,15,1,PR-2025-03-23-073,CATEGORY,2025-03-23
2,,FALSE,Deli,2025-03-29,,,BUNDLE,BUNDLE Deli 2025-03-23,20,1,PR-2025-03-23-074,CATEGORY,2025-03-23
,,FALSE,,2025-03-29,,,MANAGER_SPECIAL,MANAGER_SPECIAL Baking 2025-03-23,10,1,PR-2025-03-23-075,SKU,2025-03-23
,,FALSE,,2025-03-29,,,MANAGER_SPECIAL,MANAGER_SPECIAL Pet Food 2025-03-23,10,1,PR-2025-03-23-076,SKU,2025-03-23
,,FALSE,,2025-03-29,,,MANAGER_SPECIAL,MANAGER_SPECIAL Candy 2025-03-23,30,1,PR-2025-03-23-077,SKU,2025-03-23
2,,FALSE,Breakfast & Cereal,2025-03-29,,,BUNDLE,BUNDLE Breakfast & Cereal 2025-03-23,10,1,PR-2025-03-23-078,CATEGORY,2025-03-23
,,FALSE,,2025-04-05,,,COUPON,COUPON Breakfast & Cereal 2025-03-30,20,1,PR-2025-03-30-079,SKU,2025-03-30
,,FALSE,Pet Food,2025-04-05,,,COUPON,COUPON Pet Food 2025-03-30,30,3,PR-2025-03-30-080,CATEGORY,2025-03-30
,1,FALSE,Prepared Meals,2025-04-05,1,FREE,BOGO,BOGO Prepared Meals 2025-03-30,100,2,PR-2025-03-30-081,CATEGORY,2025-03-30
,,FALSE,,2025-04-05,,,MANAGER_SPECIAL,MANAGER_SPECIAL Baking 2025-03-30,25,2,PR-2025-03-30-082,SKU,2025-03-30
,,FALSE,,2025-04-05,,,MANAGER_SPECIAL,MANAGER_SPECIAL Grains and Pasta 2025-03-30,30,1,PR-2025-03-30-083,SKU,2025-03-30
4,,FALSE,,2025-04-05,,,BUNDLE,BUNDLE Beverages 2025-03-30,15,1,PR-2025-03-30-084,SKU,2025-03-30
,,FALSE,Beverages,2025-04-12,,,MANAGER_SPECIAL,MANAGER_SPECIAL Beverages 2025-04-06,15,2,PR-2025-04-06-085,CATEGORY,2025-04-06
,,FALSE,,2025-04-12,,,MANAGER_SPECIAL,MANAGER_SPECIAL Baking 2025-04-06,30,3,PR-2025-04-06-086,SKU,2025-04-06
,2,FALSE,,2025-04-12,1,PCT,BOGO,BOGO Alcohol 2025-04-06,50,3,PR-2025-04-06-087,SKU,2025-04-06
,2,FALSE,,2025-04-12,1,PCT,BOGO,BOGO Bakery 2025-04-06,50,2,PR-2025-04-06-088,SKU,2025-04-06
,,FALSE,Pet Food,2025-04-12,,,COUPON,COUPON Pet Food 2025-04-06,15,3,PR-2025-04-06-089,CATEGORY,2025-04-06
,,FALSE,,2025-04-12,,,COUPON,COUPON Frozen Foods 2025-04-06,30,1,PR-2025-04-06-090,SKU,2025-04-06
4,,FALSE,,2025-04-19,,,BUNDLE,BUNDLE Snacks/Cookies/Chips 2025-04-13,25,3,PR-2025-04-13-091,SKU,2025-04-13
,,FALSE,,2025-04-19,,,COUPON,COUPON Breakfast & Cereal 2025-04-13,15,3,PR-2025-04-13-092,SKU,2025-04-13
,,FALSE,,2025-04-19,,,COUPON,COUPON Alcohol 2025-04-13,15,2,PR-2025-04-13-093,SKU,2025-04-13
4,,FALSE,Meat and Seafood,2025-04-19,,,BUNDLE,BUNDLE Meat and Seafood 2025-04-13,15,2,PR-2025-04-13-094,CATEGORY,2025-04-13
2,,FALSE,,2025-04-19,,,BUNDLE,BUNDLE Candy 2025-04-13,15,2,PR-2025-04-13-095,SKU,2025-04-13
,,FALSE,Grains and Pasta,2025-04-19,,,MANAGER_SPECIAL,MANAGER_SPECIAL Grains and Pasta 2025-04-13,15,3,PR-2025-04-13-096,CATEGORY,2025-04-13
3,,FALSE,,2025-04-26,,,BUNDLE,BUNDLE Beverages 2025-04-20,15,2,PR-2025-04-20-097,SKU,2025-04-20
3,,FALSE,,2025-04-26,,,BUNDLE,BUNDLE Condiments/Sauces/Spices 2025-04-20,15,3,PR-2025-04-20-098,SKU,2025-04-20
,,FALSE,,2025-04-26,,,COUPON,COUPON Dairy & Eggs 2025-04-20,30,3,PR-2025-04-20-099,SKU,2025-04-20
,2,FALSE,,2025-04-26,1,PCT,BOGO,BOGO Alcohol 2025-04-20,50,3,PR-2025-04-20-100,SKU,2025-04-20
,,FALSE,,2025-04-26,,,MANAGER_SPECIAL,MANAGER_SPECIAL Meat and Seafood 2025-04-20,25,1,PR-2025-04-20-101,SKU,2025-04-20
3,,FALSE,,2025-04-26,,,BUNDLE,BUNDLE Prepared Meals 2025-04-20,15,3,PR-2025-04-20-102,SKU,2025-04-20
3,,FALSE,Beverages,2025-05-03,,,BUNDLE,BUNDLE Beverages 2025-04-27,10,2,PR-2025-04-27-103,CATEGORY,2025-04-27
3,,FALSE,Dairy & Eggs,2025-05-03,,,BUNDLE,BUNDLE Dairy & Eggs 2025-04-27,25,2,PR-2025-04-27-104,CATEGORY,2025-04-27
,,FALSE,Meat and Seafood,2025-05-03,,,COUPON,COUPON Meat and Seafood 2025-04-27,25,2,PR-2025-04-27-105,CATEGORY,2025-04-27
,,FALSE,Snacks/Cookies/Chips,2025-05-03,,,MANAGER_SPECIAL,MANAGER_SPECIAL Snacks/Cookies/Chips 2025-04-27,10,2,PR-2025-04-27-106,CATEGORY,2025-04-27
,,FALSE,,2025-05-03,,,MANAGER_SPECIAL,MANAGER_SPECIAL Deli 2025-04-27,20,2,PR-2025-04-27-107,SKU,2025-04-27
,,FALSE,,2025-05-03,,,MANAGER_SPECIAL,MANAGER_SPECIAL Bakery 2025-04-27,20,3,PR-2025-04-27-108,SKU,2025-04-27
3,,FALSE,,2025-05-10,,,BUNDLE,BUNDLE Baking 2025-05-04,10,2,PR-2025-05-04-109,SKU,2025-05-04
,,FALSE,,2025-05-10,,,COUPON,COUPON Frozen Foods 2025-05-04,10,1,PR-2025-05-04-110,SKU,2025-05-04
,,FALSE,,2025-05-10,,,MANAGER_SPECIAL,MANAGER_SPECIAL Grains and Pasta 2025-05-04,15,2,PR-2025-05-04-111,SKU,2025-05-04
4,,FALSE,Bakery,2025-05-10,,,BUNDLE,BUNDLE Bakery 2025-05-04,15,2,PR-2025-05-04-112,CATEGORY,2025-05-04
3,,FALSE,Alcohol,2025-05-10,,,BUNDLE,BUNDLE Alcohol 2025-05-04,20,3,PR-2025-05-04-113,CATEGORY,2025-05-04
,,FALSE,Condiments/Sauces/Spices,2025-05-10,,,COUPON,COUPON Condiments/Sauces/Spices 2025-05-04,30,2,PR-2025-05-04-114,CATEGORY,2025-05-04
,,FALSE,,2025-05-17,,,COUPON,COUPON Baking 2025-05-11,30,2,PR-2025-05-11-115,SKU,2025-05-11
,1,FALSE,,2025-05-17,1,FREE,BOGO,BOGO Prepared Meals 2025-05-11,100,3,PR-2025-05-11-116,SKU,2025-05-11
,,FALSE,Dairy & Eggs,2025-05-17,,,MANAGER_SPECIAL,MANAGER_SPECIAL Dairy & Eggs 2025-05-11,25,3,PR-2025-05-11-117,CATEGORY,2025-05-11
,,FALSE,Frozen Foods,2025-05-17,,,COUPON,COUPON Frozen Foods 2025-05-11,30,3,PR-2025-05-11-118,CATEGORY,2025-05-11
3,,FALSE,,2025-05-17,,,BUNDLE,BUNDLE Alcohol 2025-05-11,10,2,PR-2025-05-11-119,SKU,2025-05-11
,,FALSE,Candy,2025-05-17,,,MANAGER_SPECIAL,MANAGER_SPECIAL Candy 2025-05-11,30,1,PR-2025-05-11-120,CATEGORY,2025-05-11
2,,FALSE,Candy,2025-05-24,,,BUNDLE,BUNDLE Candy 2025-05-18,20,2,PR-2025-05-18-121,CATEGORY,2025-05-18
,,FALSE,Prepared Meals,2025-05-24,,,MANAGER_SPECIAL,MANAGER_SPECIAL Prepared Meals 2025-05-18,10,1,PR-2025-05-18-122,CATEGORY,2025-05-18
3,,FALSE,,2025-05-24,,,BUNDLE,BUNDLE Bakery 2025-05-18,15,2,PR-2025-05-18-123,SKU,2025-05-18
,,FALSE,Snacks/Cookies/Chips,2025-05-24,,,COUPON,COUPON Snacks/Cookies/Chips 2025-05-18,20,3,PR-2025-05-18-124,CATEGORY,2025-05-18
,2,FALSE,Grains and Pasta,2025-05-24,1,PCT,BOGO,BOGO Grains and Pasta 2025-05-18,50,2,PR-2025-05-18-125,CATEGORY,2025-05-18
,,FALSE,Dairy & Eggs,2025-05-24,,,COUPON,COUPON Dairy & Eggs 2025-05-18,15,1,PR-2025-05-18-126,CATEGORY,2025-05-18
4,,FALSE,Candy,2025-05-31,,,BUNDLE,BUNDLE Candy 2025-05-25,25,1,PR-2025-05-25-127,CATEGORY,2025-05-25
2,,FALSE,,2025-05-31,,,BUNDLE,BUNDLE Alcohol 2025-05-25,20,3,PR-2025-05-25-128,SKU,2025-05-25
,2,FALSE,,2025-05-31,1,PCT,BOGO,BOGO Deli 2025-05-25,50,1,PR-2025-05-25-129,SKU,2025-05-25
,,FALSE,,2025-05-31,,,MANAGER_SPECIAL,MANAGER_SPECIAL Prepared Meals 2025-05-25,20,1,PR-2025-05-25-130,SKU,2025-05-25
,,FALSE,Meat and Seafood,2025-05-31,,,COUPON,COUPON Meat and Seafood 2025-05-25,20,3,PR-2025-05-25-131,CATEGORY,2025-05-25
3,,FALSE,,2025-05-31,,,BUNDLE,BUNDLE Breakfast & Cereal 2025-05-25,15,1,PR-2025-05-25-132,SKU,2025-05-25
,,FALSE,,2025-06-07,,,COUPON,COUPON Grains and Pasta 2025-06-01,10,3,PR-2025-06-01-133,SKU,2025-06-01
,2,FALSE,Meat and Seafood,2025-06-07,1,PCT,BOGO,BOGO Meat and Seafood 2025-06-01,50,1,PR-2025-06-01-134,CATEGORY,2025-06-01
,,FALSE,,2025-06-07,,,COUPON,COUPON Snacks/Cookies/Chips 2025-06-01,20,3,PR-2025-06-01-135,SKU,2025-06-01
,,FALSE,,2025-06-07,,,MANAGER_SPECIAL,MANAGER_SPECIAL Beverages 2025-06-01,15,1,PR-2025-06-01-136,SKU,2025-06-01
,,FALSE,Frozen Foods,2025-06-07,,,COUPON,COUPON Frozen Foods 2025-06-01,15,3,PR-2025-06-01-137,CATEGORY,2025-06-01
2,,FALSE,,2025-06-07,,,BUNDLE,BUNDLE Breakfast & Cereal 2025-06-01,10,3,PR-2025-06-01-138,SKU,2025-06-01
,,FALSE,Baking,2025-06-14,,,MANAGER_SPECIAL,MANAGER_SPECIAL Baking 2025-06-08,15,2,PR-2025-06-08-139,CATEGORY,2025-06-08
3,,FALSE,Bakery,2025-06-14,,,BUNDLE,BUNDLE Bakery 2025-06-08,10,1,PR-2025-06-08-140,CATEGORY,2025-06-08
,,FALSE,,2025-06-14,,,MANAGER_SPECIAL,MANAGER_SPECIAL Candy 2025-06-08,30,3,PR-2025-06-08-141,SKU,2025-06-08
,1,FALSE,Condiments/Sauces/Spices,2025-06-14,1,FREE,BOGO,BOGO Condiments/Sauces/Spices 2025-06-08,100,2,PR-2025-06-08-142,CATEGORY,2025-06-08
,,FALSE,Beverages,2025-06-14,,,MANAGER_SPECIAL,MANAGER_SPECIAL Beverages 2025-06-08,20,3,PR-2025-06-08-143,CATEGORY,2025-06-08
,,FALSE,Deli,2025-06-14,,,MANAGER_SPECIAL,MANAGER_SPECIAL Deli 2025-06-08,25,3,PR-2025-06-08-144,CATEGORY,2025-06-08
,,FALSE,Meat and Seafood,2025-06-21,,,MANAGER_SPECIAL,MANAGER_SPECIAL Meat and Seafood 2025-06-15,20,1,PR-2025-06-15-145,CATEGORY,2025-06-15
,,FALSE,,2025-06-21,,,COUPON,COUPON Candy 2025-06-15,30,3,PR-2025-06-15-146,SKU,2025-06-15
,,FALSE,Dairy & Eggs,2025-06-21,,,COUPON,COUPON Dairy & Eggs 2025-06-15,10,3,PR-2025-06-15-147,CATEGORY,2025-06-15
,,FALSE,,2025-06-21,,,COUPON,COUPON Deli 2025-06-15,20,1,PR-2025-06-15-148,SKU,2025-06-15
4,,FALSE,,2025-06-21,,,BUNDLE,BUNDLE Breakfast & Cereal 2025-06-15,10,2,PR-2025-06-15-149,SKU,2025-06-15
,,FALSE,,2025-06-21,,,COUPON,COUPON Frozen Foods 2025-06-15,20,3,PR-2025-06-15-150,SKU,2025-06-15
,,FALSE,Grains and Pasta,2025-06-28,,,COUPON,COUPON Grains and Pasta 2025-06-22,25,1,PR-2025-06-22-151,CATEGORY,2025-06-22
,,FALSE,,2025-06-28,,,MANAGER_SPECIAL,MANAGER_SPECIAL Bakery 2025-06-22,25,3,PR-2025-06-22-152,SKU,2025-06-22
,,FALSE,Deli,2025-06-28,,,MANAGER_SPECIAL,MANAGER_SPECIAL Deli 2025-06-22,10,2,PR-2025-06-22-153,CATEGORY,2025-06-22
,,FALSE,,2025-06-28,,,MANAGER_SPECIAL,MANAGER_SPECIAL Beverages 2025-06-22,10,1,PR-2025-06-22-154,SKU,2025-06-22
,,FALSE,Prepared Meals,2025-06-28,,,COUPON,COUPON Prepared Meals 2025-06-22,15,1,PR-2025-06-22-155,CATEGORY,2025-06-22
,,FALSE,,2025-06-28,,,COUPON,COUPON Condiments/Sauces/Spices 2025-06-22,30,2,PR-2025-06-22-156,SKU,2025-06-22
,,FALSE,Frozen Foods,2025-07-05,,,COUPON,COUPON Frozen Foods 2025-06-29,15,1,PR-2025-06-29-157,CATEGORY,2025-06-29
3,,FALSE,,2025-07-05,,,BUNDLE,BUNDLE Pet Food 2025-06-29,10,2,PR-2025-06-29-158,SKU,2025-06-29
3,,FALSE,Alcohol,2025-07-05,,,BUNDLE,BUNDLE Alcohol 2025-06-29,20,2,PR-2025-06-29-159,CATEGORY,2025-06-29
,,FALSE,Dairy & Eggs,2025-07-05,,,COUPON,COUPON Dairy & Eggs 2025-06-29,25,1,PR-2025-06-29-160,CATEGORY,2025-06-29
,2,FALSE,,2025-07-05,1,PCT,BOGO,BOGO Prepared Meals 2025-06-29,50,1,PR-2025-06-29-161,SKU,2025-06-29
,1,FALSE,,2025-07-05,1,FREE,BOGO,BOGO Snacks/Cookies/Chips 2025-06-29,100,3,PR-2025-06-29-162,SKU,2025-06-29
2,,FALSE,Baking,2025-07-12,,,BUNDLE,BUNDLE Baking 2025-07-06,20,3,PR-2025-07-06-163,CATEGORY,2025-07-06
,,FALSE,,2025-07-12,,,COUPON,COUPON Breakfast & Cereal 2025-07-06,20,1,PR-2025-07-06-164,SKU,2025-07-06
,,FALSE,Alcohol,2025-07-12,,,MANAGER_SPECIAL,MANAGER_SPECIAL Alcohol 2025-07-06,10,2,PR-2025-07-06-165,CATEGORY,2025-07-06
,2,FALSE,Condiments/Sauces/Spices,2025-07-12,1,PCT,BOGO,BOGO Condiments/Sauces/Spices 2025-07-06,50,2,PR-2025-07-06-166,CATEGORY,2025-07-06
,,FALSE,,2025-07-12,,,COUPON,COUPON Bakery 2025-07-06,15,1,PR-2025-07-06-167,SKU,2025-07-06
,,FALSE,Snacks/Cookies/Chips,2025-07-12,,,COUPON,COUPON Snacks/Cookies/Chips 2025-07-06,20,2,PR-2025-07-06-168,CATEGORY,2025-07-06
,,FALSE,,2025-07-19,,,COUPON,COUPON Condiments/Sauces/Spices 2025-07-13,10,2,PR-2025-07-13-169,SKU,2025-07-13
,,FALSE,Meat and Seafood,2025-07-19,,,COUPON,COUPON Meat and Seafood 2025-07-13,10,2,PR-2025-07-13-170,CATEGORY,2025-07-13
,,FALSE,Prepared Meals,2025-07-19,,,COUPON,COUPON Prepared Meals 2025-07-13,20,1,PR-2025-07-13-171,CATEGORY,2025-07-13
,,FALSE,Snacks/Cookies/Chips,2025-07-19,,,MANAGER_SPECIAL,MANAGER_SPECIAL Snacks/Cookies/Chips 2025-07-13,25,3,PR-2025-07-13-172,CATEGORY,2025-07-13
,,FALSE,Frozen Foods,2025-07-19,,,MANAGER_SPECIAL,MANAGER_SPECIAL Frozen Foods 2025-07-13,25,3,PR-2025-07-13-173,CATEGORY,2025-07-13
