date,store_id,store_name,category,avg_price,units_sold,revenue,promo_flag,day_of_week
2025-07-02,S0003,,Grains and Pasta,2.7866666666666666,3,8.33,1,Wednesday
2025-07-02,S0003,,Meat and Seafood,9.372380952380952,28,262.55,1,Wednesday
2025-07-02,S0003,,Pet Food,7.473529411764706,30,223.16,1,Wednesday
2025-07-02,S0003,,Prepared Meals,9.034444444444444,12,109.59,1,Wednesday
2025-07-02,S0003,,Snacks/Cookies/Chips,3.0134146341463413,60,182.1,1,Wednesday
2025-07-02,S0004,,Alcohol,11.27764705882353,57,639.63,1,Wednesday
2025-07-02,S0004,,Bakery,4.295,8,37.63,1,Wednesday
2025-07-02,S0004,,Baking,4.172857142857143,40,171.28,1,Wednesday
2025-07-02,S0004,,Beverages,3.575,26,93.47,1,Wednesday
2025-07-02,S0004,,Breakfast & Cereal,4.7363888888888885,43,205.5,1,Wednesday
2025-07-02,S0004,,Candy,2.5371428571428574,24,60.47,1,Wednesday
2025-07-02,S0004,,Condiments/Sauces/Spices,3.5769999999999995,13,46.71,1,Wednesday
2025-07-02,S0004,,Dairy & Eggs,3.4875,81,275.54,1,Wednesday
2025-07-02,S0004,,Deli,6.076250000000001,30,178.68,1,Wednesday
2025-07-02,S0004,,Frozen Foods,6.56,20,133.18,1,Wednesday
2025-07-02,S0004,,Grains and Pasta,2.3066666666666666,8,18.44,1,Wednesday
2025-07-02,S0004,,Meat and Seafood,9.481666666666667,27,252.21,1,Wednesday
2025-07-02,S0004,,Pet Food,7.174166666666667,36,256.62,1,Wednesday
2025-07-02,S0004,,Prepared Meals,8.741724137931033,36,310.08,1,Wednesday
2025-07-02,S0004,,Snacks/Cookies/Chips,3.1917391304347826,77,246.1,1,Wednesday
2025-07-02,S0005,,Alcohol,12.1209375,40,474.65,1,Wednesday
2025-07-02,S0005,,Bakery,4.202857142857143,9,37.32,1,Wednesday
2025-07-02,S0005,,Baking,4.030625000000001,19,76.84,1,Wednesday
2025-07-02,S0005,,Beverages,3.2777777777777777,14,44.98,1,Wednesday
2025-07-02,S0005,,Breakfast & Cereal,4.404545454545455,12,52.52,1,Wednesday
2025-07-02,S0005,,Candy,2.4415,24,58.06,1,Wednesday
2025-07-02,S0005,,Condiments/Sauces/Spices,3.394705882352941,18,60.89,1,Wednesday
2025-07-02,S0005,,Dairy & Eggs,3.50547619047619,50,177.53,1,Wednesday
2025-07-02,S0005,,Deli,5.875454545454545,12,69.92,1,Wednesday
2025-07-02,S0005,,Frozen Foods,6.4316666666666675,10,58.84,1,Wednesday
2025-07-02,S0005,,Grains and Pasta,2.755,6,14.389999999999999,1,Wednesday
2025-07-02,S0005,,Meat and Seafood,9.228,12,110.42,1,Wednesday
2025-07-02,S0005,,Pet Food,7.387142857142857,23,171.58,1,Wednesday
2025-07-02,S0005,,Prepared Meals,8.6875,23,195.99,1,Wednesday
2025-07-02,S0005,,Snacks/Cookies/Chips,3.243636363636363,56,184.29,1,Wednesday
2025-07-03,S0001,,Alcohol,12.266134453781513,137,1683.17,1,Thursday
2025-07-03,S0001,,Bakery,3.767142857142857,14,52.8,1,Thursday
2025-07-03,S0001,,Baking,4.008518518518518,31,124.28,1,Thursday
2025-07-03,S0001,,Beverages,3.2704918032786887,104,343.73,1,Thursday
2025-07-03,S0001,,Breakfast & Cereal,4.629782608695652,58,266.56,1,Thursday
2025-07-03,S0001,,Candy,2.533157894736842,50,126.83,1,Thursday
2025-07-03,S0001,,Condiments/Sauces/Spices,3.1914285714285713,34,111.82,1,Thursday
2025-07-03,S0001,,Dairy & Eggs,3.6885,138,509.57,1,Thursday
2025-07-03,S0001,,Deli,6.432121212121212,37,247.32,1,Thursday
2025-07-03,S0001,,Frozen Foods,7.166944444444444,47,332.09999999999997,1,Thursday
2025-07-03,S0001,,Grains and Pasta,2.271904761904762,29,66.21000000000001,1,Thursday
2025-07-03,S0001,,Meat and Seafood,9.265,60,551.08,1,Thursday
2025-07-03,S0001,,Pet Food,8.117857142857144,44,362.98,1,Thursday
2025-07-03,S0001,,Prepared Meals,7.876764705882353,39,310.95,1,Thursday
2025-07-03,S0001,,Snacks/Cookies/Chips,3.1119047619047615,109,335.81,1,Thursday
2025-07-03,S0002,,Alcohol,12.608095238095236,26,331.04,1,Thursday
2025-07-03,S0002,,Bakery,3.9159999999999995,5,19.56,1,Thursday
2025-07-03,S0002,,Baking,3.7528571428571427,10,37.42,1,Thursday
2025-07-03,S0002,,Beverages,3.281428571428571,22,69.06,1,Thursday
2025-07-03,S0002,,Breakfast & Cereal,4.349230769230769,15,63.120000000000005,1,Thursday
2025-07-03,S0002,,Candy,2.1858333333333335,12,26.25,1,Thursday
2025-07-03,S0002,,Condiments/Sauces/Spices,3.266666666666667,9,29.4,1,Thursday
2025-07-03,S0002,,Dairy & Eggs,3.4525,34,119.03999999999999,1,Thursday
2025-07-03,S0002,,Deli,5.659090909090909,13,72.62,1,Thursday
2025-07-03,S0002,,Frozen Foods,6.803076923076923,16,109.94,1,Thursday
2025-07-03,S0002,,Grains and Pasta,2.32,3,6.93,1,Thursday
2025-07-03,S0002,,Meat and Seafood,9.746666666666668,17,164.25,1,Thursday
2025-07-03,S0002,,Pet Food,7.336666666666667,12,87.43,1,Thursday
2025-07-03,S0002,,Prepared Meals,8.869411764705882,20,174.21,1,Thursday
2025-07-03,S0002,,Snacks/Cookies/Chips,3.0633333333333335,51,158.83,1,Thursday
2025-07-03,S0003,,Alcohol,11.876444444444443,51,628.01,1,Thursday
2025-07-03,S0003,,Bakery,4.656666666666666,7,34.59,1,Thursday
2025-07-03,S0003,,Baking,4.016818181818182,28,113.89,1,Thursday
2025-07-03,S0003,,Beverages,3.6229999999999998,30,105.62,1,Thursday
2025-07-03,S0003,,Breakfast & Cereal,4.5596,36,163.67,1,Thursday
2025-07-03,S0003,,Candy,2.7230434782608697,26,72.62,1,Thursday
2025-07-03,S0003,,Condiments/Sauces/Spices,3.3464705882352943,18,60.08,1,Thursday
2025-07-03,S0003,,Dairy & Eggs,3.5802631578947373,41,149.42000000000002,1,Thursday
2025-07-03,S0003,,Deli,6.0280000000000005,20,124.6,1,Thursday
2025-07-03,S0003,,Frozen Foods,6.828947368421052,20,138.8,1,Thursday
2025-07-03,S0003,,Grains and Pasta,2.5385714285714287,11,28.18,1,Thursday
2025-07-03,S0003,,Meat and Seafood,9.259583333333333,30,266.3,1,Thursday
2025-07-03,S0003,,Pet Food,7.8447619047619055,30,233.68,1,Thursday
2025-07-03,S0003,,Prepared Meals,8.662692307692307,31,275.97,1,Thursday
2025-07-03,S0003,,Snacks/Cookies/Chips,3.0019354838709678,93,282.6,1,Thursday
2025-07-03,S0004,,Alcohol,12.223947368421053,94,1148.33,1,Thursday
2025-07-03,S0004,,Bakery,3.6925,18,67.89,1,Thursday
2025-07-03,S0004,,Baking,3.6079166666666667,33,119.15,1,Thursday
2025-07-03,S0004,,Beverages,3.4448000000000003,43,145.39,1,Thursday
2025-07-03,S0004,,Breakfast & Cereal,5.469375,20,111.87,1,Thursday
2025-07-03,S0004,,Candy,2.444571428571429,38,92.77,1,Thursday
2025-07-03,S0004,,Condiments/Sauces/Spices,3.4918750000000003,22,78.12,1,Thursday
2025-07-03,S0004,,Dairy & Eggs,3.367205882352941,83,278.42,1,Thursday
2025-07-03,S0004,,Deli,5.878846153846154,34,205.23000000000002,1,Thursday
2025-07-03,S0004,,Frozen Foods,6.882258064516129,38,256.14,1,Thursday
2025-07-03,S0004,,Grains and Pasta,2.7777777777777777,12,36.519999999999996,1,Thursday
2025-07-03,S0004,,Meat and Seafood,9.407187500000001,39,364.48,1,Thursday
2025-07-03,S0004,,Pet Food,7.432272727272727,36,264.83,1,Thursday
2025-07-03,S0004,,Prepared Meals,8.207777777777778,47,391.79,1,Thursday
2025-07-03,S0004,,Snacks/Cookies/Chips,3.193,115,362.93,1,Thursday
2025-07-03,S0005,,Alcohol,12.333255813953489,50,613.73,1,Thursday
2025-07-03,S0005,,Bakery,4.034000000000001,14,54.27,1,Thursday
2025-07-03,S0005,,Baking,3.689285714285714,17,61.260000000000005,1,Thursday
2025-07-03,S0005,,Beverages,3.474285714285714,13,45.199999999999996,1,Thursday
2025-07-03,S0005,,Breakfast & Cereal,4.417894736842105,24,105.28,1,Thursday
2025-07-03,S0005,,Candy,2.568095238095238,28,71.37,1,Thursday
2025-07-03,S0005,,Condiments/Sauces/Spices,3.08875,9,28.41,1,Thursday
2025-07-03,S0005,,Dairy & Eggs,3.308,64,210.09,1,Thursday
2025-07-03,S0005,,Deli,6.839,16,120.11999999999999,1,Thursday
2025-07-03,S0005,,Frozen Foods,7.149166666666667,13,89.49,1,Thursday
2025-07-03,S0005,,Grains and Pasta,2.367272727272727,14,33.13,1,Thursday
2025-07-03,S0005,,Meat and Seafood,8.72,14,122.53,1,Thursday
2025-07-03,S0005,,Pet Food,7.405833333333334,16,120.2,1,Thursday
2025-07-03,S0005,,Prepared Meals,8.853333333333332,26,230.52,1,Thursday
2025-07-03,S0005,,Snacks/Cookies/Chips,3.0713999999999997,73,220.56,1,Thursday
2025-07-04,S0001,,Alcohol,12.162247191011236,113,1388.48,1,Friday
2025-07-04,S0001,,Bakery,4.082352941176471,17,69.49,1,Friday
2025-07-04,S0001,,Baking,3.6816666666666666,46,167.13,1,Friday
2025-07-04,S0001,,Beverages,3.0161290322580645,52,151.44,1,Friday
2025-07-04,S0001,,Breakfast & Cereal,4.547446808510638,55,245.24,1,Friday
2025-07-04,S0001,,Candy,2.598333333333333,26,69.1,1,Friday
2025-07-04,S0001,,Condiments/Sauces/Spices,3.7137142857142855,48,169.82,1,Friday
2025-07-04,S0001,,Dairy & Eggs,3.4986,129,430.57,1,Friday
2025-07-04,S0001,,Deli,5.956363636363636,41,233.18,1,Friday
2025-07-04,S0001,,Frozen Foods,6.857647058823529,48,347.05,1,Friday
2025-07-04,S0001,,Grains and Pasta,2.97,14,38.83,1,Friday
2025-07-04,S0001,,Meat and Seafood,9.24076923076923,52,499.53,1,Friday
2025-07-04,S0001,,Pet Food,8.240967741935483,51,419.08,1,Friday
2025-07-04,S0001,,Prepared Meals,8.84390243902439,45,384.94,1,Friday
2025-07-04,S0001,,Snacks/Cookies/Chips,3.2741525423728817,196,631.42,1,Friday
2025-07-04,S0002,,Alcohol,11.771666666666667,41,473.47,1,Friday
2025-07-04,S0002,,Baking,3.6792857142857143,15,53.99,1,Friday
2025-07-04,S0002,,Beverages,3.78125,12,41.61,1,Friday
2025-07-04,S0002,,Breakfast & Cereal,4.448181818181818,13,55.86,1,Friday
2025-07-04,S0002,,Candy,2.357,12,27.16,1,Friday
2025-07-04,S0002,,Condiments/Sauces/Spices,3.5285714285714285,15,51.87,1,Friday
2025-07-04,S0002,,Dairy & Eggs,3.8611764705882354,37,139.86,1,Friday
2025-07-04,S0002,,Deli,5.950833333333333,14,84.71000000000001,1,Friday
2025-07-04,S0002,,Frozen Foods,6.671538461538462,13,86.68,1,Friday
2025-07-04,S0002,,Grains and Pasta,2.7800000000000002,2,5.539999999999999,1,Friday
2025-07-04,S0002,,Meat and Seafood,8.782222222222224,11,88.91,1,Friday
2025-07-04,S0002,,Pet Food,6.705,11,81.22,1,Friday
2025-07-04,S0002,,Prepared Meals,7.0633333333333335,9,63.54,1,Friday
2025-07-04,S0002,,Snacks/Cookies/Chips,3.2321052631578944,56,177.28,1,Friday
2025-07-04,S0003,,Alcohol,12.544716981132076,66,838.17,1,Friday
2025-07-04,S0003,,Bakery,3.4633333333333334,6,20.78,1,Friday
2025-07-04,S0003,,Baking,3.6325,19,68.81,1,Friday
2025-07-04,S0003,,Beverages,3.4194444444444443,27,94.02,1,Friday
2025-07-04,S0003,,Breakfast & Cereal,3.930625,16,62.83,1,Friday
2025-07-04,S0003,,Candy,2.4899999999999998,42,105.57,1,Friday
2025-07-04,S0003,,Condiments/Sauces/Spices,3.7265,26,99.34,1,Friday
2025-07-04,S0003,,Dairy & Eggs,3.7175806451612905,69,250.66,1,Friday
2025-07-04,S0003,,Deli,5.472222222222222,23,128.13,1,Friday
2025-07-04,S0003,,Frozen Foods,6.956,21,143.74,1,Friday
2025-07-04,S0003,,Grains and Pasta,2.1574999999999998,6,11.790000000000001,1,Friday
2025-07-04,S0003,,Meat and Seafood,8.389999999999999,18,153.35,1,Friday
2025-07-04,S0003,,Pet Food,7.391153846153846,38,285.99,1,Friday
2025-07-04,S0003,,Prepared Meals,8.691818181818181,13,113.85,1,Friday
2025-07-04,S0003,,Snacks/Cookies/Chips,3.0751724137931036,97,294.6,1,Friday
2025-07-04,S0004,,Alcohol,12.327532467532468,103,1278.54,1,Friday
2025-07-04,S0004,,Bakery,3.561818181818182,17,61.669999999999995,1,Friday
2025-07-04,S0004,,Baking,3.9899999999999998,28,113.46000000000001,1,Friday
2025-07-04,S0004,,Beverages,3.5784210526315787,31,109.27,1,Friday
2025-07-04,S0004,,Breakfast & Cereal,4.660500000000001,28,127.53,1,Friday
2025-07-04,S0004,,Candy,2.6142857142857143,32,82.84,1,Friday
2025-07-04,S0004,,Condiments/Sauces/Spices,3.3230434782608698,26,86.74,1,Friday
2025-07-04,S0004,,Dairy & Eggs,3.6411290322580645,74,267.51,1,Friday
2025-07-04,S0004,,Deli,5.425483870967742,34,185.55,1,Friday
2025-07-04,S0004,,Frozen Foods,7.125909090909091,26,181.91,1,Friday
2025-07-04,S0004,,Grains and Pasta,2.6166666666666667,6,15.71,1,Friday
2025-07-04,S0004,,Meat and Seafood,8.474210526315789,26,220.87,1,Friday
2025-07-04,S0004,,Pet Food,7.921538461538462,24,189.06,1,Friday
2025-07-04,S0004,,Prepared Meals,8.986428571428572,32,286.29,1,Friday
2025-07-04,S0004,,Snacks/Cookies/Chips,3.22112676056338,103,342.25,1,Friday
2025-07-04,S0005,,Alcohol,12.706363636363637,41,531.63,1,Friday
2025-07-04,S0005,,Bakery,3.568,5,17.89,1,Friday
2025-07-04,S0005,,Baking,3.8935714285714282,15,58.62,1,Friday
2025-07-04,S0005,,Beverages,3.6305882352941174,28,101.82,1,Friday
2025-07-04,S0005,,Breakfast & Cereal,4.4775,21,95.47,1,Friday
2025-07-04,S0005,,Candy,2.5088888888888885,9,22.61,1,Friday
2025-07-04,S0005,,Condiments/Sauces/Spices,3.653125,16,58.489999999999995,1,Friday
2025-07-04,S0005,,Dairy & Eggs,3.4482608695652175,57,200.2,1,Friday
2025-07-04,S0005,,Deli,6.074117647058824,21,126.01,1,Friday
2025-07-04,S0005,,Frozen Foods,6.919090909090909,13,89.81,1,Friday
2025-07-04,S0005,,Grains and Pasta,1.8399999999999999,2,3.67,1,Friday
2025-07-04,S0005,,Meat and Seafood,9.061818181818182,16,139.0,1,Friday
2025-07-04,S0005,,Pet Food,7.273076923076923,21,162.22,1,Friday
2025-07-04,S0005,,Prepared Meals,8.034210526315789,20,161.8,1,Friday
2025-07-04,S0005,,Snacks/Cookies/Chips,3.055483870967742,46,133.27,1,Friday
2025-07-05,S0001,,Alcohol,12.439115044247789,129,1616.46,1,Saturday
2025-07-05,S0001,,Bakery,3.8576923076923078,30,114.42,1,Saturday
2025-07-05,S0001,,Baking,3.6744827586206896,72,268.75,1,Saturday
2025-07-05,S0001,,Beverages,3.1688571428571426,52,156.32,1,Saturday
2025-07-05,S0001,,Breakfast & Cereal,4.508181818181818,59,268.44,1,Saturday
2025-07-05,S0001,,Candy,2.4462162162162158,48,112.03,1,Saturday
2025-07-05,S0001,,Condiments/Sauces/Spices,3.383666666666667,36,125.63,1,Saturday
2025-07-05,S0001,,Dairy & Eggs,3.6089166666666666,142,510.59,1,Saturday
2025-07-05,S0001,,Deli,6.171320754716981,71,431.28000000000003,1,Saturday
2025-07-05,S0001,,Frozen Foods,6.743809523809524,52,346.27,1,Saturday
2025-07-05,S0001,,Grains and Pasta,2.883529411764706,23,65.31,1,Saturday
2025-07-05,S0001,,Meat and Seafood,8.721785714285714,36,299.96,1,Saturday
2025-07-05,S0001,,Pet Food,7.519,38,297.62,1,Saturday
2025-07-05,S0001,,Prepared Meals,8.332972972972973,39,320.13,1,Saturday
2025-07-05,S0001,,Snacks/Cookies/Chips,3.0249579831932776,182,538.11,1,Saturday
2025-07-05,S0002,,Alcohol,12.04825,45,542.14,1,Saturday
2025-07-05,S0002,,Bakery,3.915,4,15.66,1,Saturday
2025-07-05,S0002,,Baking,3.9522222222222223,20,77.43,1,Saturday
2025-07-05,S0002,,Beverages,3.3842857142857143,25,87.77,1,Saturday
2025-07-05,S0002,,Breakfast & Cereal,3.9323076923076923,20,77.52,1,Saturday
2025-07-05,S0002,,Candy,2.245,14,31.36,1,Saturday
2025-07-05,S0002,,Condiments/Sauces/Spices,3.308,10,33.14,1,Saturday
2025-07-05,S0002,,Dairy & Eggs,3.6177551020408165,59,207.41,1,Saturday
2025-07-05,S0002,,Deli,5.953,24,143.63,1,Saturday
2025-07-05,S0002,,Frozen Foods,6.977222222222222,22,155.57999999999998,1,Saturday
2025-07-05,S0002,,Grains and Pasta,2.6416666666666666,8,21.96,1,Saturday
2025-07-05,S0002,,Meat and Seafood,9.161666666666667,15,137.82,1,Saturday
2025-07-05,S0002,,Pet Food,7.226000000000001,17,123.65,1,Saturday
2025-07-05,S0002,,Prepared Meals,8.536818181818182,26,223.9,1,Saturday
2025-07-05,S0002,,Snacks/Cookies/Chips,3.055,43,129.75,1,Saturday
2025-07-05,S0003,,Alcohol,12.140769230769232,66,823.45,1,Saturday
2025-07-05,S0003,,Bakery,3.864375,28,108.66,1,Saturday
2025-07-05,S0003,,Baking,3.761578947368421,24,89.58,1,Saturday
2025-07-05,S0003,,Beverages,3.2125,31,101.7,1,Saturday
2025-07-05,S0003,,Breakfast & Cereal,5.025,28,146.44,1,Saturday
2025-07-05,S0003,,Candy,2.5376,27,68.66,1,Saturday
2025-07-05,S0003,,Condiments/Sauces/Spices,3.2529411764705882,19,61.66,1,Saturday
2025-07-05,S0003,,Dairy & Eggs,3.5949999999999998,82,290.75,1,Saturday
2025-07-05,S0003,,Deli,6.495357142857143,35,225.97,1,Saturday
2025-07-05,S0003,,Frozen Foods,6.795555555555556,29,198.25,1,Saturday
2025-07-05,S0003,,Grains and Pasta,2.518181818181818,15,36.32,1,Saturday
2025-07-05,S0003,,Meat and Seafood,9.025625,17,151.74,1,Saturday
