product_id,store_id,on_hand_units,reorder_point,base_price_override_cents,active
P00224,S0001,60,25,,True
P01724,S0001,89,26,,True
P00064,S0001,69,12,,True
P01001,S0001,29,10,191.0,True
P01999,S0001,41,13,,True
P00517,S0001,14,24,,True
P00106,S0001,57,12,,True
P01332,S0001,58,30,1570.0,True
P00829,S0001,91,24,,True
P01380,S0001,17,11,,True
P00771,S0001,23,21,843.0,True
P00560,S0001,62,15,,True
P00586,S0001,45,10,,True
P00116,S0001,75,13,,True
P00983,S0001,96,25,408.0,True
P00893,S0001,75,12,627.0,True
P01682,S0001,95,14,,True
P00711,S0001,39,25,,True
P01695,S0001,64,27,,True
P01406,S0001,11,30,,True
P01433,S0001,98,10,1030.0,True
P01072,S0001,28,13,,True
P00090,S0001,18,10,600.0,True
P01382,S0001,16,24,1697.0,True
P00824,S0001,86,21,,True
P00429,S0001,60,23,626.0,True
P00678,S0001,51,22,,True
P00048,S0001,99,20,,True
P00280,S0001,21,11,,True
P01373,S0001,80,22,,True
P00555,S0001,98,24,,True
P00102,S0001,90,25,,True
P00797,S0001,79,27,,True
P01849,S0001,89,22,1216.0,True
P01715,S0001,11,10,,True
P01341,S0001,30,18,,True
P00670,S0001,43,29,,True
P01152,S0001,27,10,,True
P00910,S0001,13,14,,True
P01729,S0001,44,26,545.0,True
P00900,S0001,20,30,,True
P00050,S0001,13,27,366.0,True
P00179,S0001,47,23,,True
P01713,S0001,43,28,352.0,True
P01367,S0001,14,24,1044.0,True
P01146,S0001,96,24,1780.0,True
P00375,S0001,72,20,,True
P01189,S0001,88,22,,True
P00481,S0001,75,22,326.0,True
P01164,S0001,51,13,,True
P01858,S0001,13,17,,True
P00453,S0001,93,14,,True
P01882,S0001,98,22,,True
P00317,S0001,60,11,,True
P00889,S0001,66,25,389.0,True
P01789,S0001,23,19,,True
P01285,S0001,64,23,,True
P01646,S0001,49,13,,True
P01468,S0001,61,30,443.0,True
P01099,S0001,98,13,800.0,True
P00406,S0001,98,30,,True
P00948,S0001,68,24,,True
P00435,S0001,76,12,1193.0,True
P01748,S0001,51,17,1204.0,True
P01460,S0001,52,30,,True
P00351,S0001,61,28,,True
P00772,S0001,51,24,,True
P01924,S0001,97,25,572.0,True
P00117,S0001,100,14,,True
P00302,S0001,86,14,,True
P01279,S0001,29,30,,True
P00874,S0001,67,14,671.0,True
P01052,S0001,63,15,,True
P00674,S0001,48,18,,True
P01096,S0001,68,24,573.0,True
P00185,S0001,54,23,,True
P01359,S0001,90,27,,True
P00619,S0001,38,16,497.0,True
P00979,S0001,56,22,,True
P01783,S0001,12,28,429.0,True
P00130,S0001,61,10,411.0,True
P00877,S0001,25,23,,True
P00537,S0001,91,23,,True
P01597,S0001,54,14,,True
P01046,S0001,28,18,,True
P00504,S0001,51,20,154.0,True
P01637,S0001,92,23,,True
P00847,S0001,94,10,,True
P00965,S0001,53,10,,True
P00423,S0001,83,22,,True
P00708,S0001,95,19,,True
P01971,S0001,66,24,745.0,True
P00270,S0001,23,21,,True
P01712,S0001,11,22,,True
P01879,S0001,56,19,229.0,True
P01606,S0001,45,13,,True
P00094,S0001,47,10,,True
P01153,S0001,16,24,,True
P01503,S0001,35,25,,True
P01902,S0001,99,27,,True
P01343,S0001,18,27,534.0,True
P01070,S0001,44,20,,True
P00493,S0001,29,25,,True
P01476,S0001,27,18,1147.0,True
P00367,S0001,58,29,511.0,True
P00070,S0001,91,16,,True
P01906,S0001,89,22,,True
P00142,S0001,44,22,,True
P00723,S0001,32,27,,True
P00352,S0001,72,15,,True
P01231,S0001,64,17,,True
P00898,S0001,19,20,,True
P01417,S0001,29,28,,True
P00661,S0001,18,17,,True
P01542,S0001,95,16,,True
P00892,S0001,66,10,221.0,True
P01144,S0001,46,20,,True
P01242,S0001,78,30,1156.0,True
P00400,S0001,66,15,,True
P00096,S0001,94,14,,True
P00220,S0001,25,16,,True
P01826,S0001,33,14,,True
P00712,S0001,29,14,1544.0,True
P01493,S0001,46,14,1464.0,True
P00859,S0001,44,11,,True
P00443,S0001,23,22,,True
P01792,S0001,53,16,,True
P01626,S0001,91,21,,True
P01998,S0001,76,24,,True
P01625,S0001,21,18,,True
P01411,S0001,30,26,1612.0,True
P01104,S0001,70,26,,True
P01191,S0001,67,10,599.0,True
P00190,S0001,79,27,1421.0,True
P01381,S0001,15,18,,True
P01015,S0001,28,22,1733.0,True
P00901,S0001,33,16,,True
P01202,S0001,41,10,,True
P00026,S0001,24,23,362.0,True
P00662,S0001,36,17,354.0,True
P00093,S0001,87,24,,True
P01176,S0001,82,11,,True
P01388,S0001,75,20,370.0,True
P01839,S0001,81,21,,True
P00852,S0001,10,17,,True
P00150,S0001,99,26,400.0,True
P00158,S0001,33,15,1525.0,True
P01329,S0001,65,30,,True
P00104,S0001,74,11,753.0,True
P00597,S0001,95,19,,True
P00989,S0001,89,22,,True
P00031,S0001,60,13,300.0,True
P00153,S0001,81,15,,True
P00431,S0001,13,27,1647.0,True
P01321,S0001,53,10,,True
P00167,S0001,68,23,601.0,True
P01100,S0001,27,26,,True
P00091,S0001,39,12,,True
P00001,S0001,65,13,,True
P00125,S0001,30,23,,True
P01214,S0001,55,17,384.0,True
P01347,S0001,12,28,547.0,True
P00016,S0001,81,20,1396.0,True
P00472,S0001,56,13,,True
P01818,S0001,42,12,,True
P01819,S0001,70,12,,True
P00775,S0001,28,27,,True
P00366,S0001,98,11,,True
P01372,S0001,46,20,908.0,True
P00628,S0001,35,27,,True
P00684,S0001,55,11,,True
P00042,S0001,72,21,1826.0,True
P01169,S0001,81,22,323.0,True
P01078,S0001,58,22,,True
P01821,S0001,95,22,,True
P01859,S0001,81,13,,True
P00203,S0001,60,23,,True
P00594,S0001,52,14,,True
P01174,S0001,85,20,1033.0,True
P01876,S0001,86,12,,True
P00237,S0001,91,19,,True
P01170,S0001,30,10,420.0,True
P01020,S0001,96,16,773.0,True
P00072,S0001,16,20,,True
P00686,S0001,90,30,,True
P01681,S0001,22,12,,True
P01598,S0001,23,18,,True
P01984,S0001,20,26,683.0,True
P00584,S0001,45,12,,True
P01274,S0001,15,22,,True
P00774,S0001,37,19,,True
P00821,S0001,42,28,,True
P01464,S0001,91,11,,True
P01145,S0001,33,22,1110.0,True
P01136,S0001,13,10,,True
P00478,S0001,10,17,458.0,True
P01270,S0001,46,16,343.0,True
P01667,S0001,18,21,821.0,True
P01068,S0001,47,17,,True
P01803,S0001,90,10,1405.0,True
P01289,S0001,40,10,,True
P00034,S0001,43,26,,True
P01569,S0001,45,24,509.0,True
P01726,S0001,45,30,,True
P01264,S0001,64,23,442.0,True
P01557,S0001,14,16,421.0,True
P01134,S0001,60,28,,True
P01547,S0001,12,21,,True
P00938,S0001,10,21,,True
P00855,S0001,50,20,1344.0,True
P00007,S0001,59,24,,True
P00047,S0001,49,28,,True
P01368,S0001,17,10,,True
P00430,S0001,78,27,,True
P00335,S0001,77,23,1622.0,True
P00622,S0001,28,25,980.0,True
P00984,S0001,51,24,,True
P01416,S0001,51,24,1018.0,True
P00637,S0001,37,23,,True
P01470,S0001,62,18,369.0,True
P01824,S0001,62,13,,True
P00422,S0001,36,16,1652.0,True
P01817,S0001,99,27,592.0,True
P01449,S0001,27,10,,True
P00457,S0001,84,12,,True
P00840,S0001,17,22,,True
P00943,S0001,17,23,,True
P00063,S0001,50,28,,True
P00370,S0001,23,17,,True
P00357,S0001,35,26,,True
P01428,S0001,24,18,,True
P01159,S0001,51,25,,True
P01439,S0001,58,19,1652.0,True
P00703,S0001,95,11,,True
P00147,S0001,35,17,686.0,True
P01831,S0001,33,27,1592.0,True
P00454,S0001,55,26,,True
P00045,S0001,55,10,,True
P01985,S0001,19,14,,True
P00222,S0001,26,13,,True
P01897,S0001,75,27,,True
P01643,S0001,95,21,454.0,True
P00451,S0001,57,13,,True
P01927,S0001,93,30,1062.0,True
P01163,S0001,88,28,,True
P00648,S0001,83,17,,True
P01259,S0001,95,18,,True
P00386,S0001,41,17,,True
P00951,S0001,24,17,,True
P00872,S0001,55,18,,True
P01586,S0001,74,16,910.0,True
P00407,S0001,57,11,,True
P00568,S0001,52,11,341.0,True
P01057,S0001,85,25,,True
P00301,S0001,25,24,,True
P00439,S0001,100,24,,True
P00998,S0001,47,25,1688.0,True
P00643,S0001,99,11,,True
P01246,S0001,28,13,,True
P01752,S0001,97,27,531.0,True
P00036,S0001,56,24,816.0,True
P00665,S0001,12,15,,True
P00766,S0001,13,25,,True
P01396,S0001,97,15,1599.0,True
P00745,S0001,34,28,,True
P00446,S0001,51,17,424.0,True
P01496,S0001,23,10,519.0,True
P00114,S0001,96,12,,True
P01151,S0001,85,26,998.0,True
P01846,S0001,44,28,,True
P00313,S0001,79,11,,True
P00118,S0001,92,10,,True
P00525,S0001,16,25,,True
P01903,S0001,88,26,,True
P00494,S0001,87,19,,True
P00127,S0001,30,24,,True
P00929,S0001,71,12,,True
P00387,S0001,60,25,,True
P00497,S0001,44,29,,True
P00644,S0001,92,15,,True
P00334,S0001,54,27,,True
P00554,S0001,43,22,,True
P00693,S0001,62,23,417.0,True
P00323,S0001,70,17,,True
P00735,S0001,21,17,,True
P00945,S0001,72,25,,True
P01300,S0001,49,13,,True
P00498,S0001,51,22,541.0,True
P00468,S0001,50,23,,True
P00462,S0001,99,10,,True
P01782,S0001,76,19,,True
P00447,S0001,86,27,,True
P01698,S0001,15,28,,True
P00226,S0001,15,27,,True
P00328,S0001,44,25,1470.0,True
P01520,S0001,11,15,486.0,True
P00572,S0001,42,14,,True
P00187,S0001,10,11,264.0,True
P01764,S0001,100,13,,True
P01820,S0001,23,29,246.0,True
P01366,S0001,45,12,448.0,True
P00861,S0001,89,11,165.0,True
P01409,S0001,20,19,,True
P00548,S0001,44,30,,True
P01885,S0001,83,30,,True
P00133,S0001,20,24,,True
P00685,S0001,81,23,,True
P01224,S0001,51,28,,True
P01304,S0001,73,13,,True
P00700,S0001,73,19,,True
P01948,S0001,28,26,,True
P01050,S0001,50,27,,True
P00110,S0001,52,29,871.0,True
P01935,S0001,14,26,,True
P00683,S0001,72,30,,True
P00229,S0001,40,10,379.0,True
P00993,S0001,97,29,442.0,True
P00307,S0001,41,21,,True
P01058,S0001,43,29,,True
P01636,S0001,91,13,,True
P01800,S0001,69,25,,True
P00980,S0001,23,17,,True
P01847,S0001,82,19,,True
P00428,S0001,91,10,,True
P01337,S0001,89,14,1123.0,True
P00846,S0001,57,17,,True
P00607,S0001,71,18,432.0,True
P00030,S0001,96,27,,True
P00610,S0001,20,18,,True
P00729,S0001,75,16,523.0,True
P01604,S0001,39,22,,True
P00704,S0001,26,17,452.0,True
P01199,S0001,30,20,,True
P00626,S0001,86,27,,True
P01505,S0001,48,16,256.0,True
P00541,S0001,31,13,,True
P00427,S0001,81,26,,True
P00377,S0001,85,19,,True
P01509,S0001,75,13,1630.0,True
P01091,S0001,23,19,,True
P01930,S0001,77,25,,True
P01834,S0001,61,23,485.0,True
P01445,S0001,98,12,781.0,True
P00410,S0001,98,16,388.0,True
P00731,S0001,44,21,840.0,True
P00217,S0001,21,19,1661.0,True
P00713,S0001,22,18,,True
P00376,S0001,67,23,,True
P01554,S0001,24,24,1347.0,True
P00589,S0001,86,12,359.0,True
P01472,S0001,45,23,,True
P01801,S0001,79,16,,True
P01351,S0001,93,13,,True
P01546,S0001,36,12,,True
P01263,S0001,16,26,,True
P01458,S0001,82,18,,True
P01056,S0001,73,17,922.0,True
P01775,S0001,28,19,,True
P01623,S0001,15,21,336.0,True
P01687,S0001,29,21,,True
P00058,S0001,27,23,,True
P00254,S0001,39,11,,True
P00112,S0001,77,10,,True
P00753,S0001,14,22,,True
P01494,S0001,48,24,406.0,True
P01352,S0001,75,18,,True
P00341,S0001,60,14,,True
P01467,S0001,66,13,548.0,True
P01364,S0001,98,12,1000.0,True
P00748,S0001,11,25,,True
P00432,S0001,28,16,516.0,True
P00521,S0001,84,12,,True
P00930,S0001,95,27,,True
P01615,S0001,76,17,347.0,True
P01127,S0001,77,23,,True
P00996,S0001,73,29,351.0,True
P01911,S0001,30,20,1512.0,True
P01995,S0001,79,27,,True
P00003,S0001,96,21,,True
P01763,S0001,47,16,,True
P01257,S0001,62,27,,True
P00588,S0001,48,16,492.0,True
P01158,S0001,61,18,,True
P01725,S0001,46,25,,True
P01435,S0001,29,29,,True
P00762,S0001,48,10,361.0,True
P00991,S0001,58,25,549.0,True
P01890,S0001,76,14,,True
P00649,S0001,43,22,,True
P00798,S0001,33,19,,True
P01584,S0001,50,23,,True
P01502,S0001,15,13,,True
P00331,S0001,92,12,,True
P01947,S0001,65,10,434.0,True
P00281,S0001,63,22,,True
P00154,S0001,11,22,428.0,True
P01232,S0001,57,18,,True
P01630,S0001,90,22,1708.0,True
P00032,S0001,24,24,,True
P01967,S0001,38,12,,True
P01811,S0001,36,29,,True
P00890,S0001,83,22,,True
P00642,S0001,58,20,348.0,True
P00706,S0001,95,13,,True
P01491,S0001,71,18,,True
P00258,S0001,96,20,626.0,True
P00726,S0001,35,14,620.0,True
P00174,S0001,61,27,,True
P01607,S0001,57,19,1032.0,True
P00976,S0001,11,18,,True
P00724,S0001,33,27,,True
P01492,S0001,22,27,,True
P01455,S0001,14,20,,True
P01508,S0001,92,17,,True
P00514,S0001,89,20,763.0,True
P01797,S0001,18,20,,True
P00221,S0001,53,17,1114.0,True
P01812,S0001,91,14,1706.0,True
P00697,S0001,43,29,,True
P00325,S0001,79,27,1171.0,True
P01392,S0001,98,14,,True
P00663,S0001,11,21,,True
P00536,S0001,14,12,,True
P00752,S0001,43,21,,True
P00405,S0001,62,14,,True
P00208,S0001,81,26,,True
P01661,S0001,92,12,555.0,True
P00165,S0001,28,20,275.0,True
P01342,S0001,56,26,,True
P01926,S0001,89,15,430.0,True
P00156,S0001,52,29,,True
P01173,S0001,41,20,,True
P01758,S0001,75,17,,True
P01063,S0001,42,20,,True
P01524,S0001,81,22,,True
P01537,S0001,59,13,333.0,True
P00780,S0001,27,13,,True
P00751,S0001,39,22,,True
P00503,S0001,90,20,,True
P01223,S0001,100,21,,True
P00755,S0001,40,21,,True
P01184,S0001,93,17,,True
P01614,S0001,51,22,225.0,True
P00198,S0001,37,29,,True
P00084,S0001,23,17,,True
P01506,S0001,82,18,,True
P00065,S0001,91,21,746.0,True
P01638,S0001,86,22,370.0,True
P01147,S0001,42,10,,True
P01006,S0001,93,26,,True
P01990,S0001,70,22,1293.0,True
P01405,S0001,96,27,,True
P00009,S0001,13,11,,True
P01922,S0001,55,14,,True
P01222,S0001,42,16,,True
P00803,S0001,70,14,596.0,True
P01324,S0001,49,23,507.0,True
P00380,S0001,85,29,,True
P00871,S0001,11,26,,True
P01762,S0001,19,26,1567.0,True
P00145,S0001,29,14,,True
P01139,S0001,13,22,,True
P00777,S0001,92,10,,True
P01588,S0001,85,23,,True
P01529,S0001,79,22,371.0,True
P00052,S0001,99,23,,True
P01256,S0001,42,13,,True
P01827,S0001,71,15,,True
P00602,S0001,66,17,435.0,True
P00959,S0001,29,14,,True
P00067,S0001,31,20,,True
P00590,S0001,51,26,1497.0,True
P01454,S0001,45,15,,True
P00253,S0001,29,22,490.0,True
P01308,S0001,83,14,,True
P00292,S0001,30,16,,True
P00213,S0001,34,13,,True
P00621,S0001,45,21,,True
P00744,S0001,49,19,,True
P01489,S0001,86,12,,True
P01746,S0001,24,13,,True
P01086,S0001,53,18,,True
P00369,S0001,39,24,,True
P01864,S0001,46,12,,True
P01760,S0001,51,13,,True
P01543,S0001,63,13,,True
P00725,S0001,19,13,680.0,True
P00196,S0001,40,30,414.0,True
P00905,S0001,17,11,,True
P00206,S0001,73,17,1622.0,True
P01060,S0001,24,28,719.0,True
P01965,S0001,45,17,,True
P00542,S0001,72,22,464.0,True
P01124,S0001,61,12,495.0,True
P01438,S0001,91,10,588.0,True
P00297,S0001,34,30,765.0,True
P01108,S0001,59,24,,True
P01201,S0001,86,17,1484.0,True
P01854,S0001,56,19,,True
P01165,S0001,93,21,,True
P01641,S0001,37,10,,True
P00961,S0001,89,10,,True
P00758,S0001,76,30,,True
P01426,S0001,64,22,,True
P00809,S0001,91,25,,True
P00205,S0001,25,28,,True
P01363,S0001,73,11,,True
P00249,S0001,79,22,1231.0,True
P01005,S0001,26,30,544.0,True
P00672,S0001,21,20,,True
P01067,S0001,62,27,,True
P01115,S0001,42,20,1196.0,True
P00456,S0001,78,24,1158.0,True
P01292,S0001,27,12,,True
P01140,S0001,19,11,,True
P00120,S0001,13,21,,True
P00897,S0001,83,26,,True
P01421,S0001,54,19,,True
P01590,S0001,69,24,,True
P01427,S0001,85,15,,True
P01978,S0001,11,22,,True
P01514,S0001,66,17,444.0,True
P01522,S0001,22,27,572.0,True
P00547,S0001,24,28,,True
P00342,S0001,85,18,,True
P01250,S0001,33,22,,True
P01431,S0001,60,18,,True
P00754,S0001,41,15,,True
P00801,S0001,91,25,,True
P01771,S0001,58,22,,True
P01709,S0001,43,29,,True
P01587,S0001,23,20,,True
P01024,S0001,60,16,699.0,True
P00606,S0001,82,28,,True
P00830,S0001,71,30,305.0,True
P00082,S0001,17,23,,True
P00172,S0001,47,23,,True
P01560,S0001,94,25,472.0,True
P00006,S0001,55,22,,True
P01188,S0001,67,22,459.0,True
P00653,S0001,88,18,,True
P00511,S0001,41,12,1032.0,True
P01397,S0001,86,17,1744.0,True
P01677,S0001,46,15,,True
P00535,S0001,37,11,,True
P01356,S0001,36,24,596.0,True
P00184,S0001,57,20,443.0,True
P00505,S0001,57,18,,True
P01233,S0001,50,23,586.0,True
P00397,S0001,11,19,1373.0,True
P01843,S0001,77,19,428.0,True
P01957,S0001,16,14,254.0,True
P01747,S0001,41,21,,True
P01021,S0001,91,29,,True
P00524,S0001,12,20,1710.0,True
P00509,S0001,21,26,,True
P00209,S0001,99,24,1536.0,True
P01842,S0001,65,27,,True
P01350,S0001,76,28,821.0,True
P01278,S0001,51,25,260.0,True
P00310,S0001,69,30,,True
P00759,S0001,86,25,478.0,True
P01969,S0001,90,19,,True
P00385,S0001,18,28,,True
P00522,S0001,11,30,,True
P01446,S0001,81,20,,True
P01745,S0001,53,17,,True
P00296,S0001,46,19,,True
P00256,S0001,68,23,710.0,True
P00857,S0001,78,28,306.0,True
P01895,S0001,91,25,,True
P00734,S0001,93,12,,True
P00251,S0001,22,15,,True
P00163,S0001,80,22,,True
P00312,S0001,44,13,,True
P01477,S0001,30,18,1024.0,True
P01378,S0001,13,20,403.0,True
P00891,S0001,89,19,,True
P01963,S0001,73,12,,True
P01744,S0001,81,23,,True
P01561,S0001,78,29,,True
P01699,S0001,55,16,,True
P00720,S0001,72,22,,True
P00741,S0001,65,10,,True
P01850,S0001,24,21,,True
P01073,S0001,51,18,488.0,True
P00259,S0001,45,15,,True
P01483,S0001,56,24,1024.0,True
P01528,S0001,75,24,,True
P01485,S0001,69,26,,True
P01414,S0001,16,23,,True
P00827,S0001,74,30,,True
P00318,S0001,14,18,621.0,True
P01953,S0001,27,20,327.0,True
P01033,S0001,25,21,390.0,True
P00299,S0001,57,17,465.0,True
P01295,S0001,21,21,,True
P01474,S0001,26,17,,True
P01941,S0001,77,14,1663.0,True
P01410,S0001,31,28,1008.0,True
P01517,S0001,64,23,,True
P00005,S0001,66,12,,True
P00835,S0001,79,12,,True
P01955,S0001,88,25,1638.0,True
P01954,S0001,69,18,,True
P00344,S0001,10,26,,True
P00078,S0001,63,17,,True
P00923,S0001,62,30,,True
P00057,S0001,17,13,,True
P01741,S0001,91,17,,True
P00583,S0001,62,14,,True
P01022,S0001,80,18,197.0,True
P00419,S0001,54,23,673.0,True
P01648,S0001,72,24,1066.0,True
P00710,S0001,88,21,,True
P01087,S0001,99,29,,True
P00645,S0001,77,26,510.0,True
P00596,S0001,87,10,,True
P00733,S0001,68,20,,True
P01958,S0001,75,27,,True
P00813,S0001,44,19,837.0,True
P01617,S0001,59,16,396.0,True
P01105,S0001,70,27,,True
P01025,S0001,80,16,216.0,True
P01910,S0001,67,28,,True
P01408,S0001,87,14,364.0,True
P00942,S0001,72,30,243.0,True
P00381,S0001,38,11,,True
P00089,S0001,19,25,1406.0,True
P01674,S0001,37,22,,True
P00488,S0001,78,14,600.0,True
P00614,S0001,97,21,,True
P00403,S0001,53,27,,True
P01992,S0001,33,18,,True
P01810,S0001,67,11,,True
P01683,S0001,95,23,496.0,True
P01450,S0001,97,23,,True
P00287,S0001,58,18,,True
P00947,S0001,21,14,1400.0,True
P01975,S0001,22,18,,True
P01413,S0001,32,28,,True
P00365,S0001,100,12,,True
P00701,S0001,23,14,1635.0,True
P00600,S0001,68,22,476.0,True
P00055,S0001,12,26,,True
P00680,S0001,93,28,,True
P00160,S0001,86,17,,True
P01212,S0001,71,30,314.0,True
P00671,S0001,44,16,467.0,True
P01670,S0001,95,22,,True
P00418,S0001,24,30,1119.0,True
P01733,S0001,17,22,674.0,True
P00484,S0001,56,27,347.0,True
P01869,S0001,66,11,411.0,True
P01377,S0001,57,23,,True
P01649,S0001,27,14,,True
P01009,S0001,53,29,,True
P01769,S0001,38,19,1548.0,True
P01384,S0001,38,24,501.0,True
P00433,S0001,91,14,571.0,True
P01925,S0001,89,24,511.0,True
P01401,S0001,26,25,,True
P00958,S0001,83,29,,True
P01690,S0001,36,10,,True
P01095,S0001,61,12,,True
P00121,S0001,99,10,311.0,True
P01265,S0001,21,15,636.0,True
P01101,S0001,15,23,,True
P01633,S0001,65,12,,True
P01852,S0001,68,14,157.0,True
P00159,S0001,85,11,,True
P00918,S0001,77,11,458.0,True
P00189,S0001,94,22,423.0,True
P01790,S0001,10,24,742.0,True
P00316,S0001,84,16,,True
P00808,S0001,30,22,,True
P00355,S0001,13,25,,True
P01805,S0001,90,27,,True
P01026,S0001,83,20,,True
P00109,S0001,10,10,760.0,True
P00894,S0001,63,28,,True
P01853,S0001,55,21,363.0,True
P00332,S0001,36,15,,True
P01866,S0001,76,22,416.0,True
P01913,S0001,55,27,,True
P00441,S0001,46,24,416.0,True
P00059,S0001,42,29,,True
P00486,S0001,36,13,,True
P01888,S0001,29,28,,True
P01197,S0001,51,19,,True
P01799,S0001,48,18,792.0,True
P00975,S0001,90,28,,True
P00240,S0001,98,25,,True
P00867,S0001,93,18,,True
P01545,S0001,61,12,,True
P01357,S0001,82,11,687.0,True
P00624,S0001,26,18,,True
P01868,S0001,12,15,,True
P01929,S0001,40,10,,True
P00105,S0001,18,22,,True
P00652,S0001,49,26,,True
P01463,S0001,98,18,,True
P01743,S0001,34,22,,True
P00021,S0001,12,25,,True
P00717,S0001,17,15,,True
P01629,S0001,78,17,,True
P01896,S0001,80,13,,True
P00273,S0001,63,17,464.0,True
P01595,S0001,54,20,426.0,True
P01691,S0001,89,25,,True
P01376,S0001,52,16,,True
P01564,S0001,93,27,,True
P00320,S0001,68,27,,True
P01700,S0001,93,16,1054.0,True
P00730,S0001,64,11,,True
P01336,S0001,76,25,,True
P00356,S0001,30,23,,True
P00546,S0001,62,19,,True
P01442,S0001,10,30,488.0,True
P00066,S0001,26,22,1726.0,True
P00458,S0001,58,11,,True
P01988,S0001,29,10,1028.0,True
P01559,S0001,89,11,,True
P01230,S0001,51,24,405.0,True
P00791,S0001,60,17,,True
P01516,S0001,28,20,,True
P01112,S0001,66,28,,True
P00841,S0001,94,18,,True
P00379,S0001,29,29,,True
P01126,S0001,24,29,,True
P00294,S0001,87,14,,True
P00565,S0001,85,30,,True
P00651,S0001,31,24,675.0,True
P00170,S0001,97,14,,True
P01077,S0001,45,22,,True
P01211,S0001,42,14,941.0,True
P01772,S0001,35,23,,True
P00812,S0001,51,11,,True
P01531,S0001,51,22,,True
P01644,S0001,48,14,,True
P00567,S0001,85,17,,True
P00500,S0001,25,22,330.0,True
P01734,S0001,24,28,,True
P00181,S0001,80,23,,True
P01809,S0001,29,16,1016.0,True
P00573,S0001,35,17,431.0,True
P01645,S0001,58,10,,True
P00935,S0001,43,22,,True
P00851,S0001,76,25,,True
P01753,S0001,14,13,545.0,True
P00288,S0001,32,17,,True
P01658,S0001,32,11,,True
P01385,S0001,66,30,,True
P00736,S0001,31,19,956.0,True
P01640,S0001,32,29,,True
P00909,S0001,70,24,,True
P01499,S0001,53,22,442.0,True
P00749,S0001,22,30,373.0,True
P00474,S0001,24,13,,True
P01815,S0001,84,16,,True
P00591,S0001,92,29,372.0,True
P00327,S0001,63,19,,True
P01167,S0001,96,24,594.0,True
P01857,S0001,17,28,,True
P00823,S0001,57,28,422.0,True
P01082,S0001,32,21,696.0,True
P01461,S0001,28,16,,True
P01966,S0001,49,15,,True
P01042,S0001,96,16,374.0,True
P00953,S0001,25,13,,True
P01471,S0001,41,27,,True
P00837,S0001,27,23,,True
P00122,S0001,75,17,640.0,True
P01365,S0001,19,26,1735.0,True
P00878,S0001,61,16,,True
P01642,S0001,89,28,924.0,True
P01032,S0001,13,19,,True
P00282,S0001,37,30,,True
P01791,S0001,27,18,,True
P00858,S0001,61,14,1720.0,True
P00417,S0001,50,16,582.0,True
P01832,S0001,87,11,1379.0,True
P01664,S0001,11,10,,True
P01216,S0001,13,21,,True
P01097,S0001,100,23,1536.0,True
P00311,S0001,19,26,,True
P00657,S0001,75,12,,True
P00324,S0001,98,28,,True
P00350,S0001,94,14,,True
P00097,S0001,88,28,1448.0,True
P00933,S0001,28,26,,True
P00563,S0001,30,26,187.0,True
P01722,S0001,93,11,,True
P00566,S0001,31,17,,True
P00612,S0001,32,17,805.0,True
P01002,S0001,62,25,1033.0,True
P00776,S0001,62,30,,True
P01914,S0001,17,17,,True
P01122,S0001,41,19,,True
P00359,S0001,85,17,,True
