transaction_id,line_number,product_id,category,unit_cost,unit_price,promo_price,qty,line_subtotal,line_discount,line_total,promo_id,promo_type,__line_total_std,__line_subtotal_std,__line_discount_std,__tid_num
T00000009,2,P00642,Baking,1.88,3.38,,1,3.38,-0.01,3.39,,,3.39,3.38,-0.01,9.0
T00000009,3,P00346,Baking,2.39,3.11,,1,3.11,-0.01,3.12,,,3.12,3.11,-0.01,9.0
T00000010,1,P01080,Grains and Pasta,1.27,2.28,,1,2.28,0.0,2.28,,,2.28,2.28,0.0,10.0
T00000011,1,P00002,Beverages,2.03,2.9,,1,2.9,0.02,2.88,,,2.88,2.9,0.02,11.0
T00000011,2,P01042,Candy,1.63,2.55,,1,2.55,0.02,2.53,,,2.53,2.55,0.02,11.0
T00000011,3,P00171,Snacks/Cookies/Chips,2.28,2.89,2.75,1,2.89,0.16,2.73,PR00013,BUNDLE,2.73,2.89,0.16,11.0
T00000011,4,P01392,Baking,2.83,3.72,,2,7.44,0.04,7.4,,,7.4,7.44,0.04,11.0
T00000011,5,P00849,Candy,1.25,2.0,1.42,1,2.0,0.59,1.41,PR00016,PERCENT_OFF,1.41,2.0,0.59,11.0
T00000011,6,P00531,Grains and Pasta,1.68,2.91,,1,2.91,0.02,2.89,,,2.89,2.91,0.02,11.0
T00000011,7,P01105,Meat and Seafood,8.26,10.51,,1,10.51,0.06,10.45,,,10.45,10.51,0.06,11.0
T00000012,1,P00371,Alcohol,6.38,9.32,,1,9.32,0.06,9.26,,,9.26,9.32,0.06,12.0
T00000012,2,P00171,Snacks/Cookies/Chips,2.28,2.89,,1,2.89,0.02,2.87,,,2.87,2.89,0.02,12.0
T00000012,3,P00764,Prepared Meals,9.27,11.61,,1,11.61,0.07,11.54,,,11.54,11.61,0.07,12.0
T00000013,1,P00802,Candy,1.46,1.96,,1,1.96,-0.01,1.97,,,1.97,1.96,-0.01,13.0
T00000013,2,P01176,Beverages,3.03,4.09,,1,4.09,-0.02,4.11,,,4.11,4.09,-0.02,13.0
T00000013,3,P00510,Snacks/Cookies/Chips,2.14,3.17,,3,9.51,-0.04,9.55,,,9.55,9.51,-0.04,13.0
T00000013,4,P01228,Dairy & Eggs,1.59,2.56,,1,2.56,-0.01,2.57,,,2.57,2.56,-0.01,13.0
T00000013,5,P00208,Breakfast & Cereal,2.94,4.27,,2,8.54,-0.03,8.57,,,8.57,8.54,-0.03,13.0
T00000014,1,P00201,Prepared Meals,4.84,8.51,,1,8.51,-0.01,8.52,,,8.52,8.51,-0.01,14.0
T00000014,2,P00322,Pet Food,5.26,6.65,,1,6.65,-0.01,6.66,,,6.66,6.65,-0.01,14.0
T00000014,3,P00437,Alcohol,6.5,9.4,,1,9.4,-0.02,9.42,,,9.42,9.4,-0.02,14.0
T00000015,1,P00562,Baking,3.69,5.49,,1,5.49,-0.01,5.5,,,5.5,5.49,-0.01,15.0
T00000016,1,P00632,Beverages,3.79,5.04,,3,15.12,0.03,15.09,,,15.09,15.12,0.03,16.0
T00000016,2,P00596,Prepared Meals,4.67,6.93,,1,6.93,0.01,6.92,,,6.92,6.93,0.01,16.0
T00000016,3,P00185,Beverages,2.12,3.69,,3,11.07,0.02,11.05,,,11.05,11.07,0.02,16.0
T00000016,4,P01154,Deli,3.87,5.31,,1,5.31,0.01,5.3,,,5.3,5.31,0.01,16.0
T00000016,5,P01352,Dairy & Eggs,2.32,3.74,,1,3.74,0.01,3.73,,,3.73,3.74,0.01,16.0
T00000017,1,P00276,Alcohol,8.37,11.36,,1,11.36,-0.02,11.38,,,11.38,11.36,-0.02,17.0
T00000017,2,P00967,Snacks/Cookies/Chips,2.7,3.73,,1,3.73,-0.01,3.74,,,3.74,3.73,-0.01,17.0
T00000017,3,P00170,Alcohol,6.05,8.81,,1,8.81,-0.02,8.83,,,8.83,8.81,-0.02,17.0
T00000017,4,P00879,Snacks/Cookies/Chips,2.05,2.67,,1,2.67,0.0,2.67,,,2.67,2.67,0.0,17.0
T00000017,5,P00769,Snacks/Cookies/Chips,2.35,3.12,,3,9.36,-0.02,9.38,,,9.38,9.36,-0.02,17.0
T00000018,1,P00972,Frozen Foods,5.04,6.8,,1,6.8,-0.03,6.83,,,6.83,6.8,-0.03,18.0
T00000018,2,P01229,Snacks/Cookies/Chips,2.79,3.84,,1,3.84,-0.01,3.85,,,3.85,3.84,-0.01,18.0
T00000018,3,P00607,Breakfast & Cereal,4.57,5.89,,1,5.89,-0.02,5.91,,,5.91,5.89,-0.02,18.0
T00000018,4,P01245,Dairy & Eggs,2.92,3.67,,1,3.67,-0.01,3.68,,,3.68,3.67,-0.01,18.0
T00000018,5,P00963,Prepared Meals,4.3,5.96,,2,11.92,-0.05,11.97,,,11.97,11.92,-0.05,18.0
T00000018,6,P00945,Snacks/Cookies/Chips,2.95,4.04,,3,12.12,-0.05,12.17,,,12.17,12.12,-0.05,18.0
T00000019,1,P00790,Breakfast & Cereal,3.85,5.84,,1,5.84,0.01,5.83,,,5.83,5.84,0.01,19.0
T00000019,2,P00023,Dairy & Eggs,1.99,2.51,,1,2.51,0.01,2.5,,,2.5,2.51,0.01,19.0
T00000019,3,P00729,Alcohol,7.29,9.13,,1,9.13,0.02,9.11,,,9.11,9.13,0.02,19.0
T00000019,4,P00514,Pet Food,8.55,11.11,,1,11.11,0.02,11.09,,,11.09,11.11,0.02,19.0
T00000020,1,P00069,Meat and Seafood,5.14,9.14,,1,9.14,-0.02,9.16,,,9.16,9.14,-0.02,20.0
T00000020,2,P01345,Bakery,2.52,3.5,,1,3.5,-0.01,3.51,,,3.51,3.5,-0.01,20.0
T00000021,1,P00605,Snacks/Cookies/Chips,2.09,3.17,,1,3.17,0.02,3.15,,,3.15,3.17,0.02,21.0
T00000021,2,P00289,Pet Food,7.97,10.67,,1,10.67,0.06,10.61,,,10.61,10.67,0.06,21.0
T00000021,3,P00644,Dairy & Eggs,1.94,2.7,,1,2.7,0.02,2.68,,,2.68,2.7,0.02,21.0
T00000021,4,P00669,Snacks/Cookies/Chips,3.19,4.52,,2,9.04,0.05,8.99,,,8.99,9.04,0.05,21.0
T00000022,1,P01493,Grains and Pasta,1.29,1.93,,1,1.93,0.01,1.92,,,1.92,1.93,0.01,22.0
T00000022,2,P00527,Snacks/Cookies/Chips,2.63,3.53,,3,10.59,0.06,10.53,,,10.53,10.59,0.06,22.0
T00000022,3,P01478,Baking,2.66,4.81,,3,14.43,0.09,14.34,,,14.34,14.43,0.09,22.0
T00000022,4,P00371,Alcohol,6.38,9.32,,1,9.32,0.06,9.26,,,9.26,9.32,0.06,22.0
T00000023,1,P01316,Alcohol,10.02,13.33,11.8,1,13.33,1.51,11.82,PR00104,BUNDLE,11.82,13.33,1.51,23.0
T00000023,2,P01433,Baking,1.86,3.15,,1,3.15,-0.01,3.16,,,3.16,3.15,-0.01,23.0
T00000023,3,P00644,Dairy & Eggs,1.94,2.7,,1,2.7,0.0,2.7,,,2.7,2.7,0.0,23.0
T00000023,4,P00172,Prepared Meals,7.2,9.27,,1,9.27,-0.02,9.29,,,9.29,9.27,-0.02,23.0
T00000024,1,P00553,Candy,1.4,1.83,,1,1.83,0.0,1.83,,,1.83,1.83,0.0,24.0
T00000024,2,P00764,Prepared Meals,9.27,11.61,,1,11.61,0.02,11.59,,,11.59,11.61,0.02,24.0
T00000024,3,P01455,Baking,2.43,3.25,,1,3.25,0.01,3.24,,,3.24,3.25,0.01,24.0
T00000024,4,P00264,Meat and Seafood,4.53,7.12,,1,7.12,0.01,7.11,,,7.11,7.12,0.01,24.0
T00000025,1,P00260,Frozen Foods,5.1,6.41,,1,6.41,-0.01,6.42,,,6.42,6.41,-0.01,25.0
T00000025,2,P00879,Snacks/Cookies/Chips,2.05,2.67,2.38,1,2.67,0.29,2.38,PR00217,BUNDLE,2.38,2.67,0.29,25.0
T00000026,1,P01151,Dairy & Eggs,1.15,1.65,,1,1.65,0.0,1.65,,,1.65,1.65,0.0,26.0
T00000026,2,P00521,Breakfast & Cereal,2.74,4.32,,1,4.32,-0.01,4.33,,,4.33,4.32,-0.01,26.0
T00000026,3,P00448,Dairy & Eggs,2.2,3.04,,2,6.08,-0.01,6.09,,,6.09,6.08,-0.01,26.0
T00000026,4,P01051,Candy,1.68,2.42,,1,2.42,0.0,2.42,,,2.42,2.42,0.0,26.0
T00000026,5,P00461,Beverages,2.27,2.97,,1,2.97,-0.01,2.98,,,2.98,2.97,-0.01,26.0
T00000026,6,P01155,Snacks/Cookies/Chips,2.33,3.38,,1,3.38,-0.01,3.39,,,3.39,3.38,-0.01,26.0
T00000026,7,P01433,Baking,1.86,3.15,,1,3.15,-0.01,3.16,,,3.16,3.15,-0.01,26.0
T00000027,1,P00683,Prepared Meals,7.33,10.06,,1,10.06,0.02,10.04,,,10.04,10.06,0.02,27.0
T00000027,2,P00724,Breakfast & Cereal,3.32,4.59,,1,4.59,0.01,4.58,,,4.58,4.59,0.01,27.0
T00000027,3,P00637,Dairy & Eggs,2.64,4.2,,1,4.2,0.01,4.19,,,4.19,4.2,0.01,27.0
T00000028,1,P00018,Snacks/Cookies/Chips,1.84,2.79,,3,8.37,-0.03,8.4,,,8.4,8.37,-0.03,28.0
T00000028,2,P00481,Pet Food,3.05,5.45,,3,16.35,-0.06,16.41,,,16.41,16.35,-0.06,28.0
T00000029,1,P01119,Snacks/Cookies/Chips,2.46,3.48,,3,10.44,-0.02,10.46,,,10.46,10.44,-0.02,29.0
T00000030,1,P00954,Snacks/Cookies/Chips,1.77,2.98,,3,8.94,0.05,8.89,,,8.89,8.94,0.05,30.0
T00000030,2,P01489,Candy,2.09,2.69,,3,8.07,0.05,8.02,,,8.02,8.07,0.05,30.0
T00000031,1,P00937,Bakery,2.19,3.68,,2,7.36,0.04,7.32,,,7.32,7.36,0.04,31.0
T00000031,2,P00859,Dairy & Eggs,3.55,5.15,,1,5.15,0.03,5.12,,,5.12,5.15,0.03,31.0
T00000031,3,P00851,Condiments/Sauces/Spices,4.16,5.39,,1,5.39,0.03,5.36,,,5.36,5.39,0.03,31.0
T00000031,4,P00244,Breakfast & Cereal,3.68,5.12,,1,5.12,0.03,5.09,,,5.09,5.12,0.03,31.0
T00000031,5,P01294,Bakery,1.68,3.05,,1,3.05,0.02,3.03,,,3.03,3.05,0.02,31.0
T00000032,1,P00879,Snacks/Cookies/Chips,2.05,2.67,,2,5.34,-0.01,5.35,,,5.35,5.34,-0.01,32.0
T00000032,2,P00448,Dairy & Eggs,2.2,3.04,,2,6.08,-0.01,6.09,,,6.09,6.08,-0.01,32.0
T00000033,1,P00892,Alcohol,9.73,13.15,,1,13.15,-0.02,13.17,,,13.17,13.15,-0.02,33.0
T00000033,2,P00185,Beverages,2.12,3.69,,2,7.38,-0.01,7.39,,,7.39,7.38,-0.01,33.0
T00000033,3,P01377,Dairy & Eggs,2.77,4.64,,1,4.64,-0.01,4.65,,,4.65,4.64,-0.01,33.0
T00000034,1,P00138,Beverages,2.68,3.94,,2,7.88,-0.01,7.89,,,7.89,7.88,-0.01,34.0
T00000034,2,P00627,Breakfast & Cereal,2.15,3.05,,1,3.05,-0.01,3.06,,,3.06,3.05,-0.01,34.0
T00000034,3,P01381,Alcohol,7.14,11.61,,1,11.61,-0.02,11.63,,,11.63,11.61,-0.02,34.0
T00000034,4,P00355,Snacks/Cookies/Chips,1.28,1.92,,1,1.92,0.0,1.92,,,1.92,1.92,0.0,34.0
T00000034,5,P00293,Dairy & Eggs,1.68,2.7,,1,2.7,0.0,2.7,,,2.7,2.7,0.0,34.0
T00000035,1,P00094,Frozen Foods,5.34,6.89,,1,6.89,-0.03,6.92,,,6.92,6.89,-0.03,35.0
T00000035,2,P00677,Meat and Seafood,6.65,10.88,,1,10.88,-0.04,10.92,,,10.92,10.88,-0.04,35.0
T00000035,3,P00846,Snacks/Cookies/Chips,1.42,2.58,,2,5.16,-0.02,5.18,,,5.18,5.16,-0.02,35.0
T00000035,4,P00290,Frozen Foods,5.46,8.1,,1,8.1,-0.03,8.13,,,8.13,8.1,-0.03,35.0
T00000035,5,P01256,Dairy & Eggs,3.1,4.07,,1,4.07,-0.02,4.09,,,4.09,4.07,-0.02,35.0
T00000036,1,P01380,Frozen Foods,4.58,6.22,,2,12.44,0.07,12.37,,,12.37,12.44,0.07,36.0
T00000036,2,P00945,Snacks/Cookies/Chips,2.95,4.04,,1,4.04,0.02,4.02,,,4.02,4.04,0.02,36.0
T00000036,3,P00594,Bakery,2.14,3.54,,1,3.54,0.02,3.52,,,3.52,3.54,0.02,36.0
T00000037,1,P00972,Frozen Foods,5.04,6.8,,1,6.8,-0.03,6.83,,,6.83,6.8,-0.03,37.0
T00000037,2,P01313,Condiments/Sauces/Spices,2.52,3.23,,1,3.23,-0.01,3.24,,,3.24,3.23,-0.01,37.0
T00000037,3,P00029,Baking,1.94,3.12,,1,3.12,-0.01,3.13,,,3.13,3.12,-0.01,37.0
T00000037,4,P00973,Grains and Pasta,1.8,2.93,,1,2.93,-0.01,2.94,,,2.94,2.93,-0.01,37.0
T00000038,1,P00790,Breakfast & Cereal,3.85,5.84,,1,5.84,0.01,5.83,,,5.83,5.84,0.01,38.0
T00000038,2,P01213,Condiments/Sauces/Spices,2.73,3.66,,1,3.66,0.01,3.65,,,3.65,3.66,0.01,38.0
T00000038,3,P01087,Candy,1.27,1.85,,1,1.85,0.0,1.85,,,1.85,1.85,0.0,38.0
T00000038,4,P00802,Candy,1.46,1.96,,1,1.96,0.0,1.96,,,1.96,1.96,0.0,38.0
T00000039,1,P00900,Dairy & Eggs,2.44,3.07,,3,9.21,-0.02,9.23,,,9.23,9.21,-0.02,39.0
T00000039,2,P00945,Snacks/Cookies/Chips,2.95,4.04,,1,4.04,-0.01,4.05,,,4.05,4.04,-0.01,39.0
T00000039,3,P00180,Dairy & Eggs,2.29,3.04,,1,3.04,-0.01,3.05,,,3.05,3.04,-0.01,39.0
T00000039,4,P01443,Prepared Meals,6.76,10.33,,1,10.33,-0.02,10.35,,,10.35,10.33,-0.02,39.0
T00000039,5,P00590,Condiments/Sauces/Spices,2.62,3.68,,1,3.68,-0.01,3.69,,,3.69,3.68,-0.01,39.0
T00000039,6,P00666,Snacks/Cookies/Chips,1.61,2.43,,1,2.43,0.0,2.43,,,2.43,2.43,0.0,39.0
T00000040,1,P00657,Meat and Seafood,10.37,13.47,,1,13.47,-0.02,13.49,,,13.49,13.47,-0.02,40.0
T00000041,1,P01316,Alcohol,10.02,13.33,,1,13.33,0.03,13.3,,,13.3,13.33,0.03,41.0
T00000041,2,P00482,Condiments/Sauces/Spices,1.6,2.89,,1,2.89,0.01,2.88,,,2.88,2.89,0.01,41.0
T00000041,3,P01025,Alcohol,5.88,7.51,,3,22.53,0.05,22.48,,,22.48,22.53,0.05,41.0
T00000041,4,P00501,Breakfast & Cereal,2.98,3.86,,1,3.86,0.01,3.85,,,3.85,3.86,0.01,41.0
T00000042,1,P01401,Meat and Seafood,7.25,9.71,,1,9.71,-0.02,9.73,,,9.73,9.71,-0.02,42.0
T00000042,2,P00565,Grains and Pasta,1.24,2.24,,1,2.24,0.0,2.24,,,2.24,2.24,0.0,42.0
T00000042,3,P00632,Beverages,3.79,5.04,,1,5.04,-0.01,5.05,,,5.05,5.04,-0.01,42.0
T00000042,4,P01198,Meat and Seafood,5.32,7.01,,1,7.01,-0.01,7.02,,,7.02,7.01,-0.01,42.0
T00000042,5,P00150,Dairy & Eggs,2.16,2.97,,1,2.97,-0.01,2.98,,,2.98,2.97,-0.01,42.0
T00000043,1,P00644,Dairy & Eggs,1.94,2.7,,1,2.7,0.0,2.7,,,2.7,2.7,0.0,43.0
T00000044,1,P01025,Alcohol,5.88,7.51,,1,7.51,0.04,7.47,,,7.47,7.51,0.04,44.0
T00000044,2,P01141,Snacks/Cookies/Chips,1.99,3.54,,1,3.54,0.02,3.52,,,3.52,3.54,0.02,44.0
T00000044,3,P01353,Beverages,1.85,3.27,,3,9.81,0.06,9.75,,,9.75,9.81,0.06,44.0
T00000044,4,P00860,Alcohol,13.88,19.81,,1,19.81,0.12,19.69,,,19.69,19.81,0.12,44.0
T00000045,1,P00879,Snacks/Cookies/Chips,2.05,2.67,,2,5.34,0.01,5.33,,,5.33,5.34,0.01,45.0
T00000045,2,P01463,Snacks/Cookies/Chips,1.65,2.16,,1,2.16,0.0,2.16,,,2.16,2.16,0.0,45.0
T00000046,1,P00577,Baking,1.84,3.29,,1,3.29,0.02,3.27,,,3.27,3.29,0.02,46.0
T00000046,2,P01424,Bakery,2.94,4.34,,1,4.34,0.03,4.31,,,4.31,4.34,0.03,46.0
T00000047,1,P01161,Prepared Meals,3.58,6.51,,1,6.51,-0.02,6.53,,,6.53,6.51,-0.02,47.0
T00000047,2,P01429,Breakfast & Cereal,3.3,5.0,,1,5.0,-0.02,5.02,,,5.02,5.0,-0.02,47.0
T00000048,1,P00904,Dairy & Eggs,2.21,3.47,,1,3.47,0.02,3.45,,,3.45,3.47,0.02,48.0
T00000048,2,P00984,Snacks/Cookies/Chips,2.77,3.5,,2,7.0,0.04,6.96,,,6.96,7.0,0.04,48.0
T00000048,3,P00588,Pet Food,6.18,8.2,,3,24.6,0.15,24.45,,,24.45,24.6,0.15,48.0
T00000048,4,P00729,Alcohol,7.29,9.13,,1,9.13,0.05,9.08,,,9.08,9.13,0.05,48.0
T00000048,5,P01200,Alcohol,6.09,9.36,,2,18.72,0.11,18.61,,,18.61,18.72,0.11,48.0
T00000049,1,P01046,Alcohol,9.39,12.06,,1,12.06,-0.02,12.08,,,12.08,12.06,-0.02,49.0
T00000049,2,P00658,Dairy & Eggs,2.55,3.92,,2,7.84,-0.01,7.85,,,7.85,7.84,-0.01,49.0
T00000050,1,P01293,Prepared Meals,3.71,6.1,,1,6.1,0.01,6.09,,,6.09,6.1,0.01,50.0
T00000051,1,P01206,Baking,3.33,4.19,,1,4.19,-0.01,4.2,,,4.2,4.19,-0.01,51.0
T00000051,2,P01485,Breakfast & Cereal,2.69,4.6,,1,4.6,-0.01,4.61,,,4.61,4.6,-0.01,51.0
T00000051,3,P00644,Dairy & Eggs,1.94,2.7,,1,2.7,0.0,2.7,,,2.7,2.7,0.0,51.0
T00000051,4,P01083,Grains and Pasta,2.09,2.98,,1,2.98,-0.01,2.99,,,2.99,2.98,-0.01,51.0
T00000051,5,P00853,Dairy & Eggs,1.78,2.46,,1,2.46,0.0,2.46,,,2.46,2.46,0.0,51.0
T00000052,1,P01400,Deli,6.95,10.83,,1,10.83,-0.02,10.85,,,10.85,10.83,-0.02,52.0
T00000053,1,P00417,Condiments/Sauces/Spices,2.36,3.6,,1,3.6,-0.01,3.61,,,3.61,3.6,-0.01,53.0
T00000053,2,P00422,Snacks/Cookies/Chips,1.96,2.87,,2,5.74,-0.02,5.76,,,5.76,5.74,-0.02,53.0
T00000053,3,P00156,Deli,2.91,5.03,,3,15.09,-0.06,15.15,,,15.15,15.09,-0.06,53.0
T00000054,1,P00974,Frozen Foods,6.66,8.58,,1,8.58,-0.03,8.61,,,8.61,8.58,-0.03,54.0
T00000055,1,P00070,Beverages,3.44,5.55,,1,5.55,-0.02,5.57,,,5.57,5.55,-0.02,55.0
T00000055,2,P00426,Beverages,1.62,2.35,,1,2.35,-0.01,2.36,,,2.36,2.35,-0.01,55.0
T00000055,3,P00824,Condiments/Sauces/Spices,2.31,3.03,,1,3.03,-0.01,3.04,,,3.04,3.03,-0.01,55.0
T00000056,1,P01066,Prepared Meals,4.23,7.22,,1,7.22,-0.01,7.23,,,7.23,7.22,-0.01,56.0
T00000056,2,P00917,Snacks/Cookies/Chips,1.62,2.87,,1,2.87,-0.01,2.88,,,2.88,2.87,-0.01,56.0
T00000056,3,P00180,Dairy & Eggs,2.29,3.04,,1,3.04,-0.01,3.05,,,3.05,3.04,-0.01,56.0
T00000056,4,P00136,Grains and Pasta,1.1,1.57,,1,1.57,0.0,1.57,,,1.57,1.57,0.0,56.0
T00000057,1,P00448,Dairy & Eggs,2.2,3.04,,1,3.04,-0.01,3.05,,,3.05,3.04,-0.01,57.0
T00000057,2,P01251,Pet Food,3.81,5.51,,2,11.02,-0.02,11.04,,,11.04,11.02,-0.02,57.0
T00000057,3,P00203,Snacks/Cookies/Chips,1.53,2.67,,1,2.67,0.0,2.67,,,2.67,2.67,0.0,57.0
T00000058,1,P01305,Snacks/Cookies/Chips,2.62,3.33,,2,6.66,-0.03,6.69,,,6.69,6.66,-0.03,58.0
T00000059,1,P00607,Breakfast & Cereal,4.57,5.89,,2,11.78,-0.02,11.8,,,11.8,11.78,-0.02,59.0
T00000059,2,P01042,Candy,1.63,2.55,,1,2.55,0.0,2.55,,,2.55,2.55,0.0,59.0
T00000059,3,P00379,Condiments/Sauces/Spices,3.08,5.56,,1,5.56,-0.01,5.57,,,5.57,5.56,-0.01,59.0
T00000059,4,P01080,Grains and Pasta,1.27,2.28,,3,6.84,-0.01,6.85,,,6.85,6.84,-0.01,59.0
T00000059,5,P00169,Snacks/Cookies/Chips,2.96,4.46,,1,4.46,-0.01,4.47,,,4.47,4.46,-0.01,59.0
T00000059,6,P00097,Candy,2.84,3.99,,2,7.98,-0.01,7.99,,,7.99,7.98,-0.01,59.0
T00000059,7,P00914,Candy,2.04,3.13,,1,3.13,-0.01,3.14,,,3.14,3.13,-0.01,59.0
T00000059,8,P00300,Condiments/Sauces/Spices,1.93,3.1,,1,3.1,-0.01,3.11,,,3.11,3.1,-0.01,59.0
T00000060,1,P00364,Alcohol,8.25,10.56,,2,21.12,0.13,20.99,,,20.99,21.12,0.13,60.0
T00000060,2,P01076,Deli,3.71,6.67,,1,6.67,0.04,6.63,,,6.63,6.67,0.04,60.0
T00000061,1,P00993,Snacks/Cookies/Chips,2.94,3.8,,1,3.8,0.02,3.78,,,3.78,3.8,0.02,61.0
T00000061,2,P01248,Deli,3.56,6.03,,1,6.03,0.04,5.99,,,5.99,6.03,0.04,61.0
T00000061,3,P00937,Bakery,2.19,3.68,,1,3.68,0.02,3.66,,,3.66,3.68,0.02,61.0
T00000062,1,P00206,Dairy & Eggs,1.94,2.46,1.64,1,2.46,0.82,1.64,PR00033,BOGO,1.64,2.46,0.82,62.0
T00000062,2,P00969,Alcohol,5.21,9.34,,1,9.34,-0.02,9.36,,,9.36,9.34,-0.02,62.0
T00000063,1,P00238,Alcohol,10.11,16.35,,1,16.35,0.1,16.25,,,16.25,16.35,0.1,63.0
T00000063,2,P00334,Baking,1.7,2.72,,1,2.72,0.02,2.7,,,2.7,2.72,0.02,63.0
T00000063,3,P01052,Candy,0.88,1.56,,1,1.56,0.01,1.55,,,1.55,1.56,0.01,63.0
T00000063,4,P00665,Prepared Meals,7.71,11.92,,1,11.92,0.07,11.85,,,11.85,11.92,0.07,63.0
T00000063,5,P00258,Alcohol,6.69,8.5,,1,8.5,0.05,8.45,,,8.45,8.5,0.05,63.0
T00000063,6,P01339,Baking,2.19,3.19,,1,3.19,0.02,3.17,,,3.17,3.19,0.02,63.0
T00000064,1,P00724,Breakfast & Cereal,3.32,4.59,4.31,1,4.59,0.27,4.32,PR00005,BUNDLE,4.32,4.59,0.27,64.0
T00000064,2,P01111,Alcohol,7.01,10.34,,1,10.34,-0.02,10.36,,,10.36,10.34,-0.02,64.0
T00000064,3,P01213,Condiments/Sauces/Spices,2.73,3.66,,1,3.66,-0.01,3.67,,,3.67,3.66,-0.01,64.0
T00000065,1,P01230,Bakery,2.22,3.92,,1,3.92,-0.01,3.93,,,3.93,3.92,-0.01,65.0
T00000065,2,P00246,Grains and Pasta,2.47,3.44,,1,3.44,-0.01,3.45,,,3.45,3.44,-0.01,65.0
T00000065,3,P01440,Alcohol,7.55,13.37,,1,13.37,-0.02,13.39,,,13.39,13.37,-0.02,65.0
